,AMZN_capex_bn
2019-03-31,3.29
2019-06-30,3.562
2019-09-30,4.697
2019-12-31,5.312
2020-03-31,6.795
2020-06-30,7.459
2020-09-30,11.063
2020-12-31,14.823
2021-03-31,12.082
2021-06-30,14.288
2021-09-30,15.748
2021-12-31,18.935
2022-03-31,14.951
2022-06-30,15.724
2022-09-30,16.378
2022-12-31,16.592
2023-03-31,14.207
2023-06-30,11.455
2023-09-30,12.479
2023-12-31,14.588
2024-03-31,14.925
2024-06-30,17.62
2024-09-30,22.62
2024-12-31,27.834
2025-03-31,25.019
2025-06-30,32.183
2025-09-30,35.095
2025-12-31,39.522
2026-03-31,44.203
2026-06-30,54.208
