,GOOGL_capex_bn
2019-03-31,4.638
2019-06-30,6.126
2019-09-30,6.732
2019-12-31,6.052
2020-03-31,6.005
2020-06-30,5.391
2020-09-30,5.406
2020-12-31,5.479
2021-03-31,5.942
2021-06-30,5.496
2021-09-30,6.819
2021-12-31,6.383
2022-03-31,9.786
2022-06-30,6.828
2022-09-30,7.276
2022-12-31,7.595
2023-03-31,6.289
2023-06-30,6.888
2023-09-30,8.055
2023-12-31,11.019
2024-03-31,12.012
2024-06-30,13.186
2024-09-30,13.061
2024-12-31,14.276
2025-03-31,17.197
2025-06-30,22.446
2025-09-30,23.953
2025-12-31,27.851
2026-03-31,35.674
2026-06-30,44.924
