,META_capex_bn
2019-03-31,3.837
2019-06-30,3.633
2019-09-30,3.532
2019-12-31,4.1
2020-03-31,3.558
2020-06-30,3.255
2020-09-30,3.689
2020-12-31,4.661
2021-03-31,4.303
2021-06-30,4.641
2021-09-30,4.346
2021-12-31,5.4
2022-03-31,5.441
2022-06-30,7.572
2022-09-30,9.375
2022-12-31,8.798
2023-03-31,6.823
2023-06-30,6.134
2023-09-30,6.496
2023-12-31,7.592
2024-03-31,6.4
2024-06-30,8.173
2024-09-30,8.258
2024-12-31,14.425
2025-03-31,12.941
2025-06-30,16.538
2025-09-30,18.829
2025-12-31,21.383
2026-03-31,18.997
2026-06-30,30.116
