,MSFT_capex_bn
2019-03-31,2.565
2019-06-30,4.051
2019-09-30,3.385
2019-12-31,3.545
2020-03-31,3.767
2020-06-30,4.744
2020-09-30,4.907
2020-12-31,4.174
2021-03-31,5.089
2021-06-30,6.452
2021-09-30,5.81
2021-12-31,5.865
2022-03-31,5.34
2022-06-30,6.871
2022-09-30,6.283
2022-12-31,6.274
2023-03-31,6.607
2023-06-30,8.943
2023-09-30,9.917
2023-12-31,9.735
2024-03-31,10.952
2024-06-30,13.873
2024-09-30,14.923
2024-12-31,15.804
2025-03-31,16.745
2025-06-30,17.079
2025-09-30,19.394
2025-12-31,29.876
2026-03-31,30.876
2026-06-30,35.802
