,ORCL_capex_bn
2019-02-28,0.443
2019-05-31,0.413
2019-08-31,0.386
2019-11-30,0.349
2020-02-29,0.396
2020-05-31,0.433
2020-08-31,0.436
2020-11-30,0.568
2021-02-28,0.414
2021-05-31,0.717
2021-08-31,1.062
2021-11-30,0.925
2022-02-28,1.101
2022-05-31,1.423
2022-08-31,1.719
2022-11-30,2.435
2023-02-28,2.628
2023-05-31,1.913
2023-08-31,1.314
2023-11-30,1.08
2024-02-29,1.674
2024-05-31,2.798
2024-08-31,2.303
2024-11-30,3.97
2025-02-28,5.862
2025-05-31,9.08
2025-08-31,8.502
2025-11-30,12.033
2026-02-28,18.635
2026-05-31,16.493
2026-08-31,28.499
