,MSFT,GOOGL,AMZN,META,ORCL,total,total_ttm,ttm_yoy,yoy
2015Q4,2.024,2.102,1.309,0.692,0.195,6.322,,,
2016Q1,2.308,2.444,1.179,1.132,0.368,7.431,,,
2016Q2,2.655,2.136,1.711,0.995,0.18,7.6770000000000005,,,
2016Q3,2.163,2.554,1.841,1.095,0.299,7.952,29.382,,
2016Q4,1.988,3.078,2.006,1.269,0.757,9.097999999999999,32.158,,0.43910155014235985
2017Q1,1.695,2.508,1.861,1.271,0.44,7.775,32.502,,0.0462925582021263
2017Q3,2.132,3.538,3.074,1.755,0.473,10.972,35.797,,0.42920411619122034
2018Q1,2.934,7.299,3.098,2.812,0.286,16.429000000000002,44.274,0.5068409230140902,1.0660211267605635
2018Q2,3.98,5.477,3.243,3.46,0.378,16.538,51.714,0.6081223956713724,0.8177621455264896
2018Q3,3.602,5.282,3.352,3.342,0.383,15.961000000000002,59.900000000000006,0.8429635099378501,1.0528617363344055
2018Q4,3.707,7.081,3.734,4.301,0.421,19.244,68.172,0.9044053971003156,0.7539190667152753
2019Q1,2.565,4.638,3.29,3.837,0.443,14.772999999999998,66.516,0.5023715950670824,-0.10079737050337845
2019Q2,4.051,6.126,3.562,3.633,0.413,17.785,67.763,0.3103414935994122,0.07540210424476967
2019Q3,3.385,6.732,4.697,3.532,0.386,18.732,70.53399999999999,0.1775292153589314,0.17361067602280533
2019Q4,3.545,6.052,5.312,4.1,0.349,19.358,70.648,0.03631989673179614,0.005923924340054176
2020Q1,3.767,6.005,6.795,3.558,0.396,20.521,76.396,0.14853569066089345,0.3890882014485888
2020Q2,4.744,5.391,7.459,3.255,0.433,21.282,79.893,0.17900624234464235,0.1966263705369693
2020Q3,4.907,5.406,11.063,3.689,0.436,25.500999999999998,86.662,0.2286556837837075,0.3613602391629296
2020Q4,4.174,5.479,14.823,4.661,0.568,29.705000000000002,97.009,0.37313158192730156,0.5345076970761442
2021Q1,5.089,5.942,12.082,4.303,0.414,27.830000000000002,104.318,0.36549033980836687,0.3561717265240485
2021Q2,6.452,5.496,14.288,4.641,0.717,31.594,114.63,0.43479403702452024,0.48454092660464254
2021Q3,5.81,6.819,15.748,4.346,1.062,33.785,122.91399999999999,0.4183148323371255,0.3248500058821222
2021Q4,5.865,6.383,18.935,5.4,0.925,37.507999999999996,130.71699999999998,0.34747291488418575,0.26268304999158376
2022Q1,5.34,9.786,14.951,5.441,1.101,36.619,139.506,0.3373147491324604,0.31581027667984185
2022Q2,6.871,6.828,15.724,7.572,1.423,38.418000000000006,146.33,0.276541917473611,0.21599037791985842
2022Q3,6.283,7.276,16.378,9.375,1.719,41.031,153.57600000000002,0.2494589713132762,0.2144738789403582
2022Q4,6.274,7.595,16.592,8.798,2.435,41.694,157.762,0.20689734311527963,0.11160285805694814
2023Q1,6.607,6.289,14.207,6.823,2.628,36.554,157.697,0.13039582526916416,-0.0017750348179905728
2023Q2,8.943,6.888,11.455,6.134,1.913,35.333,154.612,0.05659810018451439,-0.08030090061950146
2023Q3,9.917,8.055,12.479,6.496,1.314,38.261,151.842,-0.011290826691670586,-0.06750993151519569
2023Q4,9.735,11.019,14.588,7.592,1.08,44.013999999999996,154.162,-0.022819183326783343,0.05564349786540013
2024Q1,10.952,12.012,14.925,6.4,1.674,45.962999999999994,163.571,0.037248647723165274,0.2574000109427146
2024Q2,13.873,13.186,17.62,8.173,2.798,55.650000000000006,183.888,0.1893514086875534,0.575014858630742
2024Q3,14.923,13.061,22.62,8.258,2.303,61.16499999999999,206.792,0.3618893323322927,0.5986252319594363
2024Q4,15.804,14.276,27.834,14.425,3.97,76.309,239.087,0.5508815401979734,0.733743808788113
2025Q1,16.745,17.197,25.019,12.941,5.862,77.764,270.888,0.6560881818904327,0.6918826012227228
2025Q2,17.079,22.446,32.183,16.538,9.08,97.326,312.56399999999996,0.6997520229705037,0.7488948787061991
2025Q3,19.394,23.953,35.095,18.829,8.502,105.77299999999998,357.17199999999997,0.7272041471623658,0.7293059756396632
2025Q4,29.876,27.851,39.522,21.383,12.033,130.665,411.5279999999999,0.7212479139392771,0.7123144059023181
2026Q1,30.876,35.674,44.203,18.997,18.635,148.385,482.149,0.7798831989604562,0.9081451571421224
2026Q2,35.802,44.924,54.208,30.116,16.493,181.543,566.366,0.8120001023790329,0.8653083451492922
