end,revenue_bn,gross_profit_bn,gross_margin
2016-12-01,3.97,1.011,0.2546599496221662
2017-03-02,4.648,1.704,0.3666092943201377
2017-06-01,5.566,2.609,0.46873877111031265
2017-08-31,6.138,3.112,0.5070055392636038
2017-11-30,6.803,3.747,0.550786417756872
2018-03-01,7.351,4.27,0.580873350564549
2018-05-31,7.797,4.723,0.6057457996665384
2018-08-30,8.44,5.151,0.6103080568720379
2018-11-29,7.913,4.615,0.5832174902059901
2019-02-28,5.835,2.864,0.49083119108826045
2019-05-30,4.788,1.828,0.3817878028404344
2019-08-29,4.87,1.395,0.2864476386036961
2019-11-28,5.144,1.366,0.265552099533437
2020-02-27,4.797,1.355,0.2824682092974776
2020-05-28,5.438,1.763,0.3242000735564546
2020-09-03,6.056,2.068,0.3414795244385733
2020-12-03,5.773,1.736,0.3007102026675905
2021-03-04,6.236,1.649,0.26443232841565106
2021-06-03,7.422,3.126,0.4211802748585287
2021-09-02,8.274,3.912,0.4728063814358231
2021-12-02,7.687,3.565,0.46377000130089757
2022-03-03,7.786,3.676,0.4721294631389674
2022-06-02,8.642,4.035,0.4669058088405462
2022-09-01,6.643,2.622,0.39470118922173714
2022-12-01,4.085,0.893,0.2186046511627907
2023-03-02,3.693,-1.206,-0.3265637692932575
2023-06-01,3.752,-0.668,-0.17803837953091686
2023-08-31,4.01,-0.435,-0.1084788029925187
2023-11-30,4.726,-0.035,-0.00740584003385527
2024-02-29,5.824,1.079,0.18526785714285715
2024-05-30,6.811,1.832,0.2689766554103656
2024-08-29,7.75,2.737,0.35316129032258065
2024-11-28,8.709,3.348,0.3844299001033414
2025-02-27,8.053,2.963,0.3679374146280889
2025-05-29,9.301,3.508,0.3771637458337813
2025-08-28,11.315,5.054,0.4466637207247018
2025-11-27,13.643,7.646,0.5604339221578831
2026-02-26,23.86,17.755,0.7441324392288349
2026-05-28,41.456,35.056,0.8456194519490543
