amount,date
0.031966,2015-12-07
0.031966,2016-03-07
0.031966,2016-06-06
0.031966,2016-10-07
0.037778,2016-12-12
0.037778,2017-03-13
0.050427,2017-06-12
0.065,2017-09-12
0.075,2017-12-12
0.075,2018-03-13
0.113,2018-06-12
0.113,2018-09-11
0.113,2018-12-11
0.113,2019-03-12
0.113,2019-06-11
0.113,2019-09-10
0.12,2019-12-10
0.12,2020-03-10
0.12,2020-06-09
0.12,2020-09-08
0.12,2020-12-08
0.12,2021-03-09
0.12,2021-06-15
0.12,2021-09-10
0.12,2021-12-09
0.12,2022-03-10
0.12,2022-06-10
0.12,2022-09-09
0.12,2022-12-13
0.12,2023-03-16
0.12,2023-06-14
0.12,2023-09-13
0.13,2023-12-12
0.13,2024-03-14
0.13,2024-06-18
0.13,2024-09-19
0.13,2024-12-20
0.13,2025-03-21
0.13,2025-06-18
0.13,2025-09-18
0.143,2025-12-19
0.143,2026-03-24
0.143,2026-06-16
