,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2026-06-30,Blackrock Inc.,0.0725,91383843,17362930170,-0.0057
1,2026-06-30,Vanguard Capital Management LLC,0.0545,68688349,13050786310,0.0061000003
2,2026-06-30,State Street Corporation,0.0382,48165803,9151502570,0.03
3,2026-06-30,"FMR, LLC",0.0375,47349865,8996474350,-0.094799995
4,2026-06-30,"Geode Capital Management, LLC",0.0218,27505753,5226093070,0.010199999
5,2026-06-30,Vanguard Portfolio Management LLC,0.020499999,25808745,4903661550,-0.0011999999
6,2026-06-30,Price (T.Rowe) Associates Inc,0.0184,23227202,4413168380,-0.2079
7,2026-06-30,Morgan Stanley,0.0156,19696435,3742322650,0.0644
8,2026-06-30,"Cresset Asset Management, LLC",0.0154,19368054,3679930260,-0.064
9,2026-06-30,Capital Research Global Investors,0.0104,13164137,2501186030,-0.108100004
