,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2026-06-30,Blackrock Inc.,0.091000006,358672289,39783929639,-0.0175
1,2026-06-30,Vanguard Capital Management LLC,0.0621,244787330,27151810195,0.0041
2,2026-06-30,State Street Corporation,0.05,197153062,21868217276,0.0184
3,2026-06-30,Invesco Ltd.,0.035,138187071,15327709662,-0.0107
4,2026-06-30,Vanguard Portfolio Management LLC,0.030299999,119309850,13233848343,0.0124
5,2026-06-30,"Geode Capital Management, LLC",0.0256,101007196,11203717995,-0.011
6,2026-06-30,Morgan Stanley,0.020399999,80401715,8918158080,0.0344
7,2026-06-30,"FMR, LLC",0.019299999,76063526,8436966164,0.1288
8,2026-06-30,Capital Research Global Investors,0.017,67174294,7450972567,0.0504
9,2026-06-30,NORGES BANK,0.0139,54835694,6082375078,-0.0557
