GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget
2026-09-01 17:47:29,Deutsche Bank,Buy,Hold,init,Announces,135.0,0.0
2026-08-14 12:39:39,HSBC,Hold,Buy,down,Lowers,120.0,137.0
2026-08-13 21:05:52,UBS,Buy,Buy,main,Raises,138.0,132.0
2026-08-13 15:46:52,Truist Securities,Buy,Buy,main,Raises,140.0,125.0
2026-08-13 14:03:04,Barclays,Equal-Weight,Equal-Weight,main,Raises,123.0,121.0
2026-08-13 13:50:37,Wells Fargo,Overweight,Overweight,main,Raises,150.0,130.0
2026-08-13 12:40:26,Keybanc,Overweight,Overweight,main,Raises,135.0,130.0
2026-08-13 12:12:54,Rosenblatt,Buy,Buy,main,Raises,165.0,150.0
2026-08-13 10:05:44,Morgan Stanley,Overweight,Overweight,main,Raises,135.0,130.0
2026-06-25 13:05:46,Keybanc,Overweight,Overweight,main,Raises,130.0,125.0
2026-06-12 12:11:54,Morgan Stanley,Overweight,Overweight,main,Raises,130.0,120.0
2026-06-08 15:58:35,B of A Securities,Buy,Buy,main,Raises,150.0,135.0
2026-05-26 17:37:18,B of A Securities,Buy,Buy,main,Raises,135.0,114.0
2026-05-15 16:00:55,HSBC,Buy,Hold,up,Raises,137.0,77.0
2026-05-15 13:59:53,Barclays,Equal-Weight,Equal-Weight,main,Raises,121.0,76.0
2026-05-14 20:59:55,UBS,Buy,Buy,main,Raises,132.0,95.0
2026-05-14 18:45:47,Citigroup,Buy,Buy,main,Raises,112.0,90.0
2026-05-14 16:29:03,Morgan Stanley,Overweight,Overweight,main,Raises,120.0,91.0
2026-05-14 15:59:44,Evercore ISI Group,Outperform,Outperform,main,Raises,150.0,110.0
2026-05-14 15:57:19,B of A Securities,Buy,Buy,main,Raises,114.0,95.0
2026-05-14 15:08:45,Piper Sandler,Neutral,Neutral,main,Raises,132.0,86.0
2026-05-14 14:40:35,Wells Fargo,Overweight,Overweight,main,Raises,130.0,95.0
2026-05-14 14:19:27,Keybanc,Overweight,Overweight,main,Raises,125.0,87.0
2026-05-14 12:01:56,Rosenblatt,Buy,Buy,main,Raises,150.0,100.0
2026-05-04 15:08:01,Evercore ISI Group,Outperform,Outperform,main,Raises,110.0,100.0
2026-04-23 14:02:33,BWG Global,Mixed,Positive,down,,0.0,0.0
2026-04-16 19:35:30,JP Morgan,Overweight,Overweight,main,Raises,96.0,95.0
2026-03-31 14:29:06,Truist Securities,Buy,,init,Announces,94.0,0.0
2026-02-12 18:12:21,UBS,Buy,Buy,main,Raises,95.0,90.0
2026-02-12 12:44:03,Rosenblatt,Buy,Buy,main,Maintains,100.0,100.0
2026-01-26 11:14:43,Evercore ISI Group,Outperform,In-Line,up,Raises,100.0,80.0
2025-12-17 14:16:10,Morgan Stanley,Overweight,Overweight,main,Raises,91.0,82.0
2025-11-13 20:20:43,Barclays,Equal-Weight,Equal-Weight,main,Raises,76.0,71.0
2025-11-13 19:43:44,Citigroup,Buy,Buy,main,Raises,85.0,80.0
2025-11-13 18:42:05,JP Morgan,Overweight,Overweight,main,Raises,90.0,80.0
2025-11-13 15:47:27,Wells Fargo,Overweight,Overweight,main,Raises,95.0,83.0
2025-11-13 15:02:31,UBS,Buy,Buy,main,Raises,90.0,88.0
2025-11-13 14:51:27,Piper Sandler,Neutral,Neutral,main,Raises,86.0,70.0
2025-11-13 13:45:25,Evercore ISI Group,In-Line,In-Line,main,Raises,80.0,74.0
2025-11-13 13:39:09,Keybanc,Overweight,Overweight,main,Raises,87.0,77.0
2025-11-13 13:07:25,Rosenblatt,Buy,Buy,main,Raises,100.0,87.0
2025-11-13 11:34:05,Morgan Stanley,Overweight,Overweight,main,Raises,82.0,77.0
2025-11-13 11:29:57,B of A Securities,Buy,Buy,main,Raises,95.0,85.0
2025-11-13 11:28:38,Melius Research,Buy,Buy,main,Raises,100.0,84.0
2025-11-03 10:56:24,UBS,Buy,Neutral,up,Raises,88.0,74.0
2025-08-15 11:54:15,HSBC,Hold,Buy,down,Announces,69.0,0.0
2025-08-14 15:30:27,Piper Sandler,Neutral,Neutral,main,Raises,70.0,64.0
2025-08-14 14:23:02,Wells Fargo,Overweight,Overweight,main,Raises,83.0,75.0
2025-08-14 13:54:02,Evercore ISI Group,In-Line,In-Line,main,Raises,74.0,72.0
2025-08-14 12:55:13,Barclays,Equal-Weight,Equal-Weight,main,Raises,71.0,66.0
2025-08-14 12:00:33,Rosenblatt,Buy,Buy,main,Maintains,87.0,87.0
2025-08-14 11:16:34,B of A Securities,Buy,Buy,main,Raises,85.0,76.0
2025-08-08 14:48:44,Rosenblatt,Buy,Buy,main,Raises,87.0,74.0
