,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2026-06-30,Blackrock Inc.,0.0764,24094119,12817468366,-0.026500002
1,2026-06-30,Vanguard Capital Management LLC,0.060300004,19013637,10114779078,-0.0218
2,2026-06-30,State Street Corporation,0.0436,13764359,7322294542,-0.0402
3,2026-06-30,Bank of America Corporation,0.0344,10842148,5767751417,-0.2468
4,2026-06-30,JPMORGAN CHASE & CO,0.033099998,10437458,5552466464,2.3869
5,2026-06-30,"Geode Capital Management, LLC",0.024300002,7651858,4070596972,-0.0092
6,2026-06-30,Vanguard Portfolio Management LLC,0.024300002,7668070,4079221351,-0.0433
7,2026-06-30,Morgan Stanley,0.0224,7074450,3763430366,0.0642
8,2026-06-30,"FMR, LLC",0.0179,5654576,3008092929,0.333
9,2026-06-30,Goldman Sachs Group Inc,0.0174,5498457,2925041528,-0.1681
