,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2026-06-30,Blackrock Inc.,0.101,134059655,7457068309,-0.0682
1,2026-06-30,Vanguard Capital Management LLC,0.0653,86665707,4820779951,0.0037
2,2026-06-30,Vanguard Portfolio Management LLC,0.0547,72677094,4042663353,-0.015
3,2026-06-30,State Street Corporation,0.0513,68095481,3787811130,0.0055
4,2026-06-30,Capital World Investors,0.044899996,59597678,3315120838,0.0159
5,2026-06-30,JPMORGAN CHASE & CO,0.030199999,40050764,2227823747,-0.2658
6,2026-06-30,Bank of America Corporation,0.0298,39500289,2197203575,-0.4669
7,2026-06-30,"Geode Capital Management, LLC",0.0276,36610129,2036438425,0.0194
8,2026-06-30,Elliott Investment Management L.P.,0.024300002,32271985,1795129165,0.1769
9,2026-06-30,Goldman Sachs Group Inc,0.0185,24612791,1369086499,0.4409
