GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget
2026-09-14 11:28:54,Evercore ISI Group,In-Line,Outperform,down,Maintains,65.0,65.0
2026-09-04 12:36:10,Argus Research,Buy,Buy,reit,Maintains,70.0,70.0
2026-09-03 18:18:55,Raymond James,Outperform,Outperform,main,Raises,86.0,74.0
2026-09-03 17:37:12,Piper Sandler,Neutral,Neutral,reit,Lowers,57.0,63.0
2026-09-03 17:08:34,Evercore ISI Group,Outperform,Outperform,main,Lowers,65.0,70.0
2026-09-03 16:12:57,Citigroup,Buy,Buy,main,Raises,76.0,74.0
2026-09-03 15:32:04,UBS,Neutral,Neutral,main,Lowers,59.0,65.0
2026-09-03 15:16:59,Truist Securities,Buy,Buy,main,Raises,70.0,69.0
2026-09-03 14:28:53,Wells Fargo,Equal-Weight,Equal-Weight,main,Lowers,54.0,67.0
2026-09-03 14:19:50,Morgan Stanley,Overweight,Overweight,main,Lowers,67.0,69.0
2026-09-03 13:23:56,Barclays,Overweight,Overweight,main,Raises,79.0,67.0
2026-09-01 17:56:09,Deutsche Bank,Buy,Buy,init,Announces,62.0,0.0
2026-08-31 10:50:19,B of A Securities,Buy,Buy,main,Raises,82.0,80.0
2026-08-10 11:43:03,Morgan Stanley,Overweight,Equal-Weight,up,Lowers,69.0,71.0
2026-07-24 11:00:13,Citigroup,Buy,Buy,main,Raises,74.0,70.0
2026-06-03 17:09:02,Goldman Sachs,Buy,Buy,main,Raises,79.0,32.0
2026-06-03 16:17:11,Argus Research,Buy,Buy,main,Raises,70.0,30.0
2026-06-02 17:36:57,Evercore ISI Group,Outperform,Outperform,main,Raises,70.0,40.0
2026-06-02 17:25:50,Piper Sandler,Neutral,Neutral,reit,Raises,63.0,23.0
2026-06-02 16:36:45,Truist Securities,Buy,Buy,reit,Raises,69.0,31.0
2026-06-02 16:05:33,Citigroup,Buy,Buy,main,Raises,70.0,39.0
2026-06-02 15:29:00,Loop Capital,Buy,Hold,up,Raises,75.0,23.0
2026-06-02 15:25:30,Barclays,Overweight,Overweight,main,Raises,67.0,28.0
2026-06-02 15:13:25,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,71.0,33.0
2026-06-02 15:09:27,Bernstein,Market Perform,Market Perform,main,Raises,62.0,35.0
2026-06-02 14:48:21,Susquehanna,Neutral,Neutral,main,Raises,65.0,21.0
2026-06-02 14:46:32,JP Morgan,Overweight,Overweight,main,Raises,68.0,37.0
2026-06-02 14:16:21,Raymond James,Outperform,Outperform,main,Raises,74.0,29.0
2026-06-02 13:46:43,UBS,Neutral,Neutral,main,Raises,65.0,25.0
2026-06-02 13:42:06,Wells Fargo,Equal-Weight,Equal-Weight,main,Raises,67.0,26.0
2026-06-02 12:53:06,B of A Securities,Buy,Buy,main,Raises,80.0,38.0
2026-05-21 12:08:04,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,33.0,25.0
2026-05-14 18:49:14,Citigroup,Buy,Buy,main,Raises,39.0,27.0
2026-04-13 11:09:36,Raymond James,Outperform,Strong Buy,down,Lowers,29.0,30.0
2026-03-31 14:28:18,Truist Securities,Buy,,init,Announces,31.0,0.0
2026-03-26 17:34:54,Evercore ISI Group,Outperform,Outperform,main,Raises,30.0,28.0
2026-03-11 16:05:56,Citigroup,Buy,Buy,main,Raises,27.0,26.0
2026-03-10 16:13:45,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,25.0,23.0
2026-03-10 15:04:16,B of A Securities,Buy,Buy,main,Raises,32.0,29.0
2026-02-18 17:51:48,Morgan Stanley,Equal-Weight,Equal-Weight,main,Lowers,23.0,25.0
2026-02-17 16:19:47,Citigroup,Buy,Buy,main,Lowers,26.0,28.0
2025-12-10 14:05:01,Argus Research,Buy,Buy,main,Raises,30.0,25.0
2025-11-24 17:32:38,BWG Global,Positive,Mixed,up,,0.0,0.0
2025-11-17 10:55:13,Morgan Stanley,Equal-Weight,Overweight,down,Lowers,25.0,28.0
2025-10-22 14:56:27,Piper Sandler,Neutral,,init,Announces,24.0,0.0
2025-10-16 18:20:16,UBS,Neutral,Neutral,main,Raises,25.0,23.0
2025-10-16 17:18:18,Goldman Sachs,Neutral,Neutral,main,Raises,31.0,27.0
2025-10-16 11:56:48,Barclays,Overweight,Overweight,main,Raises,27.0,26.0
2025-10-06 16:10:16,Citigroup,Buy,Buy,main,Raises,28.0,26.0
2025-10-02 12:36:06,Goldman Sachs,Neutral,Neutral,main,Raises,27.0,25.0
2025-09-16 13:58:39,Bernstein,Market Perform,,init,Announces,24.0,0.0
2025-09-04 17:53:00,Goldman Sachs,Neutral,Neutral,main,Raises,25.0,22.0
2025-09-04 15:44:14,Citigroup,Buy,Buy,main,Raises,26.0,25.0
2025-09-04 13:11:09,Wells Fargo,Equal-Weight,Equal-Weight,main,Raises,26.0,22.0
2025-09-04 12:36:25,UBS,Neutral,Neutral,main,Raises,23.0,18.0
2025-09-04 12:33:12,Susquehanna,Neutral,Neutral,main,Raises,21.0,16.0
2025-09-04 12:31:29,Raymond James,Strong Buy,Strong Buy,main,Raises,30.0,29.0
2025-09-02 15:39:12,B of A Securities,Buy,Buy,main,Raises,25.0,24.0
2025-08-21 11:16:26,Morgan Stanley,Overweight,Equal-Weight,up,Raises,28.0,22.0
2025-08-06 13:48:10,Evercore ISI Group,Outperform,Outperform,main,Raises,28.0,25.0
2025-07-23 13:45:24,Deutsche Bank,Buy,Buy,main,Raises,26.0,21.0
2025-07-11 16:07:21,Evercore ISI Group,Outperform,Outperform,main,Raises,25.0,22.0
2025-07-11 12:13:13,B of A Securities,Buy,Buy,main,Raises,24.0,23.0
2025-07-08 16:06:15,Wolfe Research,Peer Perform,,init,,0.0,0.0
2025-07-03 14:15:16,Wells Fargo,Equal-Weight,Equal-Weight,main,Raises,22.0,20.0
2025-07-03 12:52:14,Barclays,Overweight,Overweight,main,Raises,26.0,24.0
2025-06-30 17:04:24,B of A Securities,Buy,Buy,main,Raises,23.0,20.0
2025-06-26 14:50:53,Keybanc,Sector Weight,,init,,0.0,0.0
2025-06-09 16:20:41,Loop Capital,Hold,Hold,main,Raises,18.0,16.0
2025-06-04 17:26:48,Raymond James,Strong Buy,Strong Buy,main,Raises,26.0,23.0
2025-06-04 14:02:57,UBS,Neutral,Neutral,main,Raises,18.0,16.0
2025-06-04 13:41:08,Wells Fargo,Equal-Weight,Equal-Weight,main,Raises,20.0,17.0
2025-06-04 13:14:28,Barclays,Overweight,Overweight,main,Raises,24.0,20.0
2025-05-20 13:21:08,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,22.0,14.0
2025-05-20 13:09:29,Evercore ISI Group,Outperform,In-Line,up,Raises,22.0,17.0
2025-04-08 16:36:20,Morgan Stanley,Equal-Weight,Overweight,down,Lowers,14.0,24.0
2025-03-10 19:26:36,Loop Capital,Hold,Hold,main,Lowers,16.0,24.0
2025-03-07 17:30:06,Morgan Stanley,Overweight,Overweight,main,Lowers,24.0,28.0
2025-03-07 15:44:45,Susquehanna,Neutral,Neutral,main,Lowers,15.0,20.0
2025-03-07 15:21:44,Wells Fargo,Equal-Weight,Equal-Weight,main,Lowers,17.0,22.0
2025-03-07 14:51:40,Raymond James,Strong Buy,Strong Buy,main,Lowers,23.0,29.0
2025-03-07 14:30:07,B of A Securities,Buy,Buy,main,Lowers,20.0,26.0
2025-03-07 11:34:19,Barclays,Overweight,Overweight,main,Lowers,20.0,27.0
2025-03-07 11:08:42,Evercore ISI Group,In-Line,In-Line,main,Lowers,17.0,22.0
2024-12-19 12:35:38,Deutsche Bank,Buy,Hold,up,Maintains,25.0,25.0
2024-12-09 13:38:07,Loop Capital,Hold,Hold,main,Raises,24.0,18.0
2024-12-06 19:03:14,Barclays,Overweight,Overweight,main,Raises,27.0,24.0
2024-12-06 16:20:15,Citigroup,Buy,Neutral,up,Raises,26.0,23.0
2024-12-06 14:25:05,Stifel,Buy,Buy,main,Raises,25.0,22.0
2024-12-05 12:17:54,Morgan Stanley,Overweight,Equal-Weight,up,Raises,28.0,23.0
2024-11-19 16:38:36,Citigroup,Neutral,Neutral,main,Raises,23.0,20.0
2024-11-18 14:05:54,Raymond James,Strong Buy,Outperform,up,Raises,29.0,23.0
2024-10-11 17:59:42,Susquehanna,Neutral,Neutral,main,Maintains,20.0,20.0
2024-10-09 11:03:08,Deutsche Bank,Hold,,init,Announces,22.0,0.0
2024-09-25 12:39:18,Barclays,Overweight,Equal-Weight,up,Raises,24.0,20.0
2024-09-17 11:16:15,B of A Securities,Buy,Neutral,up,Raises,24.0,21.0
2024-09-09 13:05:37,Loop Capital,Hold,Hold,main,Raises,18.0,16.0
2024-09-06 17:45:37,Susquehanna,Neutral,Neutral,main,Maintains,20.0,20.0
2024-09-05 16:06:18,B of A Securities,Neutral,Neutral,main,Lowers,21.0,24.0
2024-09-05 13:19:31,UBS,Neutral,Neutral,main,Raises,19.0,17.0
2024-06-21 16:41:09,B of A Securities,Neutral,Neutral,main,Raises,24.0,22.0
2024-06-20 17:08:51,Morgan Stanley,Equal-Weight,Equal-Weight,main,Maintains,21.0,21.0
2024-06-07 16:19:48,Argus Research,Buy,Hold,up,Announces,26.0,0.0
2024-06-05 17:22:59,UBS,Neutral,Neutral,main,Raises,17.0,16.0
2024-06-05 17:21:26,Bernstein,Market Perform,Market Perform,main,Raises,19.0,17.0
2024-06-05 15:11:27,Barclays,Equal-Weight,Equal-Weight,main,Raises,20.0,14.0
2024-06-05 13:24:54,Susquehanna,Neutral,Neutral,main,Raises,20.0,14.0
2024-06-05 13:20:46,Stifel,Buy,Buy,main,Raises,22.0,18.0
2024-06-05 13:04:09,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,21.0,19.0
2024-06-05 13:00:53,Evercore ISI Group,In-Line,In-Line,main,Raises,22.0,18.0
2024-06-05 12:26:48,Wells Fargo,Equal-Weight,Equal-Weight,main,Raises,22.0,19.0
2024-06-05 12:09:35,B of A Securities,Neutral,Neutral,main,Raises,22.0,19.0
2024-04-17 12:12:03,Wells Fargo,Equal-Weight,Equal-Weight,main,Raises,19.0,17.0
2024-04-15 16:32:36,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,19.0,16.0
2024-03-01 13:56:51,Stifel,Buy,Buy,main,Lowers,18.0,20.0
2024-03-01 12:03:31,Wells Fargo,Equal-Weight,Overweight,down,Lowers,17.0,21.0
2024-03-01 12:02:38,Evercore ISI Group,In-Line,In-Line,main,Lowers,18.0,19.0
2024-03-01 11:18:33,Barclays,Equal-Weight,Equal-Weight,main,Lowers,14.0,15.0
2024-01-16 17:31:26,Bernstein,Market Perform,Outperform,down,Lowers,17.0,20.0
2023-11-30 12:02:12,Morgan Stanley,Equal-Weight,Underweight,up,Announces,16.0,0.0
2023-11-29 15:23:01,Morgan Stanley,Underweight,Underweight,main,Raises,16.0,15.0
2023-11-29 10:39:25,Barclays,Equal-Weight,Equal-Weight,main,Lowers,15.0,16.0
2023-10-20 13:19:16,Raymond James,Outperform,Outperform,main,Raises,20.0,19.0
2023-08-30 15:09:44,Wells Fargo,Overweight,Overweight,main,Raises,21.0,20.0
