,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2026-06-30,Blackrock Inc.,0.0962,18901321,3607128030,-0.0506
1,2026-06-30,Vanguard Capital Management LLC,0.0656,12885538,2459076024,0.0318
2,2026-06-30,Vanguard Portfolio Management LLC,0.0625,12276980,2342938818,-0.0297
3,2026-06-30,State Street Corporation,0.0505,9921533,1893425321,-0.010199999
4,2026-06-30,Primecap Management Company,0.045900002,9016690,1720745086,-0.0045
5,2026-06-30,"Geode Capital Management, LLC",0.0324,6368156,1215298867,-0.0117999995
6,2026-06-30,"Ameriprise Financial, Inc.",0.0238,4677207,892598166,-0.2206
7,2026-06-30,"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",0.0226,4444057,848103821,0.0945
8,2026-06-30,NORGES BANK,0.0212,4170849,795964807,-0.0249
9,2026-06-30,"Wellington Management Group, LLP",0.0197,3860019,736646011,-0.1736
