,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2026-06-30,"FMR, LLC",0.1496,49860715,4668209441,0.0058999998
1,2026-06-30,Blackrock Inc.,0.1042,34716084,3250293364,-0.0428
2,2026-06-30,Vanguard Portfolio Management LLC,0.0511,17024424,1593911697,0.002
3,2026-06-30,Vanguard Capital Management LLC,0.0428,14260444,1335134069,0.014099999
4,2026-06-30,State Street Corporation,0.035099998,11697292,1095158963,0.0376
5,2026-06-30,"Geode Capital Management, LLC",0.0254,8470557,793055899,0.0431
6,2026-06-30,"T. Rowe Price Investment Management, Inc.",0.0162,5385469,504214535,-0.0959
7,2026-06-30,"Disciplined Growth Investors, Inc.",0.0139,4646725,435049628,-0.0043
8,2026-06-30,BNP Paribas Asset Management Holding S.A.,0.0125,4164334,389885770,0.2356
9,2026-06-30,NORGES BANK,0.0116,3859029,361301590,-0.0254
