GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget
2026-08-28 14:57:20,Barclays,Equal-Weight,Equal-Weight,main,Raises,110.0,84.0
2026-08-28 14:49:00,Northland Capital Markets,Outperform,Outperform,main,Raises,128.0,90.0
2026-08-27 19:34:19,Citigroup,Buy,Buy,main,Raises,130.0,118.0
2026-08-27 18:19:38,B of A Securities,Buy,Neutral,up,Raises,150.0,90.0
2026-08-27 18:13:06,JP Morgan,Overweight,Overweight,main,Raises,145.0,130.0
2026-08-27 17:33:31,Piper Sandler,Overweight,Overweight,reit,Raises,133.0,92.0
2026-08-27 14:34:20,UBS,Sell,Sell,main,Raises,80.0,70.0
2026-08-27 13:46:14,Wells Fargo,Overweight,Overweight,main,Raises,135.0,97.0
2026-08-27 13:32:33,Guggenheim,Buy,Buy,reit,Maintains,150.0,150.0
2026-08-27 13:17:19,Morgan Stanley,Overweight,Overweight,main,Raises,119.0,108.0
2026-08-27 13:13:22,Wedbush,Outperform,Outperform,main,Raises,130.0,127.0
2026-08-27 11:22:47,Needham,Buy,Buy,main,Raises,140.0,100.0
2026-08-24 14:21:59,Evercore ISI Group,Outperform,Outperform,main,Raises,130.0,120.0
2026-08-21 13:19:22,Wedbush,Outperform,Outperform,main,Raises,127.0,105.0
2026-08-18 14:28:15,TD Cowen,Buy,Buy,main,Raises,170.0,100.0
2026-08-13 14:02:51,Guggenheim,Buy,Buy,main,Raises,150.0,115.0
2026-08-11 19:17:52,Citigroup,Buy,Neutral,up,Raises,118.0,90.0
2026-08-11 12:57:01,Evercore ISI Group,Outperform,Outperform,main,Raises,120.0,90.0
2026-08-10 13:11:58,Susquehanna,Positive,Neutral,up,Raises,120.0,85.0
2026-08-10 11:31:54,Morgan Stanley,Overweight,Equal-Weight,up,Raises,108.0,87.0
2026-05-28 20:30:05,UBS,Sell,Sell,main,Raises,70.0,63.0
2026-05-28 19:36:22,Lake Street,Buy,Buy,main,Raises,94.0,90.0
2026-05-28 19:17:22,JP Morgan,Overweight,Overweight,main,Raises,92.0,80.0
2026-05-28 14:48:29,Barclays,Equal-Weight,Equal-Weight,main,Raises,84.0,81.0
2026-05-28 14:30:29,Wells Fargo,Overweight,Overweight,main,Raises,97.0,90.0
2026-05-28 13:24:02,Guggenheim,Buy,Buy,main,Raises,115.0,105.0
2026-05-28 13:17:36,Wedbush,Outperform,Outperform,main,Raises,105.0,100.0
2026-05-28 12:38:29,Needham,Buy,Buy,reit,Maintains,100.0,100.0
2026-05-28 11:26:17,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,87.0,84.0
2026-05-14 18:41:01,Citigroup,Neutral,Buy,down,Announces,90.0,0.0
2026-04-16 19:39:04,JP Morgan,Overweight,Overweight,main,Lowers,80.0,105.0
2026-03-09 14:20:48,Northland Capital Markets,Outperform,Market Perform,up,Raises,81.0,77.0
2026-02-26 18:48:58,UBS,Sell,Sell,main,Raises,63.0,60.0
2026-02-26 16:15:20,Wells Fargo,Overweight,Overweight,main,Lowers,90.0,100.0
2026-02-26 15:16:26,Barclays,Equal-Weight,Equal-Weight,main,Raises,81.0,77.0
2026-02-23 13:30:45,Wedbush,Outperform,Outperform,reit,Maintains,100.0,100.0
2026-02-19 14:37:18,Evercore ISI Group,Outperform,Outperform,main,Lowers,90.0,105.0
2026-02-17 16:23:25,Citigroup,Buy,Buy,main,Lowers,90.0,105.0
2025-12-03 19:12:33,Citigroup,Buy,Buy,main,Lowers,105.0,110.0
2025-12-03 18:59:13,Lake Street,Buy,Buy,main,Raises,92.0,80.0
2025-12-03 18:56:38,Barclays,Equal-Weight,Equal-Weight,main,Raises,77.0,70.0
2025-12-03 17:06:36,Wedbush,Outperform,Outperform,main,Raises,100.0,90.0
2025-12-03 16:15:38,JP Morgan,Overweight,Overweight,main,Lowers,105.0,110.0
2025-12-03 16:02:47,Susquehanna,Neutral,Positive,down,Maintains,100.0,100.0
2025-12-03 15:28:05,UBS,Sell,Sell,main,Raises,60.0,55.0
2025-12-03 10:27:27,Needham,Buy,Buy,reit,Maintains,100.0,100.0
2025-11-17 17:21:02,JP Morgan,Overweight,Overweight,main,Raises,110.0,105.0
2025-11-17 17:19:37,Oppenheimer,Outperform,,init,Announces,120.0,0.0
2025-11-17 14:57:57,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,90.0,72.0
