,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2026-06-30,Blackrock Inc.,0.0726,47686321,1788713820,0.0998
1,2026-06-30,Vanguard Capital Management LLC,0.0553,36356823,1363744369,0.10520001
2,2026-06-30,Vanguard Portfolio Management LLC,0.05,32864645,1232752778,0.1114
3,2026-06-30,"Jane Street Group, LLC",0.0438,28787183,1079807186,5.5134997
4,2026-06-30,State Street Corporation,0.0375,24635554,924079589,0.1189
5,2026-06-30,UBS Group AG,0.03,19689932,738569316,0.6308
6,2026-06-30,"Geode Capital Management, LLC",0.023599999,15510079,581783037,0.095699996
7,2026-06-30,Invesco Ltd.,0.0178,11716747,439495160,-0.0082
8,2026-06-30,Goldman Sachs Group Inc,0.016900001,11085764,415826989,2.2195
9,2026-06-30,"Two Sigma Investments, LP",0.0149,9783845,366992009,9.7878
