GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget
2024-10-02 18:33:26,Barclays,Equal-Weight,Equal-Weight,main,Adjusts,42.0,438.0
2024-09-23 13:20:36,Loop Capital,Buy,Buy,main,Lowers,1000.0,1500.0
2024-09-18 10:44:00,Needham,Buy,,init,Announces,600.0,0.0
2024-09-17 11:42:44,Mizuho,Neutral,,init,Announces,450.0,0.0
2024-09-06 12:21:59,JP Morgan,Neutral,Overweight,down,Lowers,500.0,950.0
2024-09-04 13:47:08,Barclays,Equal-Weight,Overweight,down,Lowers,438.0,693.0
2024-08-28 17:09:10,CFRA,Hold,Buy,down,Lowers,454.0,729.0
2024-08-28 16:20:50,Barclays,Overweight,Overweight,reit,Maintains,693.0,693.0
2024-08-28 16:17:37,Wells Fargo,Equal-Weight,Equal-Weight,main,Lowers,375.0,650.0
2024-08-08 15:29:41,Goldman Sachs,Neutral,Neutral,main,Lowers,675.0,775.0
2024-08-07 17:06:16,B of A Securities,Neutral,Buy,down,Lowers,700.0,1090.0
2024-08-07 14:25:34,Wells Fargo,Equal-Weight,Equal-Weight,main,Lowers,650.0,890.0
2024-08-07 11:19:52,Rosenblatt,Buy,Buy,main,Maintains,1300.0,1300.0
2024-08-07 00:20:17,JP Morgan,Overweight,Overweight,main,Lowers,950.0,1150.0
2024-08-02 13:32:54,Wedbush,Neutral,Neutral,reit,Maintains,800.0,800.0
2024-07-15 13:24:12,Susquehanna,Negative,Negative,main,Raises,325.0,285.0
2024-07-10 15:47:15,Nomura,Neutral,Buy,down,Announces,930.0,0.0
2024-05-01 18:16:58,Wells Fargo,Equal-Weight,Equal-Weight,main,Lowers,890.0,960.0
2024-05-01 16:43:42,Goldman Sachs,Neutral,Neutral,main,Lowers,800.0,937.0
2024-05-01 13:36:09,Wedbush,Neutral,Neutral,main,Raises,800.0,530.0
2024-05-01 12:23:08,Rosenblatt,Buy,Buy,main,Maintains,1300.0,1300.0
2024-04-24 13:31:54,Keybanc,Sector Weight,,init,,0.0,0.0
2024-04-24 11:53:52,Wedbush,Neutral,Neutral,reit,Maintains,530.0,530.0
2024-04-16 11:15:07,Loop Capital,Buy,Buy,main,Raises,1500.0,600.0
2024-03-25 10:56:00,Northland Capital Markets,Outperform,Outperform,main,Raises,1300.0,925.0
2024-03-25 09:58:18,JP Morgan,Overweight,,init,Announces,1150.0,0.0
2024-03-13 11:17:22,B of A Securities,Buy,Buy,main,Raises,1280.0,1040.0
2024-03-06 15:30:16,Argus Research,Buy,,init,Announces,1350.0,0.0
2024-03-04 11:03:20,Goldman Sachs,Neutral,,init,Announces,941.0,0.0
2024-02-20 19:00:15,Rosenblatt,Buy,Buy,main,Raises,1300.0,700.0
2024-02-16 13:02:25,Wells Fargo,Equal-Weight,,init,Announces,960.0,0.0
2024-02-15 13:19:40,B of A Securities,Buy,,init,Announces,1040.0,0.0
2024-02-13 14:15:29,Barclays,Overweight,Overweight,main,Raises,961.0,691.0
