reaction_day,category,event,timing,day_minus1,day0,day1,cum_3d,cum_5d,spy_3d,spy_5d,excess_day0,excess_3d,excess_5d,chart_value,chart_basis
2024-01-09,M&A,"Juniper acquisition reported / announced ($14bn, $40/sh cash)",Press report 8-Jan evening; HPE announcement 9-Jan,0.03203260441880662,-0.08916477986210569,0.01796785151856861,-0.07618496254008245,-0.1360044595740234,0.003687330533660438,0.0006952040591172715,-0.08764771808393468,-0.07987229307374288,-0.13669966363314068,-0.07987229307374288,3-day
2024-03-01,Earnings,"Q1 FY24: revenue miss, FY24 revenue guide cut",8-K Item 2.02 filed 29-Feb-2024 after close,0.024898884026194112,0.021667916083207395,0.10218506435182828,0.18844412474788053,0.19369694076832267,-0.001771399386952921,0.013245832589268813,0.01227970971233261,0.19021552413483345,0.18045110817905385,0.19021552413483345,3-day
2024-06-05,Earnings,Q2 FY24: AI server beat,8-K Item 2.02 filed 4-Jun-2024 after close,-0.019498383258118923,0.10681802667091822,0.005646722317053765,0.1380681841610094,0.16818154953756315,0.010636030066397018,0.016200019383746378,0.09493296682982932,0.1274321540946124,0.15198153015381677,0.1274321540946124,3-day
2024-09-05,Earnings,Q3 FY24 results,8-K Item 2.02 filed 4-Sep-2024 after close,-0.015214916410736579,-0.0602025851145076,-0.006235783167497511,-0.06233361039579932,-0.12626538299847057,-0.008240517649438894,0.006298016764319181,-0.057770291403021146,-0.05409309274636043,-0.13256339976278975,-0.05409309274636043,3-day
2024-09-10,Financing,$1.35bn mandatory convertible preferred + senior notes offering,Offering announced 9-Sep-2024 after close (424B filings),0.003993146702247596,-0.08522725138024212,0.018633547716468746,-0.04204556697314932,-0.021022669635744617,0.023206163641954047,0.030069125886228232,-0.08958293804294715,-0.06525173061510336,-0.05109179552197285,-0.06525173061510336,3-day
2024-12-06,Earnings,Q4 FY24 results,8-K Item 2.02 filed 5-Dec-2024 after close,-0.005055223447459456,0.10623565049965489,-0.03507330436995171,0.012471062070709804,0.008313888221114452,-0.006362585434866563,-0.0038405710720241792,0.10433985303210114,0.018833647505576367,0.01215445929313863,0.018833647505576367,3-day
2025-01-30,Regulatory,US DOJ sues to block Juniper acquisition,DOJ complaint filed 30-Jan-2025 (intraday),0.009319550464406579,-0.021698821673280966,0.0,-0.05540153814963633,-0.013850247615017519,-0.0067130564238391255,0.004004500059520799,-0.027065903940071356,-0.048688481725797206,-0.017854747674538318,-0.048688481725797206,3-day
2025-03-07,Earnings,"Q1 FY25: FY25 guide cut, tariffs, server margin pressure",8-K Item 2.02 filed 6-Mar-2025 after close,-0.04923231475958356,-0.11971043865192088,-0.04617329355754385,-0.1458797257517278,-0.1776168736665733,-0.02931695237413867,-0.03717421950073385,-0.1253152154922451,-0.11656277337758914,-0.14044265416583945,-0.11656277337758914,3-day
2025-04-03,Macro,US 'reciprocal' tariff announcement,Announced 2-Apr-2025 after close,0.030690556007289427,-0.1513646824501198,-0.06505861672024216,-0.1730769581740722,-0.10049623157230037,-0.10653292287100258,-0.028165378983270317,-0.10208398559682708,-0.06654403530306963,-0.07233085258903005,-0.06654403530306963,3-day
2025-04-09,Macro,US 90-day tariff pause,Announced 9-Apr-2025 intraday,-0.06151533855616953,0.15907280095949572,-0.052413833029531176,0.13029584453659626,0.199840084034272,0.07545118124523631,0.08284321648465576,0.054053354091174954,0.05484466329135995,0.11699686754961625,0.05484466329135995,3-day
