check,parsed,reference,diff_pct,passed,note
revenue FY2021: parsed vs XBRL,27784.0,27784.0,0.0,True,
revenue FY2022: parsed vs XBRL,28496.0,28496.0,0.0,True,
revenue FY2023: parsed vs XBRL,29135.0,29135.0,0.0,True,
revenue FY2024: parsed vs XBRL,30127.0,30127.0,0.0,True,
revenue FY2025: parsed vs XBRL,34296.0,34296.0,0.0,True,
operating_income FY2021: parsed vs XBRL,1132.0,1132.0,0.0,True,
operating_income FY2022: parsed vs XBRL,782.0,782.0,0.0,True,
operating_income FY2023: parsed vs XBRL,2089.0,2089.0,0.0,True,
operating_income FY2024: parsed vs XBRL,2190.0,2190.0,0.0,True,
operating_income FY2025: parsed vs XBRL,-437.0,-437.0,0.0,True,
cfo FY2021: parsed vs XBRL,5871.0,5871.0,0.0,True,
cfo FY2022: parsed vs XBRL,4593.0,4593.0,0.0,True,
cfo FY2023: parsed vs XBRL,4428.0,4428.0,0.0,True,
cfo FY2024: parsed vs XBRL,4341.0,4341.0,0.0,True,
cfo FY2025: parsed vs XBRL,2919.0,2919.0,0.0,True,
cash FY2021: parsed vs XBRL,3996.0,3996.0,0.0,True,
cash FY2022: parsed vs XBRL,4163.0,4163.0,0.0,True,
cash FY2023: parsed vs XBRL,4270.0,4270.0,0.0,True,
cash FY2024: parsed vs XBRL,14846.0,14846.0,0.0,True,
cash FY2025: parsed vs XBRL,5773.0,5773.0,0.0,True,
total_assets FY2021: parsed vs XBRL,57699.0,57699.0,0.0,True,
total_assets FY2022: parsed vs XBRL,57123.0,57123.0,0.0,True,
total_assets FY2023: parsed vs XBRL,57153.0,57153.0,0.0,True,
total_assets FY2024: parsed vs XBRL,71262.0,71262.0,0.0,True,
total_assets FY2025: parsed vs XBRL,75906.0,75906.0,0.0,True,
balance sheet balances FY2020,54015.0,54015.0,0.0,True,
balance sheet balances FY2021,57699.0,57699.0,0.0,True,
balance sheet balances FY2022,57123.0,57123.0,0.0,True,
balance sheet balances FY2023,57153.0,57153.0,0.0,True,
balance sheet balances FY2024,71262.0,71262.0,0.0,True,
balance sheet balances FY2025,75906.0,75906.0,0.0,True,
balance sheet balances TTM Q3 FY26,83596.0,83596.0,0.0,True,
TTM revenue = FY25 + 9M26 - 9M25,41871.0,41871.0,0.0,True,
FCF (HPE definition) FY2020 vs company-reported,560.0,560.0,0.0,True,
FCF (HPE definition) FY2021 vs company-reported,3723.0,1551.0,1.400386847195358,True,explained difference (see hpe_non_gaap_annual.csv)
FCF (HPE definition) FY2022 vs company-reported,1794.0,1794.0,0.0,True,
FCF (HPE definition) FY2023 vs company-reported,2238.0,2238.0,0.0,True,
FCF (HPE definition) FY2024 vs company-reported,2297.0,2297.0,0.0,True,
FCF (HPE definition) FY2025 vs company-reported,986.0,986.0,0.0,True,
FCF (HPE definition) TTM Q3 FY26 vs company-reported,4501.0,4501.0,0.0,True,
