,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,TTM Q3 FY26
revenue,26982.0,27784.0,28496.0,29135.0,30127.0,34296.0,41871.0
rev_products,16264.0,17011.0,17794.0,18100.0,18587.0,21956.0,27979.0
rev_services,10249.0,10279.0,10219.0,10488.0,10872.0,11573.0,13113.0
rev_financing,469.0,494.0,483.0,547.0,668.0,767.0,779.0
cost_products,11698.0,11892.0,12463.0,11958.0,12961.0,16151.0,18412.0
cost_services,6544.0,6304.0,6217.0,6555.0,6793.0,7268.0,7600.0
financing_cost,271.0,212.0,310.0,383.0,495.0,500.0,479.0
cost_of_sales_direct,,,,,,,
rd,1874.0,1979.0,2045.0,2349.0,2246.0,2518.0,3705.0
sga,4624.0,4929.0,4941.0,5160.0,4871.0,5704.0,7132.0
amortization,379.0,354.0,293.0,288.0,267.0,511.0,1259.0
impairment,865.0,0.0,905.0,0.0,0.0,1621.0,260.0
transformation,950.0,930.0,473.0,283.0,93.0,2.0,
disaster,26.0,16.0,48.0,1.0,7.0,,
acq_dispo,80.0,36.0,19.0,70.0,211.0,458.0,420.0
operating_income,-329.0,1132.0,782.0,2089.0,2190.0,-437.0,2602.0
pretax_income,-442.0,3587.0,876.0,2230.0,2953.0,-285.0,2633.0
net_income,-322.0,3427.0,868.0,2025.0,2579.0,57.0,2791.0
preferred_dividends,,,0.0,0.0,-25.0,-116.0,-116.0
eps_diluted,-0.25,2.58,0.66,1.54,1.93,-0.04,
shares_basic,1294.0,1309.0,1303.0,1299.0,1309.0,1324.0,1336.0
shares_diluted,1294.0,1330.0,1322.0,1316.0,1337.0,1324.0,1449.0
cash,4233.0,3996.0,4163.0,4270.0,14846.0,5773.0,6216.0
accounts_receivable,3386.0,3979.0,4101.0,3481.0,3550.0,5290.0,6185.0
financing_receivables_current,3794.0,3932.0,3522.0,3543.0,3870.0,3826.0,3841.0
inventory,2674.0,4511.0,5161.0,4607.0,7810.0,6352.0,11823.0
current_assets,16556.0,18878.0,20506.0,18948.0,33457.0,24994.0,33865.0
lt_financing_receivables_other,10544.0,11670.0,10537.0,11377.0,12616.0,13817.0,14632.0
equity_investments,2170.0,2210.0,2160.0,2197.0,929.0,955.0,0.0
goodwill,18017.0,18306.0,17403.0,17988.0,18086.0,23770.0,23907.0
intangibles,1103.0,1022.0,733.0,654.0,510.0,6368.0,5547.0
goodwill_and_intangibles,19120.0,19328.0,18136.0,18642.0,18596.0,30138.0,29454.0
total_assets,54015.0,57699.0,57123.0,57153.0,71262.0,75906.0,83596.0
short_term_debt,3755.0,3552.0,4612.0,4868.0,4742.0,4609.0,2901.0
accounts_payable,5383.0,7004.0,8717.0,7136.0,11064.0,7731.0,13734.0
deferred_revenue,3430.0,3408.0,3451.0,3658.0,3904.0,5358.0,5561.0
current_liabilities,18738.0,20687.0,23174.0,21882.0,25973.0,24643.0,30436.0
long_term_debt,12186.0,9896.0,7853.0,7487.0,13504.0,17756.0,17343.0
hpe_equity,16049.0,19971.0,19864.0,21182.0,24816.0,24688.0,26514.0
total_equity,16096.0,20017.0,19909.0,21238.0,24880.0,24754.0,26576.0
total_liabilities_and_equity,54015.0,57699.0,57123.0,57153.0,71262.0,75906.0,83596.0
cfo,2240.0,5871.0,4593.0,4428.0,4341.0,2919.0,6694.0
d_and_a,2625.0,2597.0,2480.0,2616.0,2564.0,2737.0,3490.0
sbc,274.0,382.0,391.0,428.0,430.0,643.0,795.0
capex_gross,-2383.0,-2502.0,-3122.0,-2828.0,-2367.0,-2292.0,-2538.0
ppe_proceeds,703.0,354.0,602.0,602.0,370.0,380.0,414.0
fx_effect,0.0,0.0,-279.0,36.0,-47.0,-21.0,-69.0
acquisitions,-866.0,-505.0,0.0,-761.0,-147.0,-12278.0,0.0
buybacks,-355.0,-213.0,-512.0,-421.0,-150.0,-202.0,-547.0
dividends_common,-618.0,-625.0,-621.0,-619.0,-676.0,-684.0,-739.0
dividends_preferred,,,,0.0,0.0,-112.0,-116.0
debt_issued,7007.0,3022.0,3296.0,4725.0,11245.0,9188.0,6401.0
debt_repaid,-5099.0,-5465.0,-3992.0,-4887.0,-5475.0,-6837.0,-9860.0
preferred_issued,,,0.0,0.0,1462.0,0.0,0.0
wc_receivables,-461.0,-591.0,-186.0,577.0,-83.0,-700.0,-567.0
wc_financing_receivables,-487.0,-165.0,694.0,-607.0,-909.0,-153.0,-374.0
wc_inventory,-527.0,-1959.0,-713.0,400.0,-3358.0,1783.0,-5449.0
wc_payables,-225.0,1608.0,1707.0,-1655.0,3927.0,-3468.0,4997.0
interest_paid,574.0,486.0,453.0,677.0,772.0,1018.0,
cost_of_sales,18513.0,18408.0,18990.0,18896.0,20249.0,23919.0,26491.0
gross_profit,8469.0,9376.0,9506.0,10239.0,9878.0,10377.0,15380.0
gross_debt,15941.0,13448.0,12465.0,12355.0,18246.0,22365.0,20244.0
net_debt,11708.0,9452.0,8302.0,8085.0,3400.0,16592.0,14028.0
special_items,1921.0,982.0,1445.0,354.0,311.0,2081.0,680.0
ebitda,2296.0,3729.0,3262.0,4705.0,4754.0,2300.0,6092.0
adj_ebitda_analyst,4491.0,5093.0,5098.0,5487.0,5495.0,5024.0,7567.0
adj_operating_income_analyst,2245.0,2850.0,2911.0,3159.0,3198.0,2798.0,5336.0
capex_net,-1680.0,-2148.0,-2520.0,-2226.0,-1997.0,-1912.0,-2124.0
fcf_hpe_definition,560.0,3723.0,1794.0,2238.0,2297.0,986.0,4501.0
fcf_simple,560.0,3723.0,2073.0,2202.0,2344.0,1007.0,4570.0
capital_returned,973.0,838.0,1133.0,1040.0,826.0,886.0,1286.0
free_cash_flow_reported,560.0,1551.0,1794.0,2238.0,2297.0,986.0,4501.0
non_gaap_diluted_eps,1.54,1.96,2.02,2.15,1.99,1.94,3.17
non_gaap_gross_profit,8543.0,9424.0,9667.0,10273.0,9893.0,10805.0,15787.0
non_gaap_net_earnings_hpe,2005.0,2602.0,2664.0,2832.0,2655.0,2753.0,4569.0
non_gaap_operating_profit,2282.0,2848.0,3026.0,3145.0,3168.0,3353.0,5767.0
