,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,TTM Q3 FY26
revenue_growth_yoy,,0.02972351938329254,0.025626259717823174,0.0224241998877035,0.03404839540072069,0.13838085438311154,
gross_margin,0.3138759172781855,0.3374604088684135,0.3335906793935991,0.35143298438304443,0.3278786470607761,0.3025717284814556,0.3673186692460175
operating_margin,-0.012193314061226002,0.04074287359631443,0.02744244806288602,0.07170070362107431,0.07269226939290338,-0.012742010730114299,0.06214324950443027
adj_operating_margin_analyst,0.08320361722629901,0.1025770227469047,0.10215468837731612,0.1084262914020937,0.10615062900388356,0.08158385817588057,0.12743903895297462
ebitda_margin,0.08509376621451338,0.13421393607831847,0.11447220662549129,0.16148961729878153,0.15779865237162677,0.06706321436902263,0.145494494996537
adj_ebitda_margin_analyst,0.16644429619746498,0.18330693924560898,0.17890230207748456,0.18833018706023683,0.18239452982374615,0.1464893865173781,0.1807217405841752
net_margin,-0.011933881847157364,0.12334437086092716,0.030460415496911846,0.06950403295006007,0.08560427523483918,0.001662001399580126,0.06665711351532087
rd_pct_revenue,0.06945370988066119,0.07122804491793838,0.07176445816956765,0.08062467822206967,0.07455106714906894,0.07341964077443433,0.08848606434047432
sga_pct_revenue,0.1713735082647691,0.17740426144543622,0.17339275687815833,0.17710657285052342,0.16168221196932983,0.1663167716351761,0.1703326884956175
fcf_margin,0.02075457712549107,0.13399798445148287,0.06295620437956205,0.07681482752702935,0.07624390081986258,0.028749708420807093,0.1074968355186167
fcf_conversion_of_net_income,-1.7391304347826086,1.0863729209220894,2.0668202764976957,1.1051851851851853,0.8906552927491276,17.29824561403509,1.612683625940523
cfo_to_adj_ebitda,0.49877532843464706,1.1527586883958374,0.9009415457041977,0.8069983597594313,0.7899909008189263,0.5810111464968153,0.8846306330117616
capex_net_pct_revenue,0.0622637313764732,0.0773106824071408,0.08843346434587311,0.07640295177621417,0.06628605569754704,0.05574994168416142,0.05072723364619904
sbc_pct_revenue,0.010154918093543843,0.013748920241865822,0.01372122403144301,0.014690235112407758,0.014272911341985594,0.018748542104035457,0.01898688829977789
current_ratio,0.8835521400362899,0.9125537777348093,0.8848709760938983,0.8659171922127776,1.2881453817425788,1.0142433956904597,1.1126626363516887
debt_to_equity,0.9903702783300199,0.671828945396413,0.6260987493093576,0.5817402768622281,0.7333601286173633,0.9034903449947483,0.7617399157134257
net_debt_to_adj_ebitda,2.6069917613003786,1.8558806204594542,1.6284817575519812,1.4734827774740296,0.618744313011829,3.3025477707006368,1.8538390379278447
goodwill_intangibles_pct_assets,0.3539757474775525,0.3349798090088216,0.3174903278889414,0.3261771035641174,0.2609525413263731,0.39704371195952887,0.3523374324130341
dso_days,45.80423986361278,52.272350993377486,52.528951431779895,43.60957611120646,43.00959272413449,56.2995684627945,53.91619497981897
dio_days,52.72025063468913,89.44562146892656,99.19773565034228,88.98999788314988,140.77979159464664,96.9304736820101,162.90041901022988
dpo_days,106.13055690595797,138.87766188613648,167.5463401790416,137.8408128704488,199.43503382883102,117.9737865295372,189.23068211845535
cash_conversion_cycle_days,-7.606066407656073,2.8403105761675533,-15.819653096919438,-5.241238876092439,-15.645649510049907,35.256255615267406,27.585931871593488
diluted_share_change_yoy,,0.02782071097372496,-0.006015037593984918,-0.004538577912254205,0.015957446808510634,-0.00972326103216159,
revenue_per_diluted_share,20.8516228748068,20.890225563909773,21.555219364599093,22.13905775075988,22.533283470456244,25.90332326283988,28.89648033126294
fcf_per_diluted_share,0.4327666151468315,2.799248120300752,1.3570347957639939,1.7006079027355623,1.7180254300673148,0.7447129909365559,3.106280193236715
book_value_per_diluted_share,12.402627511591962,15.01578947368421,15.02571860816944,16.095744680851062,18.56095736724009,18.64652567975831,18.29813664596273
payout_of_fcf,1.7375,0.22508729519204942,0.6315496098104794,0.4647006255585344,0.35959947757945143,0.8985801217038539,0.2857142857142857
roic_adj_after_tax_15pct,0.06863221119263416,0.08220502901353965,0.08770869518981957,0.09157146267435119,0.09612093352192361,0.05752188845353842,0.11170328046497881
roic_gaap_after_tax_15pct,-0.01005790533736153,0.03265126064678136,0.023561731239587394,0.06055485455103502,0.06582390381895332,-0.008983940405359648,0.05447000295537385
non_gaap_gross_margin,0.3166184863983396,0.3391880218830982,0.3392405951712521,0.3525999656770208,0.3283765393168918,0.31505131793795194,0.3770390007403692
non_gaap_operating_margin,0.0845749017863761,0.10250503887129284,0.10619034250421111,0.10794576969280933,0.10515484449165201,0.09776650338231864,0.1377325595280743
gaap_to_non_gaap_operating_gap,0.0967682158476021,0.0617621652749784,0.0787478944413251,0.03624506607173503,0.03246257509874863,0.11050851411243294,0.07558931002364405
adj_ebitda_company_basis,4528.0,5091.0,5213.0,5473.0,5465.0,5579.0,7998.0
adj_ebitda_company_basis_margin,0.16781558075754208,0.18323495536999712,0.18293795620437955,0.18784966535095246,0.1813987453115146,0.1626720317238162,0.19101526115927492
