,MSFT,GOOGL,AMZN,META,ORCL,total,total_ttm,ttm_yoy
2023Q1,6.607,6.289,14.207,6.823,2.628,36.554,157.697,0.1303958252691643
2023Q2,8.943,6.888,11.455,6.134,1.913,35.333,154.612,0.0565981001845146
2023Q3,9.917,8.055,12.479,6.496,1.314,38.261,151.84199999999998,-0.0112908266916705
2023Q4,9.735,11.019,14.588,7.592,1.08,44.014,154.16199999999998,-0.0228191833267835
2024Q1,10.952,12.012,14.925,6.4,1.674,45.963,163.57099999999997,0.037248647723165
2024Q2,13.873,13.186,17.62,8.173,2.798,55.650000000000006,183.888,0.1893514086875531
2024Q3,14.923,13.061,22.62,8.258,2.303,61.16499999999999,206.792,0.3618893323322927
2024Q4,15.804,14.276,27.834,14.425,3.97,76.309,239.087,0.5508815401979736
2025Q1,16.745,17.197,25.019,12.941,5.862,77.764,270.888,0.6560881818904332
2025Q2,17.079,22.446,32.183,16.538,9.08,97.326,312.564,0.6997520229705039
2025Q3,19.394,23.953,35.095,18.829,8.502,105.77299999999998,357.172,0.727204147162366
2025Q4,29.876,27.851,39.522,21.383,12.033,130.665,411.5279999999999,0.7212479139392771
2026Q1,30.876,35.674,44.203,18.997,18.635,148.385,482.149,0.779883198960456
2026Q2,35.802,44.924,54.208,30.116,16.493,181.543,566.366,0.8120001023790329
