filing,owner,role,date,code,acquired_disposed,shares,price,value,shares_after,plan_10b5_1
2024-09-17_0001062993-24-016703.xml,MacDonald Neil B,"EVP, GM of Compute HPC AI",2024-09-13,S,D,29000.0,17.0,493000.0,82061.133,True
2024-09-20_0001062993-24-016847.xml,Neri Antonio F,Director; President and CEO,2024-09-18,S,D,166666.0,18.5176,3086254.3216000004,1841975.0,True
2024-09-27_0001062993-24-017031.xml,Neri Antonio F,Director; President and CEO,2024-09-25,S,D,83334.0,19.7248,1643746.4832,1758641.0,True
2024-10-01_0001062993-24-017168.xml,RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",2024-09-29,M,A,103361.0,20.14,2081690.54,103361.0,False
2024-10-01_0001062993-24-017168.xml,RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",2024-09-29,F,D,47453.0,20.14,955703.42,55908.0,False
2024-10-02_0001062993-24-017280.xml,Lane Raymond J.,Director,2024-09-30,A,A,1405.0,20.46,28746.300000000003,952229.0,False
2024-10-02_0001062993-24-017282.xml,REINER GARY M,Director,2024-09-30,A,A,1650.0,20.46,33759.0,3244.0,False
2024-10-02_0001062993-24-017283.xml,RUSSO PATRICIA F,Director,2024-09-30,A,A,1924.0,20.46,39365.04,313678.4376,False
2024-10-02_0001062993-24-017284.xml,RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",2024-10-02,S,D,55908.0,19.9878,1117477.9224,0.0,True
2024-10-09_0001062993-24-017512.xml,Cox Jeremy,"SVP, Controller & CTO",2024-10-08,S,D,7770.0,21.0,163170.0,7771.0,True
2024-10-16_0001062993-24-017725.xml,Neri Antonio F,Director; President and CEO,2024-10-14,S,D,250000.0,20.7265,5181625.0,1508641.0,True
2024-12-10_0001062993-24-020414.xml,Cox Jeremy,"SVP, Controller & CTO",2024-12-06,S,D,7771.0,23.0,178733.0,0.0,True
2024-12-10_0001062993-24-020419.xml,Mottram Phil,"EVP, GM, Intelligent Edge",2024-12-07,F,D,39060.0,23.95,935487.0,98499.0,False
2024-12-10_0001062993-24-020419.xml,Mottram Phil,"EVP, GM, Intelligent Edge",2024-12-07,M,A,53142.0,23.95,1272750.9,151641.0,False
2024-12-10_0001062993-24-020419.xml,Mottram Phil,"EVP, GM, Intelligent Edge",2024-12-07,F,D,26349.0,23.95,631058.5499999999,125292.0,False
2024-12-10_0001062993-24-020420.xml,Neri Antonio F,Director; President and CEO,2024-12-07,A,A,203457.0,23.95,4872795.149999999,1712098.0,False
2024-12-10_0001062993-24-020420.xml,Neri Antonio F,Director; President and CEO,2024-12-07,F,D,80062.0,23.95,1917484.9,1632036.0,False
2024-12-10_0001062993-24-020420.xml,Neri Antonio F,Director; President and CEO,2024-12-07,A,A,262598.0,23.95,6289222.1,1894634.0,False
2024-12-10_0001062993-24-020420.xml,Neri Antonio F,Director; President and CEO,2024-12-07,F,D,103333.0,23.95,2474825.35,1791301.0,False
2024-12-10_0001062993-24-020420.xml,Neri Antonio F,Director; President and CEO,2024-12-07,M,A,170055.0,23.95,4072817.25,1961356.0,False
2024-12-10_0001062993-24-020420.xml,Neri Antonio F,Director; President and CEO,2024-12-07,F,D,66918.0,23.95,1602686.0999999999,1894438.0,False
2024-12-10_0001062993-24-020422.xml,SCHULTZ JOHN F,"EVP, COLO",2024-12-07,F,D,44779.0,23.95,1072457.05,395538.2671,False
2024-12-10_0001062993-24-020421.xml,RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",2024-12-07,F,D,25095.0,23.95,601025.25,38676.0,False
2024-12-10_0001062993-24-020422.xml,SCHULTZ JOHN F,"EVP, COLO",2024-12-07,A,A,78253.0,23.95,1874159.3499999999,357317.2671,False
2024-12-10_0001062993-24-020422.xml,SCHULTZ JOHN F,"EVP, COLO",2024-12-07,F,D,30793.0,23.95,737492.35,326524.2671,False
