owner,role,shares_sold,value_usd,avg_price,last_sale,shares_after
Neri Antonio F,Director; President and CEO,940889.0,23127606.516599998,24.5482375,2026-04-17,1687329.0
SCHULTZ JOHN F,"EVP, COLO",254184.0,6168310.863,23.9452,2025-12-10,248091.475
RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",177514.0,4441521.8208,25.6846,2026-04-21,0.0
MacDonald Neil B,"EVP, GM, Server",136903.0,3481580.2482000003,26.012733333333333,2026-04-20,32242.544
Karros Kirt P,"SVP, Treasurer, Corp Dev",78920.0,2921438.574,40.042300000000004,2026-07-22,0.0
MYERS MARIE,EVP & CFO,93583.0,2808135.7227000003,30.0069,2026-05-05,204754.0
REINER GARY M,Director,60000.0,2078432.0,39.6727,2026-06-03,82941.0
Cox Jeremy,"SVP, Controller & CTO",76966.0,1851455.3039,24.37816666666667,2025-12-11,0.0
Culloty Maeve C,"EVP, Pres & CEO Financial Serv",39696.0,980461.0290000001,24.88775,2025-12-11,0.0
Hobby Jean M.,Director,29000.0,689968.0,23.792,2025-12-08,32279.0
Mayer Bethany,Director,6482.0,188626.2,29.1,2026-05-05,8018.0
