vendor,kev_entries,added_since_2024,known_ransomware_use,first_added,last_added,share_of_group
Cisco,97,29,7,2021-11-03,2026-09-09,0.3730769230769231
Ivanti,35,23,12,2021-11-03,2026-06-11,0.1346153846153846
Fortinet,30,19,14,2021-11-03,2026-09-09,0.11538461538461539
Citrix,24,10,7,2021-11-03,2026-09-09,0.09230769230769231
SonicWall,19,10,13,2021-11-03,2026-09-02,0.07307692307692308
Palo Alto Networks,15,11,6,2022-01-10,2026-05-29,0.057692307692307696
Zyxel,12,3,2,2021-11-03,2025-02-11,0.046153846153846156
Juniper,8,2,0,2022-03-25,2025-10-02,0.03076923076923077
F5,7,1,4,2021-11-03,2026-03-27,0.026923076923076925
Sophos,7,2,2,2021-11-03,2025-02-06,0.026923076923076925
Check Point,3,3,2,2024-05-30,2026-07-22,0.011538461538461539
Arista,2,2,0,2026-06-09,2026-07-27,0.007692307692307693
HPE (excl. Juniper),1,1,0,2026-01-07,2026-01-07,0.0038461538461538464
