,ticker,coef,p
const,DLR,0.0941306740133469,0.023724423252963964
capex_lag0,DLR,-0.04402154619055274,0.7040409827374496
capex_lag1,DLR,0.1507383166834018,0.11099837188733269
capex_lag2,DLR,0.005428285058607174,0.937818846337636
capex_lag3,DLR,-0.03680762892284388,0.7531316169353576
capex_lag4,DLR,-0.016507227189362365,0.8820397296768815
const,HPE,-0.08692388949585136,0.0838743168259796
capex_lag0,HPE,0.24459018539031155,0.0859785481028134
capex_lag1,HPE,0.07165336010567887,0.5073701704381268
capex_lag2,HPE,0.04076643883805445,0.42492735286241956
capex_lag3,HPE,-0.0711847101051088,0.3517576152987846
capex_lag4,HPE,0.12239955799225306,0.2717447100661077
const,DELL,-0.1836380970110698,3.465192822216563e-05
capex_lag0,DELL,0.5640586897524839,0.001775648530818947
capex_lag1,DELL,-0.02082181267937149,0.8755561254396687
capex_lag2,DELL,-0.046950471876140445,0.6589835668417037
capex_lag3,DELL,0.12666153765699156,0.4539405017335221
capex_lag4,DELL,0.2200931014850805,0.3398126739237287
