quarter,landlord_cash,landlord_operating_profit,neocloud_cash,neocloud_operating_profit,neocloud_operating_profit_4yr_life,server_cash,server_operating_profit,landlord_cum_cash_x,landlord_cum_profit_x,neocloud_cum_cash_x,neocloud_cum_profit_x,server_cum_cash_x,server_cum_profit_x,neocloud_cum_profit_4yr_x
0,-291.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0
1,-291.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0
2,-291.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
3,-291.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
4,-291.6666666666667,0.0,0.0,0.0,0.0,-2256.7499999999995,0.0,-0.8333333333333334,0.0,0.0,0.0,-1.0,0.0,0.0
5,-291.6666666666667,0.0,-2654.9999999999995,0.0,0.0,0.0,398.24999999999994,-1.0000000000000002,0.0,-1.0,0.0,-1.0,0.17647058823529413,0.0
6,43.75,26.25,331.875,221.25,165.93750000000003,2654.9999999999995,0.0,-0.9750000000000001,0.015,-0.875,0.08333333333333334,0.17647058823529416,0.17647058823529413,0.06250000000000003
7,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.9500000000000002,0.03,-0.75,0.16666666666666669,0.17647058823529416,0.17647058823529413,0.12500000000000006
8,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.9250000000000002,0.045,-0.6249999999999999,0.25000000000000006,0.17647058823529416,0.17647058823529413,0.18750000000000008
9,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.9000000000000001,0.06,-0.4999999999999999,0.33333333333333337,0.17647058823529416,0.17647058823529413,0.2500000000000001
10,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.8750000000000001,0.075,-0.3749999999999999,0.41666666666666674,0.17647058823529416,0.17647058823529413,0.3125000000000001
11,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.8500000000000001,0.09,-0.24999999999999986,0.5000000000000001,0.17647058823529416,0.17647058823529413,0.3750000000000001
12,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.8250000000000002,0.105,-0.12499999999999985,0.5833333333333335,0.17647058823529416,0.17647058823529413,0.43750000000000017
13,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.8000000000000002,0.12,1.7127960485365882e-16,0.6666666666666667,0.17647058823529416,0.17647058823529413,0.5000000000000002
14,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.7750000000000001,0.135,0.1250000000000002,0.7500000000000001,0.17647058823529416,0.17647058823529413,0.5625000000000002
15,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.7500000000000001,0.15,0.2500000000000002,0.8333333333333335,0.17647058823529416,0.17647058823529413,0.6250000000000002
16,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.7250000000000001,0.165,0.3750000000000002,0.9166666666666669,0.17647058823529416,0.17647058823529413,0.6875000000000002
17,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.7000000000000002,0.18,0.5000000000000002,1.0000000000000002,0.17647058823529416,0.17647058823529413,0.7500000000000002
18,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.6750000000000002,0.195,0.6250000000000003,1.0833333333333335,0.17647058823529416,0.17647058823529413,0.8125000000000003
19,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.6500000000000001,0.21,0.7500000000000003,1.166666666666667,0.17647058823529416,0.17647058823529413,0.8750000000000003
20,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.6250000000000001,0.225,0.8750000000000003,1.2500000000000002,0.17647058823529416,0.17647058823529413,0.9375000000000003
21,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.6000000000000001,0.24,1.0000000000000004,1.3333333333333335,0.17647058823529416,0.17647058823529413,1.0000000000000004
22,43.75,26.25,331.875,221.25,331.875,0.0,0.0,-0.5750000000000002,0.255,1.1250000000000004,1.416666666666667,0.17647058823529416,0.17647058823529413,1.1250000000000004
23,43.75,26.25,331.875,221.25,331.875,0.0,0.0,-0.5500000000000002,0.27,1.2500000000000004,1.5000000000000002,0.17647058823529416,0.17647058823529413,1.2500000000000004
24,43.75,26.25,331.875,221.25,331.875,0.0,0.0,-0.5250000000000001,0.285,1.3750000000000004,1.5833333333333337,0.17647058823529416,0.17647058823529413,1.3750000000000004
25,43.75,26.25,331.875,221.25,331.875,0.0,0.0,-0.5000000000000001,0.3,1.5000000000000004,1.666666666666667,0.17647058823529416,0.17647058823529413,1.5000000000000004
26,43.75,26.25,132.75,22.125000000000014,132.75,0.0,0.0,-0.47500000000000014,0.315,1.5500000000000003,1.6750000000000003,0.17647058823529416,0.17647058823529413,1.5500000000000003
27,43.75,26.25,132.75,22.125000000000014,132.75,0.0,0.0,-0.4500000000000001,0.33,1.6000000000000003,1.6833333333333336,0.17647058823529416,0.17647058823529413,1.6000000000000003
28,43.75,26.25,132.75,22.125000000000014,132.75,-2256.7499999999995,0.0,-0.42500000000000016,0.345,1.6500000000000004,1.6916666666666669,-0.8235294117647058,0.17647058823529413,1.6500000000000004
29,43.75,26.25,-2522.2499999999995,22.125000000000014,132.75,0.0,398.24999999999994,-0.40000000000000013,0.36,0.7000000000000003,1.7000000000000004,-0.8235294117647058,0.35294117647058826,1.7000000000000004
30,43.75,26.25,331.875,221.25,165.93750000000003,2654.9999999999995,0.0,-0.3750000000000001,0.375,0.8250000000000003,1.7833333333333337,0.3529411764705883,0.35294117647058826,1.7625000000000004
31,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.35000000000000014,0.39,0.9500000000000003,1.866666666666667,0.3529411764705883,0.35294117647058826,1.8250000000000004
32,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.3250000000000001,0.405,1.0750000000000004,1.9500000000000004,0.3529411764705883,0.35294117647058826,1.8875000000000004
33,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.30000000000000016,0.42,1.2000000000000004,2.0333333333333337,0.3529411764705883,0.35294117647058826,1.9500000000000004
34,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.27500000000000013,0.435,1.3250000000000004,2.116666666666667,0.3529411764705883,0.35294117647058826,2.0125
35,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.2500000000000001,0.45,1.4500000000000004,2.2,0.3529411764705883,0.35294117647058826,2.075
36,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.22500000000000012,0.465,1.5750000000000002,2.2833333333333337,0.3529411764705883,0.35294117647058826,2.1375
37,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.20000000000000012,0.48,1.7000000000000004,2.366666666666667,0.3529411764705883,0.35294117647058826,2.2
38,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.17500000000000013,0.495,1.8250000000000004,2.4500000000000006,0.3529411764705883,0.35294117647058826,2.2625
39,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.15000000000000013,0.51,1.9500000000000004,2.5333333333333337,0.3529411764705883,0.35294117647058826,2.325
40,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.12500000000000014,0.525,2.075,2.616666666666667,0.3529411764705883,0.35294117647058826,2.3875000000000006
41,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.10000000000000013,0.54,2.2,2.7000000000000006,0.3529411764705883,0.35294117647058826,2.4500000000000006
42,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.07500000000000014,0.555,2.325,2.7833333333333337,0.3529411764705883,0.35294117647058826,2.5125000000000006
43,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.05000000000000013,0.57,2.4500000000000006,2.866666666666667,0.3529411764705883,0.35294117647058826,2.5750000000000006
44,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-0.02500000000000013,0.585,2.5750000000000006,2.9500000000000006,0.3529411764705883,0.35294117647058826,2.6375000000000006
45,43.75,26.25,331.875,221.25,165.93750000000003,0.0,0.0,-1.2992781453898976e-16,0.6,2.7000000000000006,3.0333333333333337,0.3529411764705883,0.35294117647058826,2.7000000000000006
46,43.75,26.25,331.875,221.25,331.875,0.0,0.0,0.02499999999999987,0.615,2.8250000000000006,3.116666666666667,0.3529411764705883,0.35294117647058826,2.8250000000000006
47,43.75,26.25,331.875,221.25,331.875,0.0,0.0,0.04999999999999987,0.63,2.9500000000000006,3.2000000000000006,0.3529411764705883,0.35294117647058826,2.9500000000000006
