fiscal_quarter,period_end,release,arr_m,yoy_growth,lower_bound,precision_m,source
Q4 FY21,2021-10-31,2021-11-30,796.0,0.36,False,1,HPE_8-K_Ex99-1_earnings_2021-11-30.htm
Q1 FY22,2022-01-31,2022-03-01,798.0,0.23,False,1,HPE_8-K_Ex99-1_earnings_2022-03-01.htm
Q2 FY22,2022-04-30,2022-06-01,829.0,0.25,False,1,HPE_8-K_Ex99-1_earnings_2022-06-01.htm
Q3 FY22,2022-07-31,2022-08-30,858.0,0.22,False,1,HPE_8-K_Ex99-1_earnings_2022-08-30.htm
Q4 FY22,2022-10-31,2022-11-29,936.0,0.17,False,1,HPE_8-K_Ex99-1_earnings_2022-11-29.htm
Q1 FY23,2023-01-31,2023-03-02,1000.0,0.26,True,100,HPE_8-K_Ex99-1_earnings_2023-03-02.htm
Q2 FY23,2023-04-30,2023-05-30,1100.0,0.35,False,100,HPE_8-K_Ex99-1_earnings_2023-05-30.htm
Q3 FY23,2023-07-31,2023-08-29,1300.0,0.48,False,100,HPE_8-K_Ex99-1_earnings_2023-08-29.htm
Q4 FY23,2023-10-31,2023-11-28,1300.0,0.39,False,100,HPE_8-K_Ex99-1_earnings_2023-11-28.htm
Q1 FY24,2024-01-31,2024-02-29,1400.0,0.42,False,100,HPE_8-K_Ex99-1_earnings_2024-02-29.htm
Q2 FY24,2024-04-30,2024-06-04,1500.0,0.37,False,100,HPE_8-K_Ex99-1_earnings_2024-06-04.htm
Q3 FY24,2024-07-31,2024-09-04,1700.0,0.35,False,100,HPE_8-K_Ex99-1_earnings_2024-09-04.htm
Q4 FY24,2024-10-31,2024-12-05,1900.0,0.49,False,100,HPE_8-K_Ex99-1_earnings_2024-12-05.htm
Q1 FY25,2025-01-31,2025-03-06,2100.0,0.45,False,100,HPE_8-K_Ex99-1_earnings_2025-03-06.htm
Q2 FY25,2025-04-30,2025-06-03,2200.0,0.46,False,100,HPE_8-K_Ex99-1_earnings_2025-06-03.htm
Q3 FY25,2025-07-31,2025-09-03,3100.0,0.77,False,100,HPE_8-K_Ex99-1_earnings_2025-09-03.htm
Q4 FY25,2025-10-31,2025-12-04,3200.0,0.63,False,100,HPE_8-K_Ex99-1_earnings_2025-12-04.htm
