segment,fiscal_year,net_revenue_m,operating_profit_m,operating_margin,revenue_share,profit_share
Financial Services,2023,3480.0,281.0,0.08074712643678161,0.12119945669209069,0.07623440043407488
Hybrid Cloud,2023,5588.0,247.0,0.04420186113099499,0.1946156793090238,0.06701030927835051
Networking,2023,5379.0,1343.0,0.2496746607176055,0.18733674642148157,0.36435160065111233
Server,2023,14266.0,1815.0,0.12722557128837797,0.49684811757740394,0.4924036896364623
Financial Services,2024,3512.0,316.0,0.08997722095671981,0.11850852033069006,0.090440755580996
Hybrid Cloud,2024,5487.0,259.0,0.04720247858574813,0.1851526910747427,0.07412707498568975
Networking,2024,4532.0,1115.0,0.24602824360105913,0.15292728193015015,0.31911848883800803
Server,2024,16104.0,1804.0,0.11202185792349727,0.5434115066644171,0.5163136805953062
Financial Services,2025,3504.0,361.0,0.10302511415525115,0.10350633621835584,0.09931224209078404
Hybrid Cloud,2025,5754.0,335.0,0.05822036843934654,0.1699701651256905,0.0921595598349381
Networking,2025,6850.0,1596.0,0.232992700729927,0.20234543467344104,0.4390646492434663
Server,2025,17745.0,1343.0,0.07568329106790646,0.5241780639825127,0.36946354883081156
