,fiscal_quarter,forecast,lo80,hi80,lo95,hi95,actual,actual_vs_forecast,outside_95
2025Q2,Q3 FY25,7478.837167330837,6963.582091932272,8032.21741871197,6705.351696791737,8341.546857596002,9135.999999999998,0.22158027987398943,True
2025Q3,Q4 FY25,7263.9166924354995,6684.471401746357,7893.591361742989,6396.68375475038,8248.725079688129,9679.000000000007,0.3324767353237308,True
2025Q4,Q1 FY26,7263.9166924354995,6684.471401746357,7893.591361742989,6396.68375475038,8248.725079688129,9301.000000000005,0.28043869358880236,True
2026Q1,Q2 FY26,7263.9166924354995,6684.471401746357,7893.591361742989,6396.68375475038,8248.725079688129,10677.999999999995,0.47000584562318215,True
2026Q2,Q3 FY26,7263.9166924354995,6684.471401746357,7893.591361742989,6396.68375475038,8248.725079688129,12213.0,0.6813243484356557,True
2026Q3,Q4 FY26,7263.9166924354995,6684.471401746357,7893.591361742989,6396.68375475038,8248.725079688129,,,False
2026Q4,Q1 FY27,7263.9166924354995,6684.471401746357,7893.591361742989,6396.68375475038,8248.725079688129,,,False
2027Q1,Q2 FY27,7263.9166924354995,6684.471401746357,7893.591361742989,6396.68375475038,8248.725079688129,,,False
2027Q2,Q3 FY27,7263.9166924354995,6684.471401746357,7893.591361742989,6396.68375475038,8248.725079688129,,,False
2027Q3,Q4 FY27,7263.9166924354995,6684.471401746357,7893.591361742989,6396.68375475038,8248.725079688129,,,False
