order,seasonal,aicc,aic,converged
"(0, 0, 1)","(0, 0, 0)",-80.76052032075344,-81.68359724383036,True
"(1, 0, 0)","(0, 0, 0)",-79.2250694206604,-80.14814634373732,True
"(1, 0, 1)","(1, 0, 0)",-79.04331614941496,-81.54331614941496,True
"(2, 0, 0)","(0, 0, 0)",-78.00979528579686,-79.60979528579685,True
"(2, 1, 0)","(0, 0, 0)",-77.66229737274683,-78.58537429582375,True
"(2, 0, 0)","(1, 0, 0)",-77.10192681009327,-79.60192681009327,True
"(0, 1, 0)","(1, 0, 0)",-76.84608108904516,-77.2905255334896,True
"(1, 1, 1)","(1, 0, 0)",-76.43902131534753,-78.03902131534753,True
"(2, 1, 1)","(0, 0, 0)",-75.52930695163599,-77.12930695163598,True
"(2, 1, 0)","(1, 0, 0)",-75.13102716124465,-76.73102716124464,True
"(0, 1, 1)","(1, 0, 0)",-74.5295466872545,-75.45262361033141,True
"(2, 1, 1)","(1, 0, 0)",-74.4880670937363,-76.9880670937363,True
"(1, 1, 0)","(1, 0, 0)",-74.4405955394979,-75.36367246257483,True
"(1, 1, 1)","(0, 0, 0)",-73.50947949507245,-74.43255641814937,True
"(0, 1, 0)","(0, 0, 0)",-73.44961284536109,-73.59246998821823,True
"(0, 1, 1)","(0, 0, 0)",-72.67661878954902,-73.12106323399347,True
"(1, 0, 1)","(0, 1, 1)",-72.23701617967912,-73.83701617967911,True
"(0, 0, 0)","(0, 0, 0)",-71.75628768410515,-72.20073212854959,True
"(1, 1, 0)","(0, 0, 0)",-71.26166339697646,-71.7061078414209,True
"(0, 1, 0)","(0, 1, 1)",-70.81915944815199,-71.26360389259644,True
"(2, 0, 1)","(0, 1, 1)",-69.81506099132413,-72.31506099132413,True
"(0, 0, 0)","(1, 0, 0)",-69.277711860821,-70.20078878389792,True
"(1, 1, 0)","(0, 1, 1)",-68.83291973588247,-69.75599665895939,True
"(0, 1, 1)","(0, 1, 1)",-68.77523456920179,-69.6983114922787,True
"(2, 1, 0)","(0, 1, 1)",-66.32275127098283,-67.92275127098283,True
"(0, 0, 1)","(0, 1, 1)",-66.00397706054349,-66.92705398362041,True
"(1, 0, 0)","(0, 1, 0)",-65.25452336967653,-65.69896781412098,True
"(0, 0, 1)","(0, 1, 0)",-63.542767154814186,-63.98721159925863,True
"(2, 0, 0)","(0, 1, 0)",-63.40351897424097,-64.32659589731789,True
"(2, 1, 1)","(0, 1, 1)",-63.312719761559464,-65.81271976155946,True
"(1, 0, 1)","(0, 1, 0)",-63.169476376398194,-64.09255329947511,True
"(2, 0, 1)","(0, 1, 0)",-62.06406325393855,-63.66406325393855,True
"(0, 1, 0)","(0, 1, 0)",-59.59431110645698,-59.737168249314124,True
"(1, 1, 1)","(0, 1, 0)",-57.841690915410155,-58.764767838487074,True
"(0, 1, 1)","(0, 1, 0)",-57.484832560521774,-57.92927700496622,True
"(1, 1, 0)","(0, 1, 0)",-57.46004564991337,-57.90449009435781,True
"(0, 0, 0)","(0, 1, 1)",-56.36238921083197,-56.806833655276414,True
"(2, 1, 0)","(0, 1, 0)",-55.0587187618929,-55.98179568496982,True
"(0, 0, 0)","(0, 1, 0)",-54.64979844102812,-54.792655583885264,True
