,3Y,3Y,3Y,Full period,Full period,Full period
,cagr,ann_vol,max_drawdown,cagr,ann_vol,max_drawdown
HPE,0.5783424837089213,0.46359633056905597,-0.4835785283119539,0.2344151838879256,0.38349301393248886,-0.5687297084676786
SPY,0.21180512690684172,0.15332996646130503,-0.18755231324828703,0.14461739703403387,0.17707724750032183,-0.33717239729176285
XLK,0.30962953434593055,0.2509620722246583,-0.25656305410266356,0.231697341319701,0.24438318074754956,-0.33559079560868466
DELL,1.035056062783437,0.6166756450538018,-0.595877367045596,0.47995295599283594,0.4529263538073229,-0.595877367045596
SMCI,0.14432544352551901,1.0019781003202668,-0.8484096025557223,0.27103446640210316,0.7117081111444513,-0.8484096025557223
CSCO,0.29134640028236203,0.2632368823099365,-0.18111282595824596,0.1676726431596658,0.2610987447779452,-0.4195111696572891
ANET,0.6169584363450689,0.5070207175846966,-0.5041596124253692,0.43786955987519005,0.45400432673758456,-0.5220064856586243
NTAP,0.39240265126865514,0.37969148459689145,-0.4260844637042941,0.2050196229217438,0.3579828737406036,-0.5807786100122363
P,0.36900777792219674,0.5996055794183873,-0.4862512243454107,0.1755243404459923,0.5204533778687157,-0.69434751306627
