week,type,price
2023-09-29,swing high,17.75
2023-10-20,swing low,14.914999961853027
2024-01-12,swing high,17.799999237060547
2024-01-19,swing low,14.699999809265137
2024-03-01,swing low,14.46500015258789
2024-03-08,swing high,20.06999969482422
2024-05-03,swing low,16.260000228881836
2024-06-21,swing high,22.81999969482422
2024-08-09,swing low,16.610000610351562
2024-09-13,swing low,15.770000457763672
2024-12-06,swing high,24.239999771118164
2024-12-20,swing low,20.549999237060547
2025-01-24,swing high,24.65999984741211
2025-04-04,swing low,11.96500015258789
2025-07-11,swing high,21.71999931335449
2025-08-08,swing low,19.63500022888184
2025-10-10,swing high,26.440000534057617
2025-10-17,swing low,22.11000061035156
2025-11-21,swing low,19.924999237060547
2025-12-12,swing high,25.40999984741211
2026-01-23,swing low,20.075000762939453
2026-02-13,swing high,24.3799991607666
2026-02-27,swing low,19.84000015258789
2026-06-05,swing high,64.25
2026-07-03,swing low,40.71500015258789
2026-08-14,swing high,63.43999862670898
2026-09-04,swing low,45.70000076293945
