year,revenue,growth,non_gaap_margin,ebit,nopat,depreciation,capex,delta_nwc,fcff,t,discount_factor,pv_fcff
FY2027E,53474.99999999999,0.15,0.145,6491.324999999999,5387.799749999999,2673.75,2780.7,418.49999999999955,4862.349749999999,0.6379192334017796,0.944848859807474,4594.185617272656
FY2028E,56683.49999999999,0.06,0.135,6481.969499999999,5380.034684999999,2834.1749999999997,2947.542,192.51,5074.157684999998,1.6399726214921286,0.8642932705133081,4385.560340668884
FY2029E,59517.674999999996,0.05,0.13,6665.9796,5532.763067999999,2975.88375,3094.9191,170.05050000000017,5243.677217999999,2.639288158795346,0.7907981793807508,4146.69039725472
FY2030E,62195.97037499999,0.045,0.125,6654.968830124999,5523.624129003749,3109.79851875,3234.1904594999996,160.69772249999966,5238.534465753749,3.6386036960985626,0.723552735913939,3790.3559448755896
FY2031E,64683.80918999999,0.04,0.125,6921.167583329999,5744.569094163899,3234.1904594999996,3363.55807788,149.27032890000015,5465.931146883899,4.63791923340178,0.6620255019536149,3618.585811159711
FY2032E,67109.45203462499,0.0375,0.125,7180.711367704874,5959.9904351950445,3355.4726017312496,3489.6915058004997,145.53857067749996,5680.232960448295,5.639972621492129,0.6055827662884564,3439.851189351147
FY2033E,69458.28285583686,0.035,0.125,7432.036265574544,6168.590100426871,3472.9141427918435,3611.830708503517,140.9298492727123,5888.743685442485,6.639288158795345,0.5540870968032099,3262.876892485061
FY2034E,71715.67704865156,0.0325,0.125,7673.577444205716,6369.069278690744,3585.783852432578,3729.2152065298815,135.44365156888176,6090.194273024558,7.638603696098563,0.5069703563815928,3087.547961028396
FY2035E,73867.1473601111,0.03,0.125,7903.784767531888,6560.141357051467,3693.3573680055556,3841.091662725778,129.0882186875728,6283.318843643673,8.63791923340178,0.46386018323210004,2914.5814301182613
FY2036E,75898.49391251417,0.0275,0.125,8121.138848639016,6740.5452443703825,3794.9246956257084,3946.721683450737,121.8807931441837,6466.867463401171,9.639972621492129,0.4243125560931144,2743.9730633111462
