year,revenue,growth,non_gaap_margin,ebit,nopat,depreciation,capex,delta_nwc,fcff,t,discount_factor,pv_fcff
FY2027E,51150.00000000001,0.1,0.13,5428.800000000001,4505.904,2557.5000000000005,2659.8000000000006,325.50000000000057,4078.103999999999,0.6379192334017796,0.944848859807474,3853.191914576298
FY2028E,49615.50000000001,-0.03,0.11,4414.626,3664.13958,2480.7750000000005,2580.0060000000008,-107.415,3672.3235799999998,1.6399726214921286,0.8642932705133081,3173.9645573413395
FY2029E,50607.810000000005,0.02,0.105,4402.87947,3654.3899601,2530.3905000000004,2631.6061200000004,69.46169999999984,3483.7126401000005,2.639288158795346,0.7907981793807508,2754.913613276789
FY2030E,51873.00525,0.025,0.105,4512.95145675,3745.7497091024998,2593.6502625000003,2697.3962730000003,88.5636674999998,3553.4400311025,3.6386036960985626,0.723552735913939,2571.101256410326
FY2031E,53169.830381249994,0.025,0.105,4625.7752431687495,3839.393451830062,2658.4915190624997,2764.831179825,90.77775918749948,3642.276031880062,4.63791923340178,0.6620255019536149,2411.2796182590187
FY2032E,54499.07614078124,0.025,0.105,4741.4196242479675,3935.378288125813,2724.953807039062,2833.9519593206246,93.04720316718712,3733.332932677063,5.639972621492129,0.6055827662884564,2260.8420848463716
FY2033E,55589.05766359686,0.02,0.105,4836.248016732927,4014.085853888329,2779.4528831798434,2890.630998507037,76.29870659709356,3826.609031964042,6.639288158795345,0.5540870968032099,2120.2746891218976
FY2034E,56700.838816868796,0.02,0.105,4932.972977067585,4094.367570966095,2835.04194084344,2948.4436184771776,77.82468072903546,3903.1412126033224,7.638603696098563,0.5069703563815928,1978.7768915611887
FY2035E,57834.85559320617,0.02,0.105,5031.632436608937,4176.254922385418,2891.7427796603088,3007.412490846721,79.38117434361631,3981.204036855389,8.63791923340178,0.46386018323210004,1846.722034020117
FY2036E,58991.552705070295,0.02,0.105,5132.265085341115,4259.7800208331255,2949.577635253515,3067.5607406636555,80.96879783048863,4060.8281175924963,9.639972621492129,0.4243125560931144,1723.0603584304622
