year,revenue,growth,non_gaap_margin,ebit,nopat,depreciation,capex,delta_nwc,fcff,t,discount_factor,pv_fcff
FY2027E,54405.0,0.17,0.15,6881.46,5711.6118,2720.25,2829.0600000000004,395.25,5207.551799999998,0.6379192334017796,0.944848859807474,4920.349380618358
FY2028E,59301.450000000004,0.09,0.15,7677.791400000001,6372.566862000001,2965.0725,3083.6754000000005,244.82250000000022,6009.141462000001,1.6399726214921286,0.8642932705133081,5193.660527169102
FY2029E,63452.55150000001,0.07,0.148,8248.831695,6846.530306850001,3172.6275750000004,3299.532678000001,207.55507500000022,6512.07012885,2.639288158795346,0.7907981793807508,5149.733201894352
FY2030E,67259.70459000001,0.06,0.145,8541.982482930001,7089.845460831901,3362.9852295000005,3497.504638680001,190.3576545,6764.968397151901,3.6386036960985626,0.723552735913939,4894.811392130592
FY2031E,70622.68981950001,0.05,0.145,8969.081607076501,7444.337733873495,3531.1344909750005,3672.379870614001,168.14926147500012,7134.943092759495,4.63791923340178,0.6620255019536149,4723.514282394582
FY2032E,73800.7108613775,0.045,0.145,9372.690279394943,7779.332931897802,3690.0355430688755,3837.636964791631,158.90105209387477,7472.830458081172,5.639972621492129,0.6055827662884564,4525.417340809429
FY2033E,76752.73929583261,0.04,0.145,9747.597890570742,8090.506249173715,3837.636964791631,3991.142443383296,147.6014217227552,7789.399348859295,6.639288158795345,0.5540870968032099,4316.00567105026
FY2034E,79822.84886766592,0.04,0.145,10137.501806193572,8414.126499140664,3991.1424433832963,4150.788141118628,153.50547859166545,8100.975322813667,7.638603696098563,0.5069703563815928,4106.954346445334
FY2035E,82616.64857803422,0.035,0.145,10492.314369410346,8708.620926610587,4130.832428901711,4296.06572605778,139.68998551841506,8403.697643936104,8.63791923340178,0.46386018323210004,3898.1407289433687
FY2036E,85508.2312782654,0.035,0.145,10859.545372339706,9013.422659041955,4275.411563913271,4446.428026469802,144.57913501155926,8697.827061473863,9.639972621492129,0.4243125560931144,3690.597232909837
