contract,expiration,type,strike,spot,bid,ask,last,volume,open_interest,iv,vendor_delta,vendor_gamma,vendor_theta,vendor_vega,quote_timestamp,last_trade_timestamp,underlying_last_trade_timestamp,multiplier,midpoint,spread_pct,days_to_expiration,moneyness,same_session,trade_age_days,usable,liquidity_screen
MTRN261016C00230000,2026-10-16,call,230.0,251.53,25.7,29.0,0.0,0.0,0.0,0.4956,0.7632,0.0084,-0.201,0.2158,2026-09-19 01:47:18,,2026-09-18T15:59:59,100,27.35,0.12065813528336382,28,1.093608695652174,True,,False,False
MTRN261016P00230000,2026-10-16,put,230.0,251.53,3.0,7.3,0.0,0.0,0.0,0.5084,-0.2382,0.0085,-0.2023,0.2165,2026-09-19 01:47:18,,2026-09-18T15:59:59,100,5.15,0.8349514563106796,28,1.093608695652174,True,,False,False
MTRN261016C00240000,2026-10-16,call,240.0,251.53,19.5,22.9,27.51,0.0,2.0,0.5185,0.6657,0.0101,-0.2346,0.2542,2026-09-19 01:47:18,2026-09-09T10:01:39,2026-09-18T15:59:59,100,21.2,0.16037735849056597,28,1.0480416666666668,True,9.0,False,False
MTRN261016P00240000,2026-10-16,put,240.0,251.53,6.4,10.5,0.0,0.0,0.0,0.508,-0.3364,0.0102,-0.2364,0.2545,2026-09-19 01:47:18,,2026-09-18T15:59:59,100,8.45,0.48520710059171596,28,1.0480416666666668,True,,False,False
MTRN261016C00250000,2026-10-16,call,250.0,251.53,13.5,17.5,0.0,0.0,0.0,0.5126,0.5572,0.011,-0.2542,0.2755,2026-09-19 01:47:18,,2026-09-18T15:59:59,100,15.5,0.25806451612903225,28,1.00612,True,,False,False
MTRN261016P00250000,2026-10-16,put,250.0,251.53,11.2,15.0,0.0,0.0,0.0,0.5158,-0.4458,0.0111,-0.2565,0.2755,2026-09-19 01:47:18,,2026-09-18T15:59:59,100,13.1,0.29007633587786263,28,1.00612,True,,False,False
MTRN261016C00260000,2026-10-16,call,260.0,251.53,9.4,13.0,16.65,0.0,2.0,0.5176,0.4492,0.0109,-0.2566,0.276,2026-09-19 01:47:18,2026-09-08T11:51:36,2026-09-18T15:59:59,100,11.2,0.3214285714285714,28,0.9674230769230769,True,10.0,False,False
MTRN261016P00260000,2026-10-16,put,260.0,251.53,17.2,20.5,39.56,0.0,1.0,0.5226,-0.5549,0.011,-0.2595,0.2753,2026-09-19 01:47:18,2026-08-24T09:59:09,2026-09-18T15:59:59,100,18.85,0.1750663129973475,28,0.9674230769230769,True,25.0,False,False
MTRN261016C00270000,2026-10-16,call,270.0,251.53,6.5,9.8,7.9,1.0,1.0,0.5318,0.3517,0.0101,-0.2438,0.259,2026-09-19 01:47:18,2026-09-18T09:44:57,2026-09-18T15:59:59,100,8.15,0.40490797546012275,28,0.9315925925925926,True,0.0,False,False
MTRN261016P00270000,2026-10-16,put,270.0,251.53,24.2,27.5,0.0,0.0,0.0,0.5386,-0.6536,0.0102,-0.2474,0.2566,2026-09-19 01:47:18,,2026-09-18T15:59:59,100,25.85,0.12765957446808512,28,0.9315925925925926,True,,False,False
MTRN261016C00280000,2026-10-16,call,280.0,251.53,3.8,7.5,5.5,3.0,1.0,0.5351,0.27,0.0088,-0.2211,0.231,2026-09-19 01:47:18,2026-09-18T11:03:12,2026-09-18T15:59:59,100,5.65,0.6548672566371682,28,0.8983214285714286,True,0.0,False,False
