ticker,metric,tag,namespace,unit,start,end,val,accn,fy,fp,form,filed,frame
ENTG,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap,USD,2025-01-01,2025-12-31,3196600000,0001101302-26-000012,2025,FY,10-K,2026-02-11,CY2025
ENTG,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap,USD,2026-01-01,2026-06-27,1695100000,0001101302-26-000150,2026,Q2,10-Q,2026-08-04,
ENTG,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap,USD,2025-01-01,2025-06-28,1565600000,0001101302-26-000150,2026,Q2,10-Q,2026-08-04,
ENTG,NetIncomeLoss,NetIncomeLoss,us-gaap,USD,2025-01-01,2025-12-31,235600000,0001101302-26-000012,2025,FY,10-K,2026-02-11,CY2025
ENTG,NetIncomeLoss,NetIncomeLoss,us-gaap,USD,2026-01-01,2026-06-27,185600000,0001101302-26-000150,2026,Q2,10-Q,2026-08-04,
ENTG,NetIncomeLoss,NetIncomeLoss,us-gaap,USD,2025-01-01,2025-06-28,115700000,0001101302-26-000150,2026,Q2,10-Q,2026-08-04,
ENTG,OperatingIncomeLoss,OperatingIncomeLoss,us-gaap,USD,2025-01-01,2025-12-31,455900000,0001101302-26-000012,2025,FY,10-K,2026-02-11,CY2025
ENTG,OperatingIncomeLoss,OperatingIncomeLoss,us-gaap,USD,2026-01-01,2026-06-27,306200000,0001101302-26-000150,2026,Q2,10-Q,2026-08-04,
ENTG,OperatingIncomeLoss,OperatingIncomeLoss,us-gaap,USD,2025-01-01,2025-06-28,228400000,0001101302-26-000150,2026,Q2,10-Q,2026-08-04,
ENTG,GrossProfit,GrossProfit,us-gaap,USD,2025-01-01,2025-12-31,1419900000,0001101302-26-000012,2025,FY,10-K,2026-02-11,CY2025
ENTG,GrossProfit,GrossProfit,us-gaap,USD,2026-01-01,2026-06-27,800800000,0001101302-26-000150,2026,Q2,10-Q,2026-08-04,
ENTG,GrossProfit,GrossProfit,us-gaap,USD,2025-01-01,2025-06-28,708000000,0001101302-26-000150,2026,Q2,10-Q,2026-08-04,
ENTG,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,us-gaap,USD,2025-01-01,2025-12-31,695400000,0001101302-26-000012,2025,FY,10-K,2026-02-11,CY2025
ENTG,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,us-gaap,USD,2026-01-01,2026-06-27,339200000,0001101302-26-000150,2026,Q2,10-Q,2026-08-04,
ENTG,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,us-gaap,USD,2025-01-01,2025-06-28,253900000,0001101302-26-000150,2026,Q2,10-Q,2026-08-04,
ENTG,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2025-01-01,2025-12-31,299200000,0001101302-26-000012,2025,FY,10-K,2026-02-11,CY2025
ENTG,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2026-01-01,2026-06-27,80800000,0001101302-26-000150,2026,Q2,10-Q,2026-08-04,
