task,horizon,ticker,model,regime,value,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
excess_return,1,ATI,boost_full,high_vol_regime,0,32,0.1262714478570924,0.0920448734215875,-0.0668253976277624,-0.01988046451565987,0.022419829172745754,0,2023-03-31,2026-08-31,0.53125,0.53125,0.53125,0.0,,,,
excess_return,1,ATI,boost_full,high_vol_regime,1,12,0.13519205190825168,0.09319258852204566,0.015293770121471373,-0.04662524875856597,0.08529038120466347,0,2023-01-31,2026-07-31,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,ATI,boost_full,rate_rising_regime,0,16,0.15038825315963775,0.1123278017491876,0.010812770737317345,-0.04908371011513436,0.24686008982371654,0,2023-02-28,2026-01-31,0.625,0.6875,0.6875,0.0,,,,
excess_return,1,ATI,boost_full,rate_rising_regime,1,28,0.1145924419692131,0.08094650656315523,-0.09699328751962022,-0.01465494599149135,-0.04644314208563298,0,2023-01-31,2026-08-31,0.5,0.5,0.5,0.0,,,,
excess_return,1,ATI,boost_full,calendar_year,2023,12,0.10341386352618355,0.07367328828898807,-0.08547552498562228,-0.027475447599271865,0.08816490540395562,0,2023-01-31,2023-12-31,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ATI,boost_full,calendar_year,2024,12,0.1356066301033148,0.10788036312798686,-0.08979280086853203,0.001046637332862672,-0.0721639930752813,0,2024-01-31,2024-12-31,0.3333333333333333,0.5,0.5,0.0,,,,
excess_return,1,ATI,boost_full,calendar_year,2025,12,0.1309861377852222,0.08445531175482023,0.08489355384289432,-0.04049613466728275,0.33253801362075397,0,2025-01-31,2025-12-31,0.6666666666666666,0.75,0.75,0.0,,,,
excess_return,1,ATI,boost_full,calendar_year,2026,8,0.14775594790238694,0.10895493171172578,-0.12471201830524747,-0.04907231379995053,-0.5013967458144497,0,2026-01-31,2026-08-31,0.5,0.625,0.625,0.0,,,,
excess_return,1,ATI,core_ridge,high_vol_regime,0,32,0.12158021732314889,0.09347744118307406,0.010971386001316419,-0.002265277012196941,0.13473258051241613,0,2023-03-31,2026-08-31,0.5,0.53125,0.53125,0.0,,,,
excess_return,1,ATI,core_ridge,high_vol_regime,1,12,0.1498701970984276,0.10905016352208773,-0.21013806821162162,-0.04392341637033224,-0.38701694807504544,0,2023-01-31,2026-07-31,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,ATI,core_ridge,rate_rising_regime,0,16,0.15718972168722456,0.12118728298712958,-0.08068459637090153,-0.042080757375702584,-0.18723812176490737,0,2023-02-28,2026-01-31,0.5625,0.6875,0.6875,0.0,,,,
excess_return,1,ATI,core_ridge,rate_rising_regime,1,28,0.11135707526003844,0.08431726972604821,-0.03592342369289936,0.0026329377563197266,0.08090373900470953,0,2023-01-31,2026-08-31,0.5,0.5,0.5,0.0,,,,
excess_return,1,ATI,core_ridge,calendar_year,2023,12,0.10594127105628265,0.08592133545557945,-0.13918135094792694,-0.01742842736811352,-0.4799716620078075,0,2023-01-31,2023-12-31,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ATI,core_ridge,calendar_year,2024,12,0.13502078268570747,0.11426939496668102,-0.08039690071770123,0.002310187122297186,-0.6759491622235834,0,2024-01-31,2024-12-31,0.4166666666666667,0.5,0.5,0.0,,,,
excess_return,1,ATI,core_ridge,calendar_year,2025,12,0.13888883056644602,0.08547425284363087,-0.028858342189787,-0.04667676233669201,-0.36369031771905685,0,2025-01-31,2025-12-31,0.75,0.75,0.75,0.0,,,,
excess_return,1,ATI,core_ridge,calendar_year,2026,8,0.14036453631727508,0.10898753511659086,-0.015000326177197376,0.01774627126947637,-0.7849110148130336,0,2026-01-31,2026-08-31,0.625,0.625,0.625,0.0,,,,
excess_return,1,ATI,historical_mean,high_vol_regime,0,32,0.12225270777178791,0.09446680070704222,0.0,-0.007973970640734096,0.007728079264413795,0,2023-03-31,2026-08-31,0.53125,0.53125,0.53125,0.0,,,,
excess_return,1,ATI,historical_mean,high_vol_regime,1,12,0.13623786117159076,0.09358136985665842,0.0,-0.04608669969381093,-0.5283153568949851,0,2023-01-31,2026-07-31,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,ATI,historical_mean,rate_rising_regime,0,16,0.15120796353887248,0.11525037599198859,0.0,-0.035918026195468786,-0.3988925078218357,0,2023-02-28,2026-01-31,0.6875,0.6875,0.6875,0.0,,,,
excess_return,1,ATI,historical_mean,rate_rising_regime,1,28,0.10940923698260474,0.08221100160833696,0.0,-0.008339965632204346,-0.04894508159904871,0,2023-01-31,2026-08-31,0.5,0.5,0.5,0.0,,,,
excess_return,1,ATI,historical_mean,calendar_year,2023,12,0.09925873723773304,0.08591750694448876,0.0,-0.005941651483335163,-0.6794340915295064,0,2023-01-31,2023-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ATI,historical_mean,calendar_year,2024,12,0.12989994175143332,0.11020463189683188,0.0,0.010473287661263203,-0.54874049084114,0,2024-01-31,2024-12-31,0.5,0.5,0.5,0.0,,,,
excess_return,1,ATI,historical_mean,calendar_year,2025,12,0.13692713761260067,0.08394246067183224,0.0,-0.04185454850677487,-0.27219030258736104,0,2025-01-31,2025-12-31,0.75,0.75,0.75,0.0,,,,
excess_return,1,ATI,historical_mean,calendar_year,2026,8,0.13932347704280992,0.09814235834342717,0.0,-0.04504156361038254,-0.6531859026960719,0,2026-01-31,2026-08-31,0.625,0.625,0.625,0.0,,,,
excess_return,1,ATI,ridge_full,high_vol_regime,0,32,0.11647915148141727,0.09446276801544477,0.09222248291792601,-0.01431462591096502,0.34329520756197374,0,2023-03-31,2026-08-31,0.53125,0.53125,0.53125,0.0,,,,
excess_return,1,ATI,ridge_full,high_vol_regime,1,12,0.1595045389882209,0.11426577179972634,-0.37072539394128645,-0.07542992010368994,-0.5705433070650264,0,2023-01-31,2026-07-31,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,ATI,ridge_full,rate_rising_regime,0,16,0.1619845040893156,0.13011835402217614,-0.14761869010055984,-0.05657452000078461,-0.09665216831748268,0,2023-02-28,2026-01-31,0.375,0.6875,0.6875,0.0,,,,
excess_return,1,ATI,ridge_full,rate_rising_regime,1,28,0.10684322122486373,0.08257514906200467,0.04635668731466136,-0.016358383942235932,0.24694834181440062,0,2023-01-31,2026-08-31,0.4642857142857143,0.5,0.5,0.0,,,,
excess_return,1,ATI,ridge_full,calendar_year,2023,12,0.11589552464006427,0.10060306542019569,-0.36331382857697925,-0.012084965905500816,-0.6199684962318986,0,2023-01-31,2023-12-31,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ATI,ridge_full,calendar_year,2024,12,0.12055010059241161,0.10387898573392024,0.13877378372095928,0.00022384326152604406,0.4539845559857806,0,2024-01-31,2024-12-31,0.5833333333333334,0.5,0.5,0.0,,,,
excess_return,1,ATI,ridge_full,calendar_year,2025,12,0.1505824014416234,0.09463793000059362,-0.20939836901797926,-0.07018236259856399,-0.055285514124612266,0,2025-01-31,2025-12-31,0.5,0.75,0.75,0.0,,,,
excess_return,1,ATI,ridge_full,calendar_year,2026,8,0.1283486631934564,0.10056975802930429,0.15133930150925,-0.047338155935586844,0.47302932074482873,0,2026-01-31,2026-08-31,0.5,0.625,0.625,0.0,,,,
excess_return,1,ATI,zero,high_vol_regime,0,32,0.12452988541777486,0.09480697359842899,-0.03760057282379625,-0.025016654357131594,,0,2023-03-31,2026-08-31,0.0,0.53125,0.53125,32.0,,,,
excess_return,1,ATI,zero,high_vol_regime,1,12,0.14174480408450302,0.0969682907191981,-0.08247696192692522,-0.06315882254953414,,0,2023-01-31,2026-07-31,0.0,0.6666666666666666,0.6666666666666666,12.0,,,,
excess_return,1,ATI,zero,rate_rising_regime,0,16,0.15540399389440018,0.12065112982868842,-0.05627018983810195,-0.05229965289726629,,0,2023-02-28,2026-01-31,0.0,0.6875,0.6875,16.0,,,,
excess_return,1,ATI,zero,rate_rising_regime,1,28,0.11195324411738809,0.08096516309003894,-0.0470450961286113,-0.025773012988084303,,0,2023-01-31,2026-08-31,0.0,0.5,0.5,28.0,,,,
excess_return,1,ATI,zero,calendar_year,2023,12,0.10094166695796312,0.08266418344502026,-0.03419742756701272,-0.022305323111334038,,0,2023-01-31,2023-12-31,0.0,0.4166666666666667,0.4166666666666667,12.0,,,,
excess_return,1,ATI,zero,calendar_year,2024,12,0.12903289700052792,0.10826417480211624,0.013304872998132877,-0.005608511832619067,,0,2024-01-31,2024-12-31,0.0,0.5,0.5,12.0,,,,
excess_return,1,ATI,zero,calendar_year,2025,12,0.14231857985601085,0.09040853896217454,-0.08029942204856355,-0.05802447331747984,,0,2025-01-31,2025-12-31,0.0,0.75,0.75,12.0,,,,
excess_return,1,ATI,zero,calendar_year,2026,8,0.14672499263192473,0.10267498465854659,-0.10907159849954318,-0.06589738886067821,,0,2026-01-31,2026-08-31,0.0,0.625,0.625,8.0,,,,
excess_return,1,CRS,boost_full,high_vol_regime,0,32,0.14607386903802316,0.1183168696026156,-0.040766926360059186,-0.039472885074268535,0.013968889296107833,0,2023-03-31,2026-08-31,0.3125,0.53125,0.53125,0.0,,,,
excess_return,1,CRS,boost_full,high_vol_regime,1,12,0.12324538950043266,0.10362201164089123,-0.08992324333868407,-0.04638217463233668,-0.3073834319043808,0,2023-01-31,2026-07-31,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,CRS,boost_full,rate_rising_regime,0,16,0.10485172251715516,0.0852880243045808,0.07084487821773622,-0.0204214089230434,0.2911151060528773,0,2023-02-28,2026-01-31,0.4375,0.5,0.5,0.0,,,,
excess_return,1,CRS,boost_full,rate_rising_regime,1,28,0.15688637606605724,0.13089269921789648,-0.08706245327613016,-0.05332056697128353,-0.16983374742182067,0,2023-01-31,2026-08-31,0.2857142857142857,0.6071428571428571,0.6071428571428571,0.0,,,,
excess_return,1,CRS,boost_full,calendar_year,2023,12,0.1297150364692405,0.11354556896779948,-0.19910871496613902,-0.051816975948448106,-0.34430472749589314,0,2023-01-31,2023-12-31,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,CRS,boost_full,calendar_year,2024,12,0.16547363105797774,0.13458454892070507,-0.061428830866604445,-0.0647737386567156,-0.03158912499547028,0,2024-01-31,2024-12-31,0.25,0.5,0.5,0.0,,,,
excess_return,1,CRS,boost_full,calendar_year,2025,12,0.10087222856486938,0.0832775713404124,0.13204412353136574,-0.02056470882534264,0.3850244484108468,0,2025-01-31,2025-12-31,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,,,,
excess_return,1,CRS,boost_full,calendar_year,2026,8,0.1629734956260162,0.13158896202842382,-0.03819138695642876,-0.021731667099819683,-0.209528916934346,0,2026-01-31,2026-08-31,0.375,0.5,0.5,0.0,,,,
excess_return,1,CRS,core_ridge,high_vol_regime,0,32,0.14782886762054914,0.12335004247137572,-0.0659256623467126,-0.01303388847751983,-0.09423169896193817,0,2023-03-31,2026-08-31,0.5,0.53125,0.53125,0.0,,,,
excess_return,1,CRS,core_ridge,high_vol_regime,1,12,0.13023889445828293,0.10228756519757039,-0.21712715783845704,-0.00679273337827067,-0.46801583559339605,0,2023-01-31,2026-07-31,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,CRS,core_ridge,rate_rising_regime,0,16,0.10891136633195725,0.09166145240619272,-0.0024979636099287106,0.004615763700013001,0.13352930368192473,0,2023-02-28,2026-01-31,0.4375,0.5,0.5,0.0,,,,
excess_return,1,CRS,core_ridge,rate_rising_regime,1,28,0.15958283063742112,0.13243103224842087,-0.1247509312689834,-0.02044462325071752,-0.2920942667936335,0,2023-01-31,2026-08-31,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.0,,,,
excess_return,1,CRS,core_ridge,calendar_year,2023,12,0.11761350574551083,0.09926727243058721,0.014192073421149698,-0.037540978512457544,0.08029536068881271,0,2023-01-31,2023-12-31,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,CRS,core_ridge,calendar_year,2024,12,0.16170395874073912,0.13106361476899978,-0.013618644654351364,-0.061644477974537155,0.06500523437217286,0,2024-01-31,2024-12-31,0.4166666666666667,0.5,0.5,0.0,,,,
