task,horizon,model,companies,mean_r2_oos,mean_rmse,mean_mae,mean_qlike
market_relative_return,1,boost_full,4,-0.011017830844523235,0.13096094913766768,0.10003082480555808,
market_relative_return,1,core_ridge,4,-0.04421092301974566,0.13316606094299543,0.10264399589315268,
market_relative_return,1,historical_mean,4,0.0,0.13024525332911321,0.09988880421310757,
market_relative_return,1,ridge_full,4,-0.033209008639616455,0.13241334864592183,0.10170612656197059,
market_relative_return,1,zero,4,-0.026045044556082475,0.13192973456779095,0.09912870356899736,
return,1,A1_market,4,-0.10061491809789075,0.14704204849275143,0.1146519780497882,
return,1,A2_financial,4,-0.02693197376580092,0.1422729261309439,0.11132853590667274,
return,1,A3_valuation,4,-0.08037304885940794,0.14582155356293133,0.1124367682289416,
return,1,A4_momentum,4,-0.0614256521763214,0.1445889222528571,0.11213744371675761,
return,1,A5_risk,4,-0.04099531081706714,0.14323524229926735,0.1118114856188845,
return,1,A6_industry,4,-0.03606702168199194,0.14289890263784893,0.11213552138866048,
return,1,A7_business,4,-0.03646224448337129,0.1429231861168921,0.11289230763959934,
return,1,A8_transform,4,-0.02818313749646173,0.142355835731433,0.11284103770028842,
return,1,A9_interaction,4,-0.043698634501007555,0.1434493563337985,0.11369872942453993,
return,1,P1_financial,4,-0.014656872428581103,0.14140611981906334,0.11093124432656433,
return,1,P2_valuation,4,-0.04651444414377731,0.1434935631583386,0.11143236581725963,
return,1,P3_transform,4,-0.021025306226382212,0.14180492069246062,0.11146656297319221,
return,1,P4_market,4,-0.04808342972064167,0.14375369362555454,0.11381039694338502,
return,1,P5_industry,4,-0.02960116134607732,0.142454348342205,0.1121569327293225,
return,1,P6_business,4,-0.02818313749646173,0.142355835731433,0.11284103770028842,
return,1,ar1,4,0.010020602570091713,0.13961805138276873,0.1097896390596628,
return,1,arimax,4,-0.07446385046769805,0.14530765427799008,0.11668827645060595,
return,1,arma_static,4,-0.05096680217897556,0.14387896366206387,0.11570385937765013,
return,1,arx,4,-0.039833598958712996,0.14309828005999847,0.11523725255627158,
return,1,boost_full,4,-0.012187991638143991,0.14121583571157503,0.11054896302931244,
return,1,business_pair_ridge,4,-0.006565599450337828,0.1408216810920583,0.11089547619312945,
return,1,capm_style,4,-0.023882796595052602,0.14202739088522295,0.1117493243254503,
return,1,claims_proxy_sensitivity,4,-0.03090200844614563,0.1425490162086845,0.11259301870878585,
return,1,core_financial_changes,4,0.00046708134378925514,0.14035364491687013,0.11035058549784699,
return,1,core_ols,4,-0.050966556680809766,0.143878947554646,0.11570384470166396,
return,1,core_ols_financial_ext,4,-0.11919162619947221,0.14850585160355695,0.11816499364131763,
return,1,core_pe_difference,4,-0.03678762975397171,0.1428760143392259,0.11283127656875011,
return,1,core_pe_lag1,4,-0.014287697709628788,0.1413631604699013,0.11251901765455397,
return,1,core_pe_level,4,-0.036588378526887344,0.14290387557894807,0.11299295622663881,
return,1,core_pe_percentage,4,-0.02223351214287081,0.14188813017051385,0.11206928060979032,
return,1,core_ridge,4,-0.04297963035739827,0.14332357865491013,0.11454082725499504,
return,1,core_ridge_financial_ext,4,-0.07911534151927718,0.14588375187742003,0.11493798657836019,
return,1,distributed_all_lag1,4,-0.06245281315836626,0.14467420580870857,0.1143333581230084,
return,1,distributed_all_lag3,4,-0.06321445860727914,0.14456553308558553,0.11380023004056627,
return,1,distributed_lag1,4,-0.06591314791019998,0.14483449775064894,0.11464794106891124,
return,1,distributed_lag3,4,-0.041926447031661485,0.14323338120740287,0.11357540863037668,
return,1,elastic_full,4,-0.04669811200781632,0.14363357844617125,0.11451660796584397,
return,1,financial_only,4,-0.014656872428581103,0.14140611981906334,0.11093124432656433,
return,1,financial_valuation,4,-0.04651444414377731,0.1434935631583386,0.11143236581725963,
return,1,forest_full,4,-0.014471515684609693,0.14139483953917104,0.11101773248123674,
return,1,historical_mean,4,0.0,0.14036202349398422,0.11028273802500638,
return,1,lasso_full,4,-0.05522972306395346,0.14424387910204092,0.11480639570291357,
return,1,market_mean,4,-0.04309493520073071,0.14335561070033762,0.11156231842075204,
return,1,mine_inclusive_fcf,1,-0.0213133602633504,0.1347730803973834,0.10694330071374583,
return,1,panel_company_effects,4,-0.03280732199532235,0.14260070174080275,0.112947672012988,
return,1,pooled_boost,4,0.005006656717043451,0.140022695185185,0.10944758209202718,
return,1,pooled_forest,4,0.014602925247953369,0.1393711467493604,0.10830008811683063,
return,1,pooled_ridge,4,-0.01904390587936644,0.14165638692626042,0.11033537595223855,
return,1,ridge_full,4,-0.02818313749646173,0.142355835731433,0.11284103770028842,
return,1,ridge_rolling84,4,-0.03420541160353391,0.14274294191177495,0.11321495735254358,
return,1,without_business,4,-0.02960116134607732,0.142454348342205,0.1121569327293225,
return,1,without_equity_inputs,1,-0.0649312520807186,0.14914884156404049,0.11759377052417995,
return,1,without_financial,4,-0.01395929272256663,0.14130521815752836,0.11175902155577384,
return,1,without_industry,4,-0.060400034019783305,0.14459297960360498,0.11416860161877138,
return,1,without_market,4,-0.026150390750534408,0.14219269848658167,0.11237245736806603,
return,1,without_momentum,4,-0.03502095160803098,0.142839199589463,0.11310625486436315,
return,1,without_risk,4,-0.05174745514707621,0.14394044637079279,0.113743013352655,
return,1,without_valuation,4,-0.026689690036476754,0.14226247293823727,0.11336385783490041,
return,1,zero,4,-0.07535878900522525,0.14554893969637087,0.11214449076049555,
return,3,boost_full,4,-0.01446815023359141,0.23943908834626462,0.1880740495955924,
return,3,core_ols,4,0.0484442797688279,0.23141676117092924,0.17774314090643425,
return,3,forest_full,4,-0.041263100967394856,0.24248846709082778,0.19070671582959464,
return,3,historical_mean,4,0.0,0.23806761410921345,0.1834476653544628,
return,3,ridge_full,4,-0.030329563729158127,0.24163533102129964,0.18742328704593997,
variance,1,arch1,4,-0.24316367458866575,0.0009089041151817978,0.0005876828640139318,0.31550329217577117
variance,1,business_pair_ridge,4,0.0914957329060399,0.0008015659046794257,0.00046895761431197324,0.24219191985693356
variance,1,ewma94,4,-0.14121742795370454,0.0008834626043709751,0.0005355220929006903,0.3449877934315539
variance,1,garch11,4,-0.08489864650636489,0.0008637782362466203,0.000503290163989071,0.2789301058480447
variance,1,garchx_business,4,-0.05589723820723444,0.0008623575244297229,0.0004745057730057102,0.2700621808506585
variance,1,garchx_industry,4,0.038032137892573425,0.0008335163596734951,0.00045295973659624256,0.2562519649065276
variance,1,garchx_market,4,-0.008358146110900494,0.0008538193870216678,0.00046750814337431475,0.2807033246615747
variance,1,historical_variance21,4,-0.40347406483641807,0.0009902341859237159,0.000587310387648596,0.4606222517984433
variance,1,historical_variance252,4,0.058049650211268344,0.0008212293796966835,0.0004744917714309909,0.2699925085121062
variance,1,historical_variance63,4,0.0,0.0008424732782567811,0.0004977606364065937,0.28239979090964357
variance,1,panel_company_effects,4,-0.07214767959348595,0.0008678341454891585,0.0005349936813004182,0.33614212670430116
variance,1,pooled_boost,4,0.032392729130643894,0.0008317374761227468,0.0005042469447905141,0.2736845194388017
variance,1,pooled_forest,4,0.0904376676441754,0.0008119138713496689,0.0004452340448952176,0.2515718993861259
variance,1,pooled_ridge,4,0.12253480132521477,0.0007921345537094959,0.0004842269764295216,0.23571471888801715
variance,1,pooled_variance_external,4,0.06638343621255618,0.000821009616881694,0.00045516159461706304,0.25356902589297964
variance,1,pooled_variance_persistence,4,0.0448649217675709,0.0008292185766847313,0.00048639606872274835,0.26761738864367685
variance,1,variance_boost,4,0.038551436893197566,0.0008339182054744533,0.0004606895105669494,0.2929853557743008
variance,1,variance_forest,4,0.08655163178495079,0.0008101768138522101,0.0004452729889779103,0.2602922564408659
variance,1,variance_ridge,4,0.07986906141415703,0.0008113733554356301,0.00045185650743700284,0.2629403656314603
variance,1,variance_ridge_external,4,0.0640577205547937,0.0008200135560675437,0.00044172602810222273,0.26921165822867643
variance,1,variance_ridge_market,4,0.05139214993607841,0.0008265010622820421,0.00044830325722886646,0.27585633961149714
variance,1,variance_ridge_persistence,4,0.026462410572043404,0.0008292524812030266,0.00046950251923798746,0.27478921390335703
