item,task,ticker,subject,metric,baseline_published,baseline_new_inference,revision,change_from_inference,change_from_refit,note
R16 frozen family,return,MTRN,valuation_added,mean loss reduction (MSE),-7.237980421410177e-06,-7.237980421410177e-06,-0.0003790523752503,0.0,-0.00037181439482888984,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,valuation_added,95% interval lower,-0.0004823401461642,-0.0006642558780704084,-0.0009681723823685,-0.00018191573190620838,-0.00030391650429809167,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,valuation_added,95% interval upper,0.0007238864098545,0.0006193606213844808,0.0001474176881018,-0.00010452578847001926,-0.0004719429332826808,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,valuation_added,unadjusted p-value,0.9785107446276862,0.96,0.182,-0.018510744627686204,-0.778,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,valuation_added,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,valuation_added,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,valuation_added,mean loss reduction (MSE),0.0007094407544891,0.0007094407544891248,9.842212766293814e-05,2.482822974991805e-17,-0.0006110186268261867,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,valuation_added,95% interval lower,-0.000319158062367,-0.00026217506501348696,-0.0005567423106917,5.6982997353513054e-05,-0.000294567245678213,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,valuation_added,95% interval upper,0.0015764355263257,0.0017019023367984274,0.0008443757635935,0.00012546681047272742,-0.0008575265732049274,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,valuation_added,unadjusted p-value,0.1429285357321339,0.169,0.845,0.026071464267866107,0.6759999999999999,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,valuation_added,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,valuation_added,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
