ticker,fit,origin,specification,n,p,rank,condition_number,note
MTRN,initial,2022-12-31,core,84,6,6,2.018626108139881,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
MTRN,initial,2022-12-31,broad,84,80,76,3.527500002507003e+17,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
MTRN,final,2026-07-31,core,127,6,6,1.8507575876402798,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
MTRN,final,2026-07-31,broad,127,80,76,6.976564812640563e+16,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
ENTG,initial,2022-12-31,core,84,6,6,3.7820842009953997,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
ENTG,initial,2022-12-31,broad,84,84,79,3.753001737236087e+17,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
ENTG,final,2026-07-31,core,127,6,6,1.5973168034419698,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
ENTG,final,2026-07-31,broad,127,89,85,4.4696823489841325e+17,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
CRS,initial,2022-12-31,core,84,7,7,7.537860296366604,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
CRS,initial,2022-12-31,broad,84,82,78,3.960940507987057e+17,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
CRS,final,2026-07-31,core,127,8,8,11.38386330373644,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
CRS,final,2026-07-31,broad,127,89,84,4.5728052047313306e+17,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
ATI,initial,2022-12-31,core,84,6,6,7.3047683767406015,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
ATI,initial,2022-12-31,broad,84,76,73,3.710728218204176e+17,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
ATI,final,2026-07-31,core,127,6,6,7.060736288217151,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
ATI,final,2026-07-31,broad,127,78,76,8.670670068959648e+16,"Broad OLS is a design diagnostic, not a forecast candidate. Condition number includes intercept and missing indicators."
