panel,first,second,regime,n,start,end,variance_first,variance_second,covariance,correlation
long,MTRN,ENTG,all,2693,2016-01-04,2026-09-18,0.0007073417478488508,0.000860340702767226,0.000368304059252766,0.47212459456694456
long,MTRN,ENTG,high_vol,1214,2016-01-04,2026-09-18,0.0009465098929345475,0.0011767646758350525,0.0005909526329975143,0.5599448847264936
long,MTRN,ENTG,low_vol,1479,2016-01-04,2026-09-18,0.0005115163864621447,0.0006010595616656695,0.0001858801881390641,0.3352313089110186
long,MTRN,CRS,all,2693,2016-01-04,2026-09-18,0.0007073417478488508,0.0009461447492329593,0.00040982216632202756,0.5009587969201851
long,MTRN,CRS,high_vol,1214,2016-01-04,2026-09-18,0.0009465098929345475,0.001246551586596136,0.0006126389055070951,0.5640100808582277
long,MTRN,CRS,low_vol,1479,2016-01-04,2026-09-18,0.0005115163864621447,0.0006997706786903895,0.0002435556916692515,0.4070901901601755
long,MTRN,ATI,all,2693,2016-01-04,2026-09-18,0.0007073417478488508,0.00110934876499857,0.00040889395045338626,0.4615959476894233
long,MTRN,ATI,high_vol,1214,2016-01-04,2026-09-18,0.0009465098929345475,0.0014101472887164486,0.000585490445843688,0.5067864509525771
long,MTRN,ATI,low_vol,1479,2016-01-04,2026-09-18,0.0005115163864621447,0.0008627845531436094,0.00026414795398681164,0.397618236760929
long,ENTG,CRS,all,2693,2016-01-04,2026-09-18,0.000860340702767226,0.0009461447492329593,0.00036794109165707586,0.4078160049006738
long,ENTG,CRS,high_vol,1214,2016-01-04,2026-09-18,0.0011767646758350525,0.001246551586596136,0.0005831934020610637,0.4815181507513911
long,ENTG,CRS,low_vol,1479,2016-01-04,2026-09-18,0.0006010595616656695,0.0006997706786903895,0.00019181653672316738,0.2957667981121131
long,ENTG,ATI,all,2693,2016-01-04,2026-09-18,0.000860340702767226,0.00110934876499857,0.00036060330082863916,0.3691139090640915
long,ENTG,ATI,high_vol,1214,2016-01-04,2026-09-18,0.0011767646758350525,0.0014101472887164486,0.0005520071836390165,0.4285166287473181
long,ENTG,ATI,low_vol,1479,2016-01-04,2026-09-18,0.0006010595616656695,0.0008627845531436094,0.00020403985832434385,0.2833381654345757
long,CRS,ATI,all,2693,2016-01-04,2026-09-18,0.0009461447492329593,0.00110934876499857,0.0007136863314390573,0.6966177486032724
long,CRS,ATI,high_vol,1214,2016-01-04,2026-09-18,0.001246551586596136,0.0014101472887164486,0.0009311642903065636,0.7023263236732551
long,CRS,ATI,low_vol,1479,2016-01-04,2026-09-18,0.0006997706786903895,0.0008627845531436094,0.0005352255818513431,0.6888232727926217
recent,MTRN,ENTG,all,1434,2021-01-04,2026-09-18,0.0007701193870841801,0.001134689649972665,0.00046022446240369906,0.49232526585342323
recent,MTRN,ENTG,high_vol,639,2021-01-04,2026-09-18,0.0009573597726683636,0.0015289706925562837,0.0007304845893476238,0.6037732813708254
recent,MTRN,ENTG,low_vol,795,2021-01-04,2026-09-18,0.0006206290929629752,0.0008179824896971037,0.0002437432317152957,0.34209324333859575
recent,MTRN,CRS,all,1434,2021-01-04,2026-09-18,0.0007701193870841801,0.0008947260145900798,0.0003572808621477688,0.43041331014778694
recent,MTRN,CRS,high_vol,639,2021-01-04,2026-09-18,0.0009573597726683636,0.0009587952359749452,0.0004709275782116891,0.49153404419932684
recent,MTRN,CRS,low_vol,795,2021-01-04,2026-09-18,0.0006206290929629752,0.0008434831785678673,0.0002663304420388397,0.3681006055940821
recent,MTRN,ATI,all,1434,2021-01-04,2026-09-18,0.0007701193870841801,0.0007495166393418282,0.00033207751003235724,0.43708891891054524
recent,MTRN,ATI,high_vol,639,2021-01-04,2026-09-18,0.0009573597726683636,0.0008641775134754733,0.0004244597828211779,0.466656671816577
recent,MTRN,ATI,low_vol,795,2021-01-04,2026-09-18,0.0006206290929629752,0.0006565240583103621,0.00025814694720085714,0.404413463862397
recent,ENTG,CRS,all,1434,2021-01-04,2026-09-18,0.001134689649972665,0.0008947260145900798,0.00038257969355178905,0.37969802292487004
recent,ENTG,CRS,high_vol,639,2021-01-04,2026-09-18,0.0015289706925562837,0.0009587952359749452,0.000572023241404543,0.47244489483484137
recent,ENTG,CRS,low_vol,795,2021-01-04,2026-09-18,0.0008179824896971037,0.0008434831785678673,0.00023192193435907877,0.2792104111579673
recent,ENTG,ATI,all,1434,2021-01-04,2026-09-18,0.001134689649972665,0.0007495166393418282,0.0003769076149269739,0.4087010239802128
recent,ENTG,ATI,high_vol,639,2021-01-04,2026-09-18,0.0015289706925562837,0.0008641775134754733,0.0005627235789343845,0.48954661496001645
recent,ENTG,ATI,low_vol,795,2021-01-04,2026-09-18,0.0008179824896971037,0.0006565240583103621,0.00022961778003896272,0.3133344795911951
recent,CRS,ATI,all,1434,2021-01-04,2026-09-18,0.0008947260145900798,0.0007495166393418282,0.0005823797909398673,0.7111654089753504
recent,CRS,ATI,high_vol,639,2021-01-04,2026-09-18,0.0009587952359749452,0.0008641775134754733,0.0006187028010297509,0.6797006225899961
recent,CRS,ATI,low_vol,795,2021-01-04,2026-09-18,0.0008434831785678673,0.0006565240583103621,0.0005526609848317879,0.7426689566344876
matched,MTRN,ENTG,all,102,2026-04-24,2026-09-18,0.002300659783978941,0.0026302694487806075,0.0013721059418997244,0.5577779274907737
matched,MTRN,ENTG,high_vol,96,2026-04-24,2026-09-18,0.002376525013513698,0.0026702379397626893,0.0013884705478978254,0.5511762503804557
matched,MTRN,ENTG,low_vol,6,2026-04-24,2026-09-18,0.001301590647322886,0.0023514388228169083,0.0013640224978080713,0.7796819527626142
matched,MTRN,CRS,all,102,2026-04-24,2026-09-18,0.002300659783978941,0.0007403075228145492,0.0005762842361970844,0.44157498023107333
matched,MTRN,CRS,high_vol,96,2026-04-24,2026-09-18,0.002376525013513698,0.0007530175042443315,0.0005786572001410141,0.43256126899273545
matched,MTRN,CRS,low_vol,6,2026-04-24,2026-09-18,0.001301590647322886,0.0003484476949226708,0.000573649111431884,0.8518052601119465
matched,MTRN,ATI,all,102,2026-04-24,2026-09-18,0.002300659783978941,0.0007495286990472643,0.0006373706250732284,0.485368637139279
matched,MTRN,ATI,high_vol,96,2026-04-24,2026-09-18,0.002376525013513698,0.0007305264640708044,0.0006324592930455038,0.48000239768972286
matched,MTRN,ATI,low_vol,6,2026-04-24,2026-09-18,0.001301590647322886,0.001172902078345332,0.0008187204769959218,0.6626246152906563
matched,MTRN,ELMT,all,102,2026-04-24,2026-09-18,0.002300659783978941,0.00460514292973873,0.0007703525371671916,0.2366692092840784
matched,MTRN,ELMT,high_vol,96,2026-04-24,2026-09-18,0.002376525013513698,0.0035526455925047906,0.0010450667913080658,0.35966395050151856
matched,MTRN,ELMT,low_vol,6,2026-04-24,2026-09-18,0.001301590647322886,0.02000473010072682,-0.003982058242038442,-0.7803762614482173
