task,horizon,ticker,model,window,date,variable,status,stage
return,1,pooled,pooled_ridge,expanding,2022-12-31,credit_spread,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_ridge,expanding,2022-12-31,credit_spread_change,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_ridge,expanding,2022-12-31,eps_growth,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_ridge,expanding,2022-12-31,interest_coverage,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_ridge,expanding,2022-12-31,payout,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_ridge,expanding,2022-12-31,pe_percentile,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_forest,expanding,2022-12-31,credit_spread,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_forest,expanding,2022-12-31,credit_spread_change,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_forest,expanding,2022-12-31,eps_growth,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_forest,expanding,2022-12-31,interest_coverage,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_forest,expanding,2022-12-31,payout,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_forest,expanding,2022-12-31,pe_percentile,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_boost,expanding,2022-12-31,credit_spread,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_boost,expanding,2022-12-31,credit_spread_change,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_boost,expanding,2022-12-31,eps_growth,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_boost,expanding,2022-12-31,interest_coverage,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_boost,expanding,2022-12-31,payout,training coverage below gate,exclusions_pooled
return,1,pooled,pooled_boost,expanding,2022-12-31,pe_percentile,training coverage below gate,exclusions_pooled
return,1,MTRN+ENTG,business_pair_ridge,expanding,2022-12-31,company_ATI,constant in training window,exclusions_pooled
return,1,MTRN+ENTG,business_pair_ridge,expanding,2022-12-31,company_CRS,constant in training window,exclusions_pooled
return,1,MTRN+ENTG,business_pair_ridge,expanding,2022-12-31,credit_spread,training coverage below gate,exclusions_pooled
return,1,MTRN+ENTG,business_pair_ridge,expanding,2022-12-31,credit_spread_change,training coverage below gate,exclusions_pooled
return,1,MTRN+ENTG,business_pair_ridge,expanding,2022-12-31,interest_coverage,training coverage below gate,exclusions_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2022-12-31,company_ENTG,constant in training window,exclusions_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2022-12-31,credit_spread,training coverage below gate,exclusions_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2022-12-31,credit_spread_change,training coverage below gate,exclusions_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2022-12-31,eps_growth,training coverage below gate,exclusions_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2022-12-31,fcf_equipment_yield_relative,training coverage below gate,exclusions_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2022-12-31,interest_coverage,training coverage below gate,exclusions_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2022-12-31,payout,training coverage below gate,exclusions_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2022-12-31,pe_pct_change,training coverage below gate,exclusions_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2022-12-31,pe_percentile,training coverage below gate,exclusions_pooled
variance,1,pooled,pooled_ridge,expanding,2022-12-31,credit_spread,training coverage below gate,exclusions_pooled
