ticker,variable,group,observations,available,status
ATI,market_return,market,129,129,implemented
ATI,market_vol,market,129,129,implemented
ATI,smallcap_return,market,129,129,implemented
ATI,yield_10y,market,129,129,implemented
ATI,yield_short,market,129,129,implemented
ATI,yield_10y_change,market,129,129,implemented
ATI,term_spread,market,129,129,implemented
ATI,vix,market,129,129,implemented
ATI,credit_spread,market,129,36,implemented
ATI,credit_spread_change,market,129,35,implemented
ATI,real_yield,market,129,129,implemented
ATI,real_yield_change,market,129,129,implemented
ATI,eurusd_return,market,129,129,implemented
ATI,dollar_return,market,129,129,implemented
ATI,revenue_growth,financial,129,129,implemented
ATI,eps_growth,financial,129,69,implemented
ATI,eps_change_price,financial,129,129,implemented
ATI,loss_transition,financial,129,129,implemented
ATI,ebitda_growth,financial,129,97,implemented
ATI,gross_margin,financial,129,115,implemented
ATI,operating_margin,financial,129,129,implemented
ATI,net_margin,financial,129,129,implemented
ATI,ebitda_margin,financial,129,129,implemented
ATI,roa,financial,129,129,implemented
ATI,roe,financial,129,129,implemented
ATI,cfo_assets,financial,129,129,implemented
ATI,fcf_equipment_assets,financial,129,129,implemented
ATI,capex_assets,financial,129,129,implemented
ATI,cash_assets,financial,129,129,implemented
ATI,debt_assets,financial,129,129,implemented
ATI,debt_equity,financial,129,129,implemented
ATI,interest_coverage,financial,129,30,implemented
ATI,current_ratio,financial,129,129,implemented
ATI,quick_ratio,financial,129,129,implemented
ATI,payout,financial,129,9,implemented
ATI,earnings_age_days,financial,129,129,implemented
ATI,earnings_yield,valuation,129,129,implemented
ATI,book_yield,valuation,129,129,implemented
ATI,sales_yield,valuation,129,129,implemented
ATI,fcf_equipment_yield,valuation,129,129,implemented
ATI,dividend_yield,valuation,129,129,implemented
ATI,earnings_yield_relative,valuation,129,117,implemented
ATI,earnings_yield_percentile,valuation,129,117,implemented
ATI,fcf_equipment_yield_relative,valuation,129,117,implemented
ATI,pe_percentile,valuation,129,40,implemented
ATI,peer_earnings_yield_gap,valuation,129,129,implemented
ATI,momentum_1,momentum,129,129,implemented
ATI,momentum_3,momentum,129,129,implemented
ATI,momentum_6,momentum,129,129,implemented
ATI,momentum_12,momentum,129,129,implemented
ATI,relative_momentum,momentum,129,129,implemented
ATI,industry_momentum_relative,momentum,129,129,implemented
ATI,vol_21,risk,129,129,implemented
ATI,vol_63,risk,129,129,implemented
ATI,vol_252,risk,129,129,implemented
ATI,beta_252,risk,129,129,implemented
ATI,idio_vol,risk,129,129,implemented
ATI,downside_deviation,risk,129,129,implemented
ATI,drawdown_252,risk,129,129,implemented
ATI,log_dollar_volume,risk,129,129,implemented
ATI,turnover,risk,129,129,implemented
ATI,amihud,risk,129,129,implemented
ATI,industry_vol,industry,129,129,implemented
ATI,sector_return,industry,129,129,implemented
ATI,semis_return,industry,129,129,implemented
ATI,defense_return,industry,129,129,implemented
ATI,driver_vol,business,129,129,implemented
ATI,copper_return,business,129,129,implemented
ATI,gold_return,business,129,129,implemented
ATI,silver_return,business,129,129,implemented
ATI,gas_return,business,129,129,implemented
ATI,oil_return,business,129,129,implemented
ATI,revenue_growth_diff,transform,129,129,implemented
ATI,operating_margin_diff,transform,129,129,implemented
ATI,roe_diff,transform,129,129,implemented
ATI,earnings_yield_diff,transform,129,129,implemented
ATI,revenue_growth_lag1,transform,129,129,implemented
ATI,earnings_yield_lag1,transform,129,129,implemented
ATI,pe_pct_change,transform,129,74,implemented
ATI,earnings_yield_z,transform,129,129,implemented
ATI,revenue_valuation_interaction,interaction,129,129,implemented
ATI,margin_valuation_interaction,interaction,129,129,implemented
ATI,roic_proxy,claims_proxy,129,129,implemented
ATI,ev_ebitda_proxy,claims_proxy,129,97,implemented
ATI,ev_sales_proxy,claims_proxy,129,129,implemented
ATI,fcf_yield,mine_inclusive_fcf,129,129,implemented
ATI,fcf_assets,mine_inclusive_fcf,129,129,implemented
ATI,pe,valuation,129,76,reported; reciprocal/related representation tested instead where redundant
ATI,pb,valuation,129,129,reported; reciprocal/related representation tested instead where redundant
ATI,ps,valuation,129,129,reported; reciprocal/related representation tested instead where redundant
ATI,pe_relative,valuation,129,40,reported; reciprocal/related representation tested instead where redundant
ATI,forward_pe,deferred,129,0,deferred
ATI,earnings_surprise,deferred,129,0,deferred
ATI,analyst_revisions,deferred,129,0,deferred
ATI,bid_ask_spread,deferred,129,0,deferred
ATI,roic,deferred,129,0,deferred
ATI,ev_ebitda,deferred,129,0,deferred
ATI,ev_sales,deferred,129,0,deferred
ATI,index_membership_return,deferred,129,0,deferred
ATI,tungsten_molybdenum_prices,deferred,129,0,deferred
CRS,market_return,market,129,129,implemented
CRS,market_vol,market,129,129,implemented
CRS,smallcap_return,market,129,129,implemented
CRS,yield_10y,market,129,129,implemented
CRS,yield_short,market,129,129,implemented
CRS,yield_10y_change,market,129,129,implemented
CRS,term_spread,market,129,129,implemented
CRS,vix,market,129,129,implemented
CRS,credit_spread,market,129,36,implemented
CRS,credit_spread_change,market,129,35,implemented
CRS,real_yield,market,129,129,implemented
CRS,real_yield_change,market,129,129,implemented
CRS,eurusd_return,market,129,129,implemented
CRS,dollar_return,market,129,129,implemented
CRS,revenue_growth,financial,129,127,implemented
CRS,eps_growth,financial,129,74,implemented
CRS,eps_change_price,financial,129,129,implemented
CRS,loss_transition,financial,129,129,implemented
CRS,ebitda_growth,financial,129,115,implemented
CRS,gross_margin,financial,129,117,implemented
CRS,operating_margin,financial,129,117,implemented
CRS,net_margin,financial,129,86,implemented
CRS,ebitda_margin,financial,129,117,implemented
CRS,roa,financial,129,129,implemented
CRS,roe,financial,129,129,implemented
CRS,cfo_assets,financial,129,129,implemented
CRS,fcf_equipment_assets,financial,129,111,implemented
CRS,capex_assets,financial,129,129,implemented
CRS,cash_assets,financial,129,129,implemented
