ticker,task,horizon,window,model,date,origin,target_end,actual,prediction,benchmark,train_n,pool_n,high_vol_regime,rate_rising_regime,fallback
ATI,return,1,expanding,pooled_ridge,2022-12-31,2022-12-30,2023-01-31,0.2186871616148966,-6.27575699246527e-05,0.024904130656592433,84,336,1.0,1.0,False
CRS,return,1,expanding,pooled_ridge,2022-12-31,2022-12-30,2023-01-31,0.3125974355572183,0.05480428831195572,0.014454365508721978,84,336,1.0,1.0,False
ENTG,return,1,expanding,pooled_ridge,2022-12-31,2022-12-30,2023-01-31,0.2321163328202691,0.048766874388321405,0.024227343552224563,84,336,1.0,1.0,False
MTRN,return,1,expanding,pooled_ridge,2022-12-31,2022-12-30,2023-01-31,0.0313106404410892,-0.02079776092169691,0.019370756544958706,84,336,1.0,1.0,False
ATI,return,1,expanding,pooled_forest,2022-12-31,2022-12-30,2023-01-31,0.2186871616148966,0.02102178928930068,0.024904130656592433,84,336,1.0,1.0,False
CRS,return,1,expanding,pooled_forest,2022-12-31,2022-12-30,2023-01-31,0.3125974355572183,0.019446418879557833,0.014454365508721978,84,336,1.0,1.0,False
ENTG,return,1,expanding,pooled_forest,2022-12-31,2022-12-30,2023-01-31,0.2321163328202691,0.02345876944013332,0.024227343552224563,84,336,1.0,1.0,False
MTRN,return,1,expanding,pooled_forest,2022-12-31,2022-12-30,2023-01-31,0.0313106404410892,0.01815616028491763,0.019370756544958706,84,336,1.0,1.0,False
ATI,return,1,expanding,pooled_boost,2022-12-31,2022-12-30,2023-01-31,0.2186871616148966,0.007880978155652729,0.024904130656592433,84,336,1.0,1.0,False
CRS,return,1,expanding,pooled_boost,2022-12-31,2022-12-30,2023-01-31,0.3125974355572183,0.007880978155652729,0.014454365508721978,84,336,1.0,1.0,False
ENTG,return,1,expanding,pooled_boost,2022-12-31,2022-12-30,2023-01-31,0.2321163328202691,0.007880978155652729,0.024227343552224563,84,336,1.0,1.0,False
MTRN,return,1,expanding,pooled_boost,2022-12-31,2022-12-30,2023-01-31,0.0313106404410892,0.007880978155652729,0.019370756544958706,84,336,1.0,1.0,False
ATI,return,1,expanding,panel_company_effects,2022-12-31,2022-12-30,2023-01-31,0.2186871616148966,0.026857773581109003,0.024904130656592433,84,336,1.0,1.0,False
CRS,return,1,expanding,panel_company_effects,2022-12-31,2022-12-30,2023-01-31,0.3125974355572183,0.038953377497145114,0.014454365508721978,84,336,1.0,1.0,False
ENTG,return,1,expanding,panel_company_effects,2022-12-31,2022-12-30,2023-01-31,0.2321163328202691,0.03416892782731227,0.024227343552224563,84,336,1.0,1.0,False
MTRN,return,1,expanding,panel_company_effects,2022-12-31,2022-12-30,2023-01-31,0.0313106404410892,0.03964031502344864,0.019370756544958706,84,336,1.0,1.0,False
ENTG,return,1,expanding,business_pair_ridge,2022-12-31,2022-12-30,2023-01-31,0.2321163328202691,0.006075214059199391,0.024227343552224563,84,168,1.0,1.0,False
MTRN,return,1,expanding,business_pair_ridge,2022-12-31,2022-12-30,2023-01-31,0.0313106404410892,-0.02754186624516086,0.019370756544958706,84,168,1.0,1.0,False
ATI,return,1,expanding,business_pair_ridge,2022-12-31,2022-12-30,2023-01-31,0.2186871616148966,0.035085465771022784,0.024904130656592433,84,168,1.0,1.0,False
CRS,return,1,expanding,business_pair_ridge,2022-12-31,2022-12-30,2023-01-31,0.3125974355572183,0.08801147580104068,0.014454365508721978,84,168,1.0,1.0,False
ATI,variance,1,expanding,pooled_ridge,2022-12-31,2022-12-30,2023-01-31,0.0004423138544205,0.0008026126635866024,0.0010716635072587032,84,336,1.0,1.0,False
CRS,variance,1,expanding,pooled_ridge,2022-12-31,2022-12-30,2023-01-31,0.0007458183452443,0.0009803346856278405,0.0008303666352209022,84,336,1.0,1.0,False
ENTG,variance,1,expanding,pooled_ridge,2022-12-31,2022-12-30,2023-01-31,0.0013958520522223,0.001301186202629155,0.0021900823442063404,84,336,1.0,1.0,False
MTRN,variance,1,expanding,pooled_ridge,2022-12-31,2022-12-30,2023-01-31,0.0003532057173852,0.0007560189955177907,0.0012911106865879998,84,336,1.0,1.0,False
ATI,variance,1,expanding,pooled_forest,2022-12-31,2022-12-30,2023-01-31,0.0004423138544205,0.0008926324916764626,0.0010716635072587032,84,336,1.0,1.0,False
CRS,variance,1,expanding,pooled_forest,2022-12-31,2022-12-30,2023-01-31,0.0007458183452443,0.0008380795487191172,0.0008303666352209022,84,336,1.0,1.0,False
ENTG,variance,1,expanding,pooled_forest,2022-12-31,2022-12-30,2023-01-31,0.0013958520522223,0.0015041973101159545,0.0021900823442063404,84,336,1.0,1.0,False
MTRN,variance,1,expanding,pooled_forest,2022-12-31,2022-12-30,2023-01-31,0.0003532057173852,0.0007914900626576754,0.0012911106865879998,84,336,1.0,1.0,False
ATI,variance,1,expanding,pooled_boost,2022-12-31,2022-12-30,2023-01-31,0.0004423138544205,0.0008767519055215754,0.0010716635072587032,84,336,1.0,1.0,False
CRS,variance,1,expanding,pooled_boost,2022-12-31,2022-12-30,2023-01-31,0.0007458183452443,0.0007628157185647894,0.0008303666352209022,84,336,1.0,1.0,False
ENTG,variance,1,expanding,pooled_boost,2022-12-31,2022-12-30,2023-01-31,0.0013958520522223,0.0011902954316721608,0.0021900823442063404,84,336,1.0,1.0,False
MTRN,variance,1,expanding,pooled_boost,2022-12-31,2022-12-30,2023-01-31,0.0003532057173852,0.0007769126463481442,0.0012911106865879998,84,336,1.0,1.0,False
ATI,variance,1,expanding,panel_company_effects,2022-12-31,2022-12-30,2023-01-31,0.0004423138544205,0.0009360740340416236,0.0010716635072587032,84,336,1.0,1.0,False
CRS,variance,1,expanding,panel_company_effects,2022-12-31,2022-12-30,2023-01-31,0.0007458183452443,0.0007389005042520612,0.0008303666352209022,84,336,1.0,1.0,False
ENTG,variance,1,expanding,panel_company_effects,2022-12-31,2022-12-30,2023-01-31,0.0013958520522223,0.0005369259703416953,0.0021900823442063404,84,336,1.0,1.0,False
MTRN,variance,1,expanding,panel_company_effects,2022-12-31,2022-12-30,2023-01-31,0.0003532057173852,0.0007774095062990031,0.0012911106865879998,84,336,1.0,1.0,False
ENTG,variance,1,expanding,business_pair_ridge,2022-12-31,2022-12-30,2023-01-31,0.0013958520522223,0.000977009194731227,0.0021900823442063404,84,168,1.0,1.0,False
MTRN,variance,1,expanding,business_pair_ridge,2022-12-31,2022-12-30,2023-01-31,0.0003532057173852,0.000612101212718928,0.0012911106865879998,84,168,1.0,1.0,False
ATI,variance,1,expanding,business_pair_ridge,2022-12-31,2022-12-30,2023-01-31,0.0004423138544205,0.0008330166966801027,0.0010716635072587032,84,168,1.0,1.0,False
CRS,variance,1,expanding,business_pair_ridge,2022-12-31,2022-12-30,2023-01-31,0.0007458183452443,0.000978075280021408,0.0008303666352209022,84,168,1.0,1.0,False
ATI,return,1,expanding,pooled_ridge,2023-01-31,2023-01-31,2023-02-28,0.1170651884496125,-0.027245228952594302,0.027183931020807777,85,340,1.0,0.0,False
CRS,return,1,expanding,pooled_ridge,2023-01-31,2023-01-31,2023-02-28,0.0008283533662385,-0.024251068294937003,0.017961931038704287,85,340,1.0,0.0,False
ENTG,return,1,expanding,pooled_ridge,2023-01-31,2023-01-31,2023-02-28,0.0560032484925274,0.045036855058912195,0.026673096367142733,85,340,1.0,0.0,False
MTRN,return,1,expanding,pooled_ridge,2023-01-31,2023-01-31,2023-02-28,0.2388910092447997,-0.031882630296751494,0.019511225767266126,85,340,1.0,0.0,False
ATI,return,1,expanding,pooled_forest,2023-01-31,2023-01-31,2023-02-28,0.1170651884496125,0.026347287872856718,0.027183931020807777,85,340,1.0,0.0,False
CRS,return,1,expanding,pooled_forest,2023-01-31,2023-01-31,2023-02-28,0.0008283533662385,0.03467612739366023,0.017961931038704287,85,340,1.0,0.0,False
ENTG,return,1,expanding,pooled_forest,2023-01-31,2023-01-31,2023-02-28,0.0560032484925274,0.025911419336826252,0.026673096367142733,85,340,1.0,0.0,False
MTRN,return,1,expanding,pooled_forest,2023-01-31,2023-01-31,2023-02-28,0.2388910092447997,0.03156789746476117,0.019511225767266126,85,340,1.0,0.0,False
ATI,return,1,expanding,pooled_boost,2023-01-31,2023-01-31,2023-02-28,0.1170651884496125,0.0358883326427562,0.027183931020807777,85,340,1.0,0.0,False
CRS,return,1,expanding,pooled_boost,2023-01-31,2023-01-31,2023-02-28,0.0008283533662385,0.0358883326427562,0.017961931038704287,85,340,1.0,0.0,False
ENTG,return,1,expanding,pooled_boost,2023-01-31,2023-01-31,2023-02-28,0.0560032484925274,0.0358883326427562,0.026673096367142733,85,340,1.0,0.0,False
MTRN,return,1,expanding,pooled_boost,2023-01-31,2023-01-31,2023-02-28,0.2388910092447997,0.03388873073829046,0.019511225767266126,85,340,1.0,0.0,False
ATI,return,1,expanding,panel_company_effects,2023-01-31,2023-01-31,2023-02-28,0.1170651884496125,-0.0006412466335564346,0.027183931020807777,85,340,1.0,0.0,False
CRS,return,1,expanding,panel_company_effects,2023-01-31,2023-01-31,2023-02-28,0.0008283533662385,0.009159378527511376,0.017961931038704287,85,340,1.0,0.0,False
ENTG,return,1,expanding,panel_company_effects,2023-01-31,2023-01-31,2023-02-28,0.0560032484925274,0.01715041438467478,0.026673096367142733,85,340,1.0,0.0,False
MTRN,return,1,expanding,panel_company_effects,2023-01-31,2023-01-31,2023-02-28,0.2388910092447997,-0.001531597093536046,0.019511225767266126,85,340,1.0,0.0,False
ENTG,return,1,expanding,business_pair_ridge,2023-01-31,2023-01-31,2023-02-28,0.0560032484925274,0.03705521866295984,0.026673096367142733,85,170,1.0,0.0,False
MTRN,return,1,expanding,business_pair_ridge,2023-01-31,2023-01-31,2023-02-28,0.2388910092447997,-0.010568004906715923,0.019511225767266126,85,170,1.0,0.0,False
ATI,return,1,expanding,business_pair_ridge,2023-01-31,2023-01-31,2023-02-28,0.1170651884496125,-0.0058115809967892625,0.027183931020807777,85,170,1.0,0.0,False
CRS,return,1,expanding,business_pair_ridge,2023-01-31,2023-01-31,2023-02-28,0.0008283533662385,-0.015780343403908745,0.017961931038704287,85,170,1.0,0.0,False
ATI,variance,1,expanding,pooled_ridge,2023-01-31,2023-01-31,2023-02-28,0.0004062035979211,0.0005019969384563079,0.001028727323595469,85,340,1.0,0.0,False
CRS,variance,1,expanding,pooled_ridge,2023-01-31,2023-01-31,2023-02-28,0.0003840897582526,0.0005227278110998529,0.0007962618408396433,85,340,1.0,0.0,False
ENTG,variance,1,expanding,pooled_ridge,2023-01-31,2023-01-31,2023-02-28,0.0009101758203099,0.0007295642948549436,0.002371641299771099,85,340,1.0,0.0,False
MTRN,variance,1,expanding,pooled_ridge,2023-01-31,2023-01-31,2023-02-28,0.0033612575810629,0.0006013115084144157,0.001231327040128335,85,340,1.0,0.0,False
ATI,variance,1,expanding,pooled_forest,2023-01-31,2023-01-31,2023-02-28,0.0004062035979211,0.0008254386762600652,0.001028727323595469,85,340,1.0,0.0,False
CRS,variance,1,expanding,pooled_forest,2023-01-31,2023-01-31,2023-02-28,0.0003840897582526,0.0007784560006571252,0.0007962618408396433,85,340,1.0,0.0,False
ENTG,variance,1,expanding,pooled_forest,2023-01-31,2023-01-31,2023-02-28,0.0009101758203099,0.001057261285754957,0.002371641299771099,85,340,1.0,0.0,False
MTRN,variance,1,expanding,pooled_forest,2023-01-31,2023-01-31,2023-02-28,0.0033612575810629,0.0007212181254266088,0.001231327040128335,85,340,1.0,0.0,False
ATI,variance,1,expanding,pooled_boost,2023-01-31,2023-01-31,2023-02-28,0.0004062035979211,0.0008169719799274606,0.001028727323595469,85,340,1.0,0.0,False
CRS,variance,1,expanding,pooled_boost,2023-01-31,2023-01-31,2023-02-28,0.0003840897582526,0.0007647087368050548,0.0007962618408396433,85,340,1.0,0.0,False
ENTG,variance,1,expanding,pooled_boost,2023-01-31,2023-01-31,2023-02-28,0.0009101758203099,0.0009461474087228753,0.002371641299771099,85,340,1.0,0.0,False
MTRN,variance,1,expanding,pooled_boost,2023-01-31,2023-01-31,2023-02-28,0.0033612575810629,0.0007111222963569773,0.001231327040128335,85,340,1.0,0.0,False
ATI,variance,1,expanding,panel_company_effects,2023-01-31,2023-01-31,2023-02-28,0.0004062035979211,0.0006689943208169416,0.001028727323595469,85,340,1.0,0.0,False
CRS,variance,1,expanding,panel_company_effects,2023-01-31,2023-01-31,2023-02-28,0.0003840897582526,0.0004912599928176294,0.0007962618408396433,85,340,1.0,0.0,False
ENTG,variance,1,expanding,panel_company_effects,2023-01-31,2023-01-31,2023-02-28,0.0009101758203099,0.00030736398177831685,0.002371641299771099,85,340,1.0,0.0,False
MTRN,variance,1,expanding,panel_company_effects,2023-01-31,2023-01-31,2023-02-28,0.0033612575810629,0.0004497019280389673,0.001231327040128335,85,340,1.0,0.0,False
ENTG,variance,1,expanding,business_pair_ridge,2023-01-31,2023-01-31,2023-02-28,0.0009101758203099,0.000748122687556294,0.002371641299771099,85,170,1.0,0.0,False
MTRN,variance,1,expanding,business_pair_ridge,2023-01-31,2023-01-31,2023-02-28,0.0033612575810629,0.0006354174559042768,0.001231327040128335,85,170,1.0,0.0,False
ATI,variance,1,expanding,business_pair_ridge,2023-01-31,2023-01-31,2023-02-28,0.0004062035979211,0.0004971049101033737,0.001028727323595469,85,170,1.0,0.0,False
CRS,variance,1,expanding,business_pair_ridge,2023-01-31,2023-01-31,2023-02-28,0.0003840897582526,0.0005093991337396933,0.0007962618408396433,85,170,1.0,0.0,False
ATI,return,1,expanding,pooled_ridge,2023-02-28,2023-02-28,2023-03-31,-0.0292743517032507,0.023320903120596773,0.028229061921142717,86,344,0.0,1.0,False
CRS,return,1,expanding,pooled_ridge,2023-02-28,2023-02-28,2023-03-31,-0.0738671848370938,0.057623085251920586,0.017762703391350033,86,344,0.0,1.0,False
ENTG,return,1,expanding,pooled_ridge,2023-02-28,2023-02-28,2023-03-31,-0.0377802586219574,0.07235483791960794,0.027014144647670463,86,344,0.0,1.0,False
MTRN,return,1,expanding,pooled_ridge,2023-02-28,2023-02-28,2023-03-31,0.0386820721121869,-0.030029764969660318,0.022062153482121167,86,344,0.0,1.0,False
ATI,return,1,expanding,pooled_forest,2023-02-28,2023-02-28,2023-03-31,-0.0292743517032507,0.003792061797505828,0.028229061921142717,86,344,0.0,1.0,False
CRS,return,1,expanding,pooled_forest,2023-02-28,2023-02-28,2023-03-31,-0.0738671848370938,0.014199881005326764,0.017762703391350033,86,344,0.0,1.0,False
