task,horizon,ticker,model,offset,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts
return,3,ATI,boost_full,0,13,0.2107749024175614,0.1802675048539528,0.013632666797740889,-0.07525597415090436,0.23916810031842337,0,2023-07-31,2026-07-31,0.7692307692307693,0.7692307692307693,0.7692307692307693,0
return,3,ATI,boost_full,1,13,0.2347327600093665,0.1901262247135036,-0.27714370429550295,-0.09575781303811305,-0.21283657555293686,0,2023-08-31,2026-08-31,0.6153846153846154,0.6923076923076923,0.6923076923076923,0
return,3,ATI,boost_full,2,12,0.24052771949432916,0.1978437242210359,-0.010285895380309551,-0.09232726612006631,0.2592378075691533,0,2023-09-30,2026-06-30,0.5833333333333334,0.6666666666666666,0.6666666666666666,0
return,3,ATI,core_ols,0,13,0.18727794818037888,0.14606333577662906,0.2212928325716823,0.009959077432708043,0.38675518108526047,0,2023-07-31,2026-07-31,0.7692307692307693,0.7692307692307693,0.7692307692307693,0
return,3,ATI,core_ols,1,13,0.16485342988927523,0.14867859090264032,0.3700757449522981,-0.012352485543944117,0.5395864450531238,0,2023-08-31,2026-08-31,0.6923076923076923,0.6923076923076923,0.6923076923076923,0
return,3,ATI,core_ols,2,12,0.22242372793193244,0.15868128590983008,0.13607457863571126,0.017053385108495876,0.28015158964794007,0,2023-09-30,2026-06-30,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
return,3,ATI,forest_full,0,13,0.2145716610979228,0.1859005734656656,-0.022222917972720024,-0.08676792542273758,0.2566545096993515,0,2023-07-31,2026-07-31,0.6923076923076923,0.7692307692307693,0.7692307692307693,0
return,3,ATI,forest_full,1,13,0.23620904097644232,0.18391472835689981,-0.29325864149088376,-0.10404029501663777,-0.18178718764111562,0,2023-08-31,2026-08-31,0.6153846153846154,0.6923076923076923,0.6923076923076923,0
return,3,ATI,forest_full,2,12,0.23994738067858937,0.1862624229054183,-0.005416595433681781,-0.08754967575184984,0.24357544700942227,0,2023-09-30,2026-06-30,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
return,3,ATI,historical_mean,0,13,0.21222647298474212,0.17503588262188544,0.0,-0.06231835321113606,-0.0037937921493858507,0,2023-07-31,2026-07-31,0.7692307692307693,0.7692307692307693,0.7692307692307693,0
return,3,ATI,historical_mean,1,13,0.20770828594044144,0.16093430818614568,0.0,-0.07471221993645677,-0.0002503537115943024,0,2023-08-31,2026-08-31,0.6923076923076923,0.6923076923076923,0.6923076923076923,0
return,3,ATI,historical_mean,2,12,0.23930015985174924,0.18486067289860017,0.0,-0.06851943266173606,0.11545051801510342,0,2023-09-30,2026-06-30,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
return,3,ATI,ridge_full,0,13,0.21526422593630126,0.18363751605774678,-0.02883234782181887,-0.1208815779923246,0.5428974246723671,0,2023-07-31,2026-07-31,0.7692307692307693,0.7692307692307693,0.7692307692307693,0
return,3,ATI,ridge_full,1,13,0.299454989624832,0.210030666813718,-1.0785260124644362,-0.17181809959486394,-0.06392548921394543,0,2023-08-31,2026-08-31,0.6923076923076923,0.6923076923076923,0.6923076923076923,0
return,3,ATI,ridge_full,2,12,0.2672071395443026,0.22056316214377822,-0.2468383117354691,-0.1573598754788706,0.36936941364086295,0,2023-09-30,2026-06-30,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
return,3,CRS,boost_full,0,13,0.2429490175297261,0.18864076253325107,-0.035113864180222665,-0.12625913749509965,-0.08785776623684394,0,2023-07-31,2026-07-31,0.8461538461538461,0.9230769230769231,0.9230769230769231,0
return,3,CRS,boost_full,1,13,0.24239024903861645,0.17161572828271637,0.04230197522444612,-0.1252169823470538,0.040017072399020734,0,2023-08-31,2026-08-31,0.9230769230769231,0.9230769230769231,0.9230769230769231,0
return,3,CRS,boost_full,2,12,0.26021502289180853,0.21192765877483796,0.11946530711512926,-0.14823761627021526,0.28521308359344144,0,2023-09-30,2026-06-30,0.8333333333333334,0.9166666666666666,0.9166666666666666,0
return,3,CRS,core_ols,0,13,0.22014447272548882,0.15960438622808035,0.15008909226581624,-0.027815457052706657,-0.004418713511681223,0,2023-07-31,2026-07-31,0.9230769230769231,0.9230769230769231,0.9230769230769231,0
return,3,CRS,core_ols,1,13,0.24572770942704603,0.18359229633406965,0.01574740921667539,-0.026981008595910867,-0.23393913943298078,0,2023-08-31,2026-08-31,0.8461538461538461,0.9230769230769231,0.9230769230769231,0
return,3,CRS,core_ols,2,12,0.23197117496200986,0.19716955961663707,0.3002389189564332,-0.04495150853854466,0.18558373961162009,0,2023-09-30,2026-06-30,0.8333333333333334,0.9166666666666666,0.9166666666666666,0
return,3,CRS,forest_full,0,13,0.23335378322396214,0.1867781773950104,0.04503484839634453,-0.0797371744721356,-0.06338871853377492,0,2023-07-31,2026-07-31,0.8461538461538461,0.9230769230769231,0.9230769230769231,0
return,3,CRS,forest_full,1,13,0.24919251529464279,0.18909056585003056,-0.012204560013181931,-0.09903619293382328,-0.2173014987877389,0,2023-08-31,2026-08-31,0.9230769230769231,0.9230769230769231,0.9230769230769231,0
return,3,CRS,forest_full,2,12,0.2627862425353862,0.222323208088573,0.1019779710203984,-0.10205548726201952,-0.04689042175983455,0,2023-09-30,2026-06-30,0.8333333333333334,0.9166666666666666,0.9166666666666666,0
return,3,CRS,historical_mean,0,13,0.23879272106239358,0.1762742888008439,0.0,-0.13294228614765008,-0.0639334100025543,0,2023-07-31,2026-07-31,0.9230769230769231,0.9230769230769231,0.9230769230769231,0
return,3,CRS,historical_mean,1,13,0.2476856518020905,0.1842824992025214,0.0,-0.13729179721785162,-0.3495225990022311,0,2023-08-31,2026-08-31,0.9230769230769231,0.9230769230769231,0.9230769230769231,0
return,3,CRS,historical_mean,2,12,0.2773059129223633,0.21362879120438527,0.0,-0.1658478859587314,0.08963155621775433,0,2023-09-30,2026-06-30,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
return,3,CRS,ridge_full,0,13,0.2437295175151992,0.17443596457801158,-0.041775377838039196,-0.09055169064386358,-0.022038355542286454,0,2023-07-31,2026-07-31,0.9230769230769231,0.9230769230769231,0.9230769230769231,0
return,3,CRS,ridge_full,1,13,0.2732602659518249,0.2213386439868092,-0.21717009993621694,-0.09234980858289993,-0.3620400875159171,0,2023-08-31,2026-08-31,0.8461538461538461,0.9230769230769231,0.9230769230769231,0
return,3,CRS,ridge_full,2,12,0.27773280779161863,0.22460898161047935,-0.0030812430470321672,-0.1283963566894554,-0.011122907209875453,0,2023-09-30,2026-06-30,0.6666666666666666,0.9166666666666666,0.9166666666666666,0
return,3,ENTG,boost_full,0,13,0.23279428343679284,0.21573778411203484,-0.14767888842897525,-0.007519171138118169,-0.23940871875935238,0,2023-07-31,2026-07-31,0.3076923076923077,0.46153846153846156,0.46153846153846156,0
return,3,ENTG,boost_full,1,13,0.2635695638501559,0.19995258263945656,-0.14397826166926064,0.0009980494597769812,-0.3564213547987376,0,2023-08-31,2026-08-31,0.15384615384615385,0.38461538461538464,0.38461538461538464,0
return,3,ENTG,boost_full,2,12,0.25014308319223183,0.23017003268123679,-0.18879405524817505,-0.008161665425598102,-0.41513083580984556,0,2023-09-30,2026-06-30,0.25,0.4166666666666667,0.4166666666666667,0
return,3,ENTG,core_ols,0,13,0.23271723675642708,0.20794466201084308,-0.14691933184172368,0.019054637585304266,-0.0009420727997317327,0,2023-07-31,2026-07-31,0.38461538461538464,0.46153846153846156,0.46153846153846156,0
return,3,ENTG,core_ols,1,13,0.26942256087858046,0.21166489051806156,-0.1953502472298847,0.017398069037291908,-0.17137477833383452,0,2023-08-31,2026-08-31,0.3076923076923077,0.38461538461538464,0.38461538461538464,0
return,3,ENTG,core_ols,2,12,0.25748314751550233,0.22270757830454982,-0.2595843219947849,-0.004535065602645351,-0.1851130717711439,0,2023-09-30,2026-06-30,0.3333333333333333,0.4166666666666667,0.4166666666666667,0
return,3,ENTG,forest_full,0,13,0.2388812204858894,0.22254182481890408,-0.20848089365746492,-0.01858658342742569,-0.2880182466035508,0,2023-07-31,2026-07-31,0.23076923076923078,0.46153846153846156,0.46153846153846156,0
return,3,ENTG,forest_full,1,13,0.2518197106462218,0.18560409071152834,-0.04425532177077218,-0.012123923997640357,-0.14893203869588365,0,2023-08-31,2026-08-31,0.23076923076923078,0.38461538461538464,0.38461538461538464,0
return,3,ENTG,forest_full,2,12,0.2559314044268409,0.2261226117667475,-0.24444809537867251,-0.03549378819775243,-0.5252957498489939,0,2023-09-30,2026-06-30,0.16666666666666666,0.4166666666666667,0.4166666666666667,0
return,3,ENTG,historical_mean,0,13,0.21730119519250385,0.1954795666930698,0.0,0.019016194077860423,-0.30454831056945514,0,2023-07-31,2026-07-31,0.46153846153846156,0.46153846153846156,0.46153846153846156,0
return,3,ENTG,historical_mean,1,13,0.2464259116878577,0.18868285290240577,0.0,0.032761040330646314,-0.37629541945256373,0,2023-08-31,2026-08-31,0.38461538461538464,0.38461538461538464,0.38461538461538464,0
return,3,ENTG,historical_mean,2,12,0.22942206591114309,0.20549608307007414,0.0,0.012888948062929164,-0.3117784684853902,0,2023-09-30,2026-06-30,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
return,3,ENTG,ridge_full,0,13,0.23582570250563076,0.22042090718725302,-0.177763371583602,-0.002886097068916349,-0.28312979433893987,0,2023-07-31,2026-07-31,0.23076923076923078,0.46153846153846156,0.46153846153846156,0
return,3,ENTG,ridge_full,1,13,0.2512720862493314,0.1987502685250912,-0.03971844189996854,0.017279581014803255,-0.012346534395213306,0,2023-08-31,2026-08-31,0.23076923076923078,0.38461538461538464,0.38461538461538464,0
return,3,ENTG,ridge_full,2,12,0.23636549541485913,0.2191849182331983,-0.06144570688079787,-0.021838370012882444,0.00650797123281767,0,2023-09-30,2026-06-30,0.3333333333333333,0.4166666666666667,0.4166666666666667,0
return,3,MTRN,boost_full,0,13,0.1523923034690456,0.13749450871985539,0.14438631764374332,-0.025563006935213177,0.3835602754857002,0,2023-07-31,2026-07-31,0.6153846153846154,0.6153846153846154,0.6153846153846154,0
return,3,MTRN,boost_full,1,13,0.1919869510903661,0.1484267085060812,0.03485519571661666,-0.029843912306167283,0.1622389445998736,0,2023-08-31,2026-08-31,0.6153846153846154,0.6923076923076923,0.6923076923076923,0
return,3,MTRN,boost_full,2,12,0.3377109659389559,0.22345545932616998,0.06457809038225393,-0.07104095311750773,0.2697351960236244,0,2023-09-30,2026-06-30,0.5,0.5833333333333334,0.5833333333333334,0
return,3,MTRN,core_ols,0,13,0.15529047951204972,0.1352703235661781,0.11153297139354845,-0.0767011941044516,0.6106226841212907,0,2023-07-31,2026-07-31,0.6923076923076923,0.6153846153846154,0.6153846153846154,0
return,3,MTRN,core_ols,1,13,0.20311994910879377,0.1548097721785613,-0.0803244662788154,-0.0893013644952939,0.30144855457158937,0,2023-08-31,2026-08-31,0.6153846153846154,0.6923076923076923,0.6923076923076923,0
