series_role,task,ticker,expanded,reduced,block,nonzero_share,empirical_size,monte_carlo_se,simulations,nominal,task_primary_block_max_size,inference_status,rule
declared,return,MTRN,boost_full,historical_mean,3,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,MTRN,boost_full,historical_mean,6,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,MTRN,boost_full,historical_mean,12,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ENTG,boost_full,historical_mean,3,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ENTG,boost_full,historical_mean,6,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ENTG,boost_full,historical_mean,12,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,CRS,boost_full,historical_mean,3,0.18181818181818182,0.26,0.019616319736382767,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,CRS,boost_full,historical_mean,6,0.18181818181818182,0.29,0.020292855885754472,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,CRS,boost_full,historical_mean,12,0.18181818181818182,0.252,0.019416281827373642,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ATI,boost_full,historical_mean,3,0.18181818181818182,0.258,0.019567115270269147,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ATI,boost_full,historical_mean,6,0.18181818181818182,0.298,0.020454632727086544,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ATI,boost_full,historical_mean,12,0.18181818181818182,0.254,0.019467100451787882,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,MTRN,garch11,historical_variance63,3,1.0,0.222,0.018585801031970616,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,MTRN,garch11,historical_variance63,6,1.0,0.252,0.019416281827373642,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,MTRN,garch11,historical_variance63,12,1.0,0.242,0.019153902996517445,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ENTG,garch11,historical_variance63,3,1.0,0.2,0.01788854381999832,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ENTG,garch11,historical_variance63,6,1.0,0.222,0.018585801031970616,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ENTG,garch11,historical_variance63,12,1.0,0.262,0.01966499427917537,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,CRS,garch11,historical_variance63,3,1.0,0.074,0.011706750189527408,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,CRS,garch11,historical_variance63,6,1.0,0.136,0.01532997064576446,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,CRS,garch11,historical_variance63,12,1.0,0.164,0.0165592270351004,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ATI,garch11,historical_variance63,3,1.0,0.076,0.011851075900524812,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ATI,garch11,historical_variance63,6,1.0,0.084,0.012405160216619535,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ATI,garch11,historical_variance63,12,1.0,0.112,0.014103616557464968,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,MTRN,core_ols,historical_mean,3,1.0,0.108,0.013880633991284405,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,MTRN,core_ols,historical_mean,6,1.0,0.142,0.015609996796924718,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,MTRN,core_ols,historical_mean,12,1.0,0.172,0.0168769665520792,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ENTG,core_ols,historical_mean,3,1.0,0.07,0.011410521460476731,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ENTG,core_ols,historical_mean,6,1.0,0.058,0.010453324829928513,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ENTG,core_ols,historical_mean,12,1.0,0.046,0.00936845771725528,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,CRS,core_ols,historical_mean,3,1.0,0.06,0.010620734437881401,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,CRS,core_ols,historical_mean,6,1.0,0.102,0.013534843922262273,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,CRS,core_ols,historical_mean,12,1.0,0.152,0.016055902341506688,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ATI,core_ols,historical_mean,3,1.0,0.052,0.00992935043192655,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ATI,core_ols,historical_mean,6,1.0,0.07,0.011410521460476731,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ATI,core_ols,historical_mean,12,1.0,0.112,0.014103616557464968,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
