family,ticker,contrast,expanded,reduced,status,identical_share,n,mean_loss_reduction,lo,hi,pvalue,bootstrap_se,block,replications,issuers,holm_adjusted_pvalue,family_tested,family_declared,unadjusted_decision,adjusted_decision,note
R16,MTRN,valuation_added,ridge_full,without_valuation,tested,0.5454545454545454,44,-0.0003790523752503333,-0.0009681723823685107,0.00014741768810188773,0.182,0.00028652458749162286,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,ENTG,valuation_added,ridge_full,without_valuation,tested,0.7272727272727273,44,9.842212766293814e-05,-0.0005567423106917692,0.0008443757635935654,0.845,0.00035536587622315893,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,CRS,valuation_added,ridge_full,without_valuation,tested,0.0,44,-0.00019724531054389786,-0.0006126820428982135,0.00022025071534045737,0.361,0.00021438282155785625,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,ATI,valuation_added,ridge_full,without_valuation,tested,0.8181818181818182,44,0.0003794450469713016,-2.066824256302086e-05,0.0010159816182769843,0.193,0.0002788457529063811,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,MTRN,transformations_vs_levels,core_pe_difference,core_pe_level,tested,0.5454545454545454,44,-0.00044345606544915,-0.0013077562595612243,0.0002981258876929006,0.343,0.00041709114800395796,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,ENTG,transformations_vs_levels,core_pe_difference,core_pe_level,tested,0.18181818181818182,44,0.00032499509394460607,-0.0015952102592736912,0.0023512372489552145,0.786,0.0010144828440097333,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,CRS,transformations_vs_levels,core_pe_difference,core_pe_level,tested,0.36363636363636365,44,0.00018185247904949856,-0.00021851679515896318,0.0005544560761840947,0.316,0.0001926120731278631,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,ATI,transformations_vs_levels,core_pe_difference,core_pe_level,identical_by_exclusion,1.0,44,0.0,0.0,0.0,1.0,0.0,6,1999,,,15.0,16.0,untested,untested,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,MTRN,arma_vs_static,arimax,arma_static,tested,0.2727272727272727,44,-0.001979199677822399,-0.0065019756606115395,0.0013189640622091907,0.322,0.0020135264107546493,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,ENTG,arma_vs_static,arimax,arma_static,tested,0.8181818181818182,44,-0.0002291606720700059,-0.0012052380957906532,0.0004906820656025615,0.771,0.00044168118616902803,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,CRS,arma_vs_static,arimax,arma_static,tested,0.7272727272727273,44,-2.0882689235840595e-05,-0.0004993313696575291,0.00043671582918926056,0.98,0.0002305164405964063,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,ATI,arma_vs_static,arimax,arma_static,tested,0.5454545454545454,44,0.0005568608025726128,-0.0004323243455282918,0.002024079874817541,0.468,0.0006470190505866356,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,MTRN,lags_vs_static,distributed_all_lag1,core_ridge,tested,0.5454545454545454,44,-0.0001398406513754377,-0.0012033179615641315,0.0009818007439732943,0.713,0.0005472371811905012,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,ENTG,lags_vs_static,distributed_all_lag1,core_ridge,tested,0.0,44,-0.0005807941535418544,-0.0013901983917170252,0.00016257389019569613,0.158,0.00040265161648978356,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,CRS,lags_vs_static,distributed_all_lag1,core_ridge,tested,0.0,44,-6.613354156445417e-05,-0.0013846137737152007,0.0016117865927884293,0.906,0.0007650014837599943,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
R16,ATI,lags_vs_static,distributed_all_lag1,core_ridge,tested,0.5454545454545454,44,-0.000744399333707206,-0.0024528013928003605,0.00043604373810946347,0.322,0.0007468665162943363,6,1999,,1.0,15.0,16.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,MTRN,persistence_vs_naive,variance_ridge_persistence,historical_variance63,tested,0.0,44,-0.0910434348404916,-0.3792718072109887,0.0836200813667069,0.629,0.12423712779797626,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ENTG,persistence_vs_naive,variance_ridge_persistence,historical_variance63,tested,0.0,44,0.049260919141773545,-0.001056631825130913,0.13062166600540312,0.063,0.03464372229781591,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,CRS,persistence_vs_naive,variance_ridge_persistence,historical_variance63,tested,0.0,44,0.049305889591797485,0.00999725306233787,0.10301412993817784,0.012,0.024007153858433,6,1999,,0.24,20.0,20.0,interval excludes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ATI,persistence_vs_naive,variance_ridge_persistence,historical_variance63,tested,0.0,44,0.022918934132066485,-0.049457477287111584,0.10342089898699149,0.588,0.03952720089149264,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
