task,ticker,expanded,reduced,level,full_mean,full_pvalue,excluded,months_excluded,n,mean_loss_reduction,lo,hi,pvalue,bootstrap_se,block,replications,confidence,monte_carlo_resolution,change_in_mean,sign_flip,decision_flip,named_check,basis
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-01,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-02,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-03,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-04,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-05,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-06,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-07,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-08,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-09,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-10,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-11,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2023-12,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-01,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-02,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-03,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-04,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-05,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-06,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-07,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-08,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-09,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-10,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-11,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
return,ATI,ridge_full,without_valuation,target_month,0.0003794450469713016,0.193,2024-12,1,43,0.0003882693503892388,-2.1148899366812043e-05,0.0010393683058108534,0.2,0.00028887258397722494,6,1999,0.95,0.001,8.8243034179372e-06,False,False,,Evaluation months removed with forecasts held fixed; training samples and fitted models unchanged.
