task,horizon,ticker,best_observed_model,selection_metric,best_score,n,interpretation
excess_return,1,ATI,historical_mean,rmse,0.1262206080674562,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
excess_return,1,CRS,historical_mean,rmse,0.1367888050058936,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
excess_return,1,ENTG,zero,rmse,0.13562689616719567,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
excess_return,1,MTRN,boost_full,rmse,0.11890173556895745,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
return,1,ATI,arimax,rmse,0.1337384961896198,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
return,1,CRS,ar1,rmse,0.14371353777677862,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
return,1,ENTG,core_pe_percentage,rmse,0.1427324954646804,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
return,1,MTRN,core_financial_changes,rmse,0.1317927050028047,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
return,3,ATI,core_ols,rmse,0.1921426045824395,38,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
return,3,CRS,core_ols,rmse,0.23287231428137803,38,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
return,3,ENTG,historical_mean,rmse,0.23140906045503487,38,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
return,3,MTRN,boost_full,rmse,0.23784424383006156,38,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
variance,1,ATI,pooled_ridge,qlike,0.20024292251781048,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
variance,1,CRS,variance_ridge,qlike,0.14232924199538477,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
variance,1,ENTG,pooled_ridge,qlike,0.19473527420400333,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
variance,1,MTRN,business_pair_ridge,qlike,0.281629943222168,44,"Retrospective best observed score among tested pipelines, not a prospectively validated winner."
