task,horizon,ticker,model,window,date,hyperparameter,candidates,retained,missing_indicators,excluded_low_coverage,excluded_constant,retained_set,intercept_only,train_rows,rank,condition_number,effective_df,nonzero_coefficients,tree_leaves,stage
return,1,pooled,pooled_ridge,expanding,2022-12-31,intercept_only,83,77,0,6,0,5898871f321f,True,336,0,,0.0,0,,specifications_pooled
return,1,pooled,pooled_forest,expanding,2022-12-31,intercept_only,83,77,0,6,0,5898871f321f,True,336,0,,0.0,0,,specifications_pooled
return,1,pooled,pooled_boost,expanding,2022-12-31,intercept_only,83,77,0,6,0,5898871f321f,True,336,0,,0.0,0,,specifications_pooled
return,1,pooled,panel_company_effects,expanding,2022-12-31,0,9,9,1,0,0,b1e42779f476,False,336,10,9.835439682429762,10.0,10,,specifications_pooled
return,1,MTRN+ENTG,business_pair_ridge,expanding,2022-12-31,intercept_only,83,78,0,3,2,38141a41c1de,True,168,0,,0.0,0,,specifications_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2022-12-31,intercept_only,83,74,0,8,1,37c5e17dc656,True,168,0,,0.0,0,,specifications_pooled
variance,1,pooled,pooled_ridge,expanding,2022-12-31,100.0,83,77,18,6,0,5898871f321f,False,336,91,654.1647134946388,0.741646839302897,95,,specifications_pooled
variance,1,pooled,pooled_forest,expanding,2022-12-31,1,83,77,18,6,0,5898871f321f,False,336,91,654.1647134946388,,0,938.0,specifications_pooled
variance,1,pooled,pooled_boost,expanding,2022-12-31,intercept_only,83,77,0,6,0,5898871f321f,True,336,0,,0.0,0,,specifications_pooled
variance,1,pooled,panel_company_effects,expanding,2022-12-31,0,9,9,1,0,0,b1e42779f476,False,336,10,9.835439682429762,10.0,10,,specifications_pooled
variance,1,pooled,pooled_variance_persistence,expanding,2022-12-31,1.0,6,6,0,0,0,dd5f57802637,False,336,6,4.401114168823189,2.448473957264797,6,,specifications_pooled
variance,1,pooled,pooled_variance_external,expanding,2022-12-31,1.0,11,11,0,0,0,2581d936cd87,False,336,11,8.028737212718546,4.178961951273057,11,,specifications_pooled
variance,1,MTRN+ENTG,business_pair_ridge,expanding,2022-12-31,1.0,83,78,12,3,2,38141a41c1de,False,168,83,597.4150451508199,19.81000310993884,90,,specifications_pooled
variance,1,CRS+ATI,business_pair_ridge,expanding,2022-12-31,100.0,83,74,11,8,1,37c5e17dc656,False,168,81,1139.5036990675535,0.7032419955029473,85,,specifications_pooled
return,1,pooled,pooled_ridge,expanding,2023-01-31,intercept_only,83,77,0,6,0,5898871f321f,True,340,0,,0.0,0,,specifications_pooled
return,1,pooled,pooled_forest,expanding,2023-01-31,intercept_only,83,77,0,6,0,5898871f321f,True,340,0,,0.0,0,,specifications_pooled
return,1,pooled,pooled_boost,expanding,2023-01-31,intercept_only,83,77,0,6,0,5898871f321f,True,340,0,,0.0,0,,specifications_pooled
return,1,pooled,panel_company_effects,expanding,2023-01-31,0,9,9,1,0,0,b1e42779f476,False,340,10,9.858380479918637,10.0,10,,specifications_pooled
