task,horizon,ticker,model,window,refits,intercept_only_share,median_candidates,median_retained,max_missing_indicators,max_excluded_low_coverage,median_effective_df,median_condition_number,min_rank,median_nonzero_coefficients,median_tree_leaves,distinct_retained_sets
market_relative_return,1,ATI,boost_full,expanding,44,1.0,80.0,72.0,0,8,0.0,,0,0.0,,2
market_relative_return,1,ATI,core_ridge,expanding,44,1.0,6.0,6.0,0,0,0.0,,0,0.0,,1
market_relative_return,1,ATI,ridge_full,expanding,44,1.0,80.0,72.0,0,8,0.0,,0,0.0,,2
market_relative_return,1,CRS,boost_full,expanding,44,0.8181818181818182,80.0,73.0,16,8,0.0,2110.7187463596792,0,0.0,345.0,2
market_relative_return,1,CRS,core_ridge,expanding,44,0.2727272727272727,6.0,6.0,2,0,2.80705828989847,10.982674782577106,0,8.0,,1
market_relative_return,1,CRS,ridge_full,expanding,44,0.2727272727272727,80.0,73.0,16,8,4.580874917616976,2210.9833754106103,0,89.0,,2
market_relative_return,1,ENTG,boost_full,expanding,44,1.0,80.0,78.0,0,4,0.0,,0,0.0,,3
market_relative_return,1,ENTG,core_ridge,expanding,44,0.2727272727272727,6.0,6.0,0,0,2.8093999233197535,1.7262767901730236,0,6.0,,1
market_relative_return,1,ENTG,ridge_full,expanding,44,0.2727272727272727,80.0,78.0,11,4,17.076451698885222,4921.335581220518,0,88.0,,3
market_relative_return,1,MTRN,boost_full,expanding,44,0.7272727272727273,80.0,74.0,6,6,0.0,676.9552195422384,0,0.0,330.0,1
market_relative_return,1,MTRN,core_ridge,expanding,44,0.2727272727272727,6.0,6.0,0,0,2.8260382261482824,1.9028607391733199,0,6.0,,1
market_relative_return,1,MTRN,ridge_full,expanding,44,0.2727272727272727,80.0,74.0,6,6,4.87582468964184,626.9692657565047,0,80.0,,1
return,1,ATI,A1_market,expanding,44,0.5454545454545454,14.0,12.0,0,2,0.0,184.81282683266966,0,0.0,,1
return,1,ATI,A2_financial,expanding,44,1.0,36.0,30.0,0,6,0.0,,0,0.0,,2
return,1,ATI,A3_valuation,expanding,44,1.0,46.0,39.0,0,7,0.0,,0,0.0,,2
return,1,ATI,A4_momentum,expanding,44,0.8181818181818182,52.0,45.0,5,7,0.0,1643.5992675159623,0,0.0,,2
