ticker,date,model,parameter,validation_mse,order
ATI,2022-12-31,core_ols,0,0.023309544366484355,
ATI,2022-12-31,core_ridge,0.01,0.02330761882788142,
ATI,2022-12-31,core_ridge,0.1,0.023292473744969833,
ATI,2022-12-31,core_ridge,1.0,0.023268226626895264,
ATI,2022-12-31,core_ridge,10.0,0.02339834997950163,
ATI,2022-12-31,core_ridge,100.0,0.019956223071965516,
ATI,2022-12-31,arx,0,0.025594732790470268,
ATI,2022-12-31,ridge_full,0.01,0.5787775019019405,
ATI,2022-12-31,ridge_full,0.1,0.2663613893305876,
ATI,2022-12-31,ridge_full,1.0,0.09588669035482789,
ATI,2022-12-31,ridge_full,10.0,0.06224327348151171,
ATI,2022-12-31,ridge_full,100.0,0.029806061222143077,
ATI,2022-12-31,lasso_full,0.01,0.15459869750835487,
ATI,2022-12-31,lasso_full,0.1,0.02911576305652988,
ATI,2022-12-31,lasso_full,1.0,0.016467427650301573,
ATI,2022-12-31,lasso_full,10.0,0.016467427650301573,
ATI,2022-12-31,lasso_full,100.0,0.016467427650301573,
ATI,2022-12-31,elastic_full,"(0.01, 0.2)",0.11012621955343056,
ATI,2022-12-31,elastic_full,"(0.01, 0.5)",0.13954996833655234,
ATI,2022-12-31,elastic_full,"(0.01, 0.8)",0.14851633581442553,
ATI,2022-12-31,elastic_full,"(0.1, 0.2)",0.0594895660163697,
ATI,2022-12-31,elastic_full,"(0.1, 0.5)",0.043148048150225486,
ATI,2022-12-31,elastic_full,"(0.1, 0.8)",0.032053913032359445,
ATI,2022-12-31,elastic_full,"(1.0, 0.2)",0.018432948501518994,
ATI,2022-12-31,elastic_full,"(1.0, 0.5)",0.016467427650301573,
ATI,2022-12-31,elastic_full,"(1.0, 0.8)",0.016467427650301573,
ATI,2022-12-31,elastic_full,"(10.0, 0.2)",0.016467427650301573,
ATI,2022-12-31,elastic_full,"(10.0, 0.5)",0.016467427650301573,
ATI,2022-12-31,elastic_full,"(10.0, 0.8)",0.016467427650301573,
ATI,2022-12-31,elastic_full,"(100.0, 0.2)",0.016467427650301573,
ATI,2022-12-31,elastic_full,"(100.0, 0.5)",0.016467427650301573,
ATI,2022-12-31,elastic_full,"(100.0, 0.8)",0.016467427650301573,
ATI,2022-12-31,forest_full,0,0.017273743805027362,
ATI,2022-12-31,forest_full,1,0.017158536946480438,
ATI,2022-12-31,boost_full,0,0.019904991729032834,
ATI,2022-12-31,boost_full,1,0.02482614595193287,
ATI,2022-12-31,distributed_lag1,0.01,0.0285473185824091,
ATI,2022-12-31,distributed_lag1,0.1,0.028294388624502027,
