ticker,date,model,parameter,validation_mse,order
ENTG,2022-12-31,core_ols,0,0.013226189783299605,
ENTG,2022-12-31,core_ridge,0.01,0.01322368418996659,
ENTG,2022-12-31,core_ridge,0.1,0.01320131040220939,
ENTG,2022-12-31,core_ridge,1.0,0.012993722163088741,
ENTG,2022-12-31,core_ridge,10.0,0.011813020791828882,
ENTG,2022-12-31,core_ridge,100.0,0.010517927960960903,
ENTG,2022-12-31,arx,0,0.01412519985743677,
ENTG,2022-12-31,ridge_full,0.01,0.116662710765565,
ENTG,2022-12-31,ridge_full,0.1,0.05988857574068543,
ENTG,2022-12-31,ridge_full,1.0,0.025039145407056238,
ENTG,2022-12-31,ridge_full,10.0,0.016181354768747564,
ENTG,2022-12-31,ridge_full,100.0,0.012558334708845473,
ENTG,2022-12-31,lasso_full,0.01,0.03181179380540628,
ENTG,2022-12-31,lasso_full,0.1,0.01051790209249831,
ENTG,2022-12-31,lasso_full,1.0,0.011013732729319936,
ENTG,2022-12-31,lasso_full,10.0,0.011013732729319936,
ENTG,2022-12-31,lasso_full,100.0,0.011013732729319936,
ENTG,2022-12-31,elastic_full,"(0.01, 0.2)",0.032806440287396814,
ENTG,2022-12-31,elastic_full,"(0.01, 0.5)",0.032955290221912216,
ENTG,2022-12-31,elastic_full,"(0.01, 0.8)",0.03213650243820814,
ENTG,2022-12-31,elastic_full,"(0.1, 0.2)",0.015814363246135957,
ENTG,2022-12-31,elastic_full,"(0.1, 0.5)",0.011869756876086365,
ENTG,2022-12-31,elastic_full,"(0.1, 0.8)",0.01004538076978186,
ENTG,2022-12-31,elastic_full,"(1.0, 0.2)",0.011711321757824994,
ENTG,2022-12-31,elastic_full,"(1.0, 0.5)",0.011013732729319936,
ENTG,2022-12-31,elastic_full,"(1.0, 0.8)",0.011013732729319936,
ENTG,2022-12-31,elastic_full,"(10.0, 0.2)",0.011013732729319936,
ENTG,2022-12-31,elastic_full,"(10.0, 0.5)",0.011013732729319936,
ENTG,2022-12-31,elastic_full,"(10.0, 0.8)",0.011013732729319936,
ENTG,2022-12-31,elastic_full,"(100.0, 0.2)",0.011013732729319936,
ENTG,2022-12-31,elastic_full,"(100.0, 0.5)",0.011013732729319936,
ENTG,2022-12-31,elastic_full,"(100.0, 0.8)",0.011013732729319936,
ENTG,2022-12-31,forest_full,0,0.013740940615197421,
ENTG,2022-12-31,forest_full,1,0.012866204062455843,
ENTG,2022-12-31,boost_full,0,0.01449991806478101,
ENTG,2022-12-31,boost_full,1,0.02193140812232205,
ENTG,2022-12-31,distributed_lag1,0.01,0.015568206242177576,
ENTG,2022-12-31,distributed_lag1,0.1,0.014718530558565248,
ENTG,2022-12-31,distributed_lag1,1.0,0.012651687143567096,
ENTG,2022-12-31,distributed_lag1,10.0,0.011726585616368019,
ENTG,2022-12-31,distributed_lag1,100.0,0.010423981466088856,
ENTG,2022-12-31,distributed_lag3,0.01,0.02189174389956856,
ENTG,2022-12-31,distributed_lag3,0.1,0.02096788292970292,
ENTG,2022-12-31,distributed_lag3,1.0,0.018315867689500918,
ENTG,2022-12-31,distributed_lag3,10.0,0.015525048963233016,
ENTG,2022-12-31,distributed_lag3,100.0,0.011340231998748665,
ENTG,2022-12-31,ar1,0,0.01237404383296894,
ENTG,2022-12-31,A1_market,0.01,0.009379687735705229,
ENTG,2022-12-31,A1_market,0.1,0.009957448987298511,
ENTG,2022-12-31,A1_market,1.0,0.011107048683379165,
ENTG,2022-12-31,A1_market,10.0,0.011834164337150205,
ENTG,2022-12-31,A1_market,100.0,0.011613036241538826,
ENTG,2022-12-31,A2_financial,0.01,0.3080001846655985,
ENTG,2022-12-31,A2_financial,0.1,0.027677285970893046,
ENTG,2022-12-31,A2_financial,1.0,0.017945134125848684,
ENTG,2022-12-31,A2_financial,10.0,0.01321060278693296,
ENTG,2022-12-31,A2_financial,100.0,0.010531297296388673,
ENTG,2022-12-31,A3_valuation,0.01,0.04255956941371303,
ENTG,2022-12-31,A3_valuation,0.1,0.013516107303156019,
ENTG,2022-12-31,A3_valuation,1.0,0.012288338867927772,
ENTG,2022-12-31,A3_valuation,10.0,0.010845907973951472,
ENTG,2022-12-31,A3_valuation,100.0,0.009425432964687808,
ENTG,2022-12-31,A4_momentum,0.01,0.027463845597164943,
ENTG,2022-12-31,A4_momentum,0.1,0.0157447041077566,
ENTG,2022-12-31,A4_momentum,1.0,0.01630447081800149,
ENTG,2022-12-31,A4_momentum,10.0,0.015238462818795357,
ENTG,2022-12-31,A4_momentum,100.0,0.011028191364454175,
ENTG,2022-12-31,A5_risk,0.01,0.09620988186439643,
ENTG,2022-12-31,A5_risk,0.1,0.018460158441430372,
ENTG,2022-12-31,A5_risk,1.0,0.017630932618577847,
ENTG,2022-12-31,A5_risk,10.0,0.016110553283526795,
ENTG,2022-12-31,A5_risk,100.0,0.012783602960607097,
ENTG,2022-12-31,A6_industry,0.01,0.11506473903699958,
ENTG,2022-12-31,A6_industry,0.1,0.02650068830011973,
ENTG,2022-12-31,A6_industry,1.0,0.01946572690001666,
ENTG,2022-12-31,A6_industry,10.0,0.017222337776742924,
ENTG,2022-12-31,A6_industry,100.0,0.013099814778684571,
ENTG,2022-12-31,A7_business,0.01,0.14262803032279872,
ENTG,2022-12-31,A7_business,0.1,0.0486076740327576,
ENTG,2022-12-31,A7_business,1.0,0.022498399747983445,
ENTG,2022-12-31,A7_business,10.0,0.017865085950536475,
ENTG,2022-12-31,A7_business,100.0,0.013393230923321627,
ENTG,2022-12-31,A8_transform,0.01,0.116662710765565,
ENTG,2022-12-31,A8_transform,0.1,0.05988857574068543,
ENTG,2022-12-31,A8_transform,1.0,0.025039145407056238,
ENTG,2022-12-31,A8_transform,10.0,0.016181354768747564,
ENTG,2022-12-31,A8_transform,100.0,0.012558334708845473,
ENTG,2022-12-31,A9_interaction,0.01,0.11190777045125698,
ENTG,2022-12-31,A9_interaction,0.1,0.054035501708990165,
ENTG,2022-12-31,A9_interaction,1.0,0.026213584179961686,
ENTG,2022-12-31,A9_interaction,10.0,0.016815913124196724,
ENTG,2022-12-31,A9_interaction,100.0,0.013076937472718264,
ENTG,2022-12-31,P1_financial,0.01,0.04560744770737677,
ENTG,2022-12-31,P1_financial,0.1,0.015256667790030048,
ENTG,2022-12-31,P1_financial,1.0,0.008364971170806862,
ENTG,2022-12-31,P1_financial,10.0,0.009223024526325415,
ENTG,2022-12-31,P1_financial,100.0,0.010201021381322001,
ENTG,2022-12-31,P2_valuation,0.01,0.1966807516791774,
ENTG,2022-12-31,P2_valuation,0.1,0.059765509858768294,
ENTG,2022-12-31,P2_valuation,1.0,0.017965773388212074,
ENTG,2022-12-31,P2_valuation,10.0,0.010909571868576903,
ENTG,2022-12-31,P2_valuation,100.0,0.009992627416352524,
ENTG,2022-12-31,P3_transform,0.01,0.11786736225866458,
ENTG,2022-12-31,P3_transform,0.1,0.04588236891484931,
ENTG,2022-12-31,P3_transform,1.0,0.018116731450699832,
ENTG,2022-12-31,P3_transform,10.0,0.011254483425875955,
ENTG,2022-12-31,P3_transform,100.0,0.009201657910517802,
ENTG,2022-12-31,P4_market,0.01,0.09358417251862083,
ENTG,2022-12-31,P4_market,0.1,0.030819331387281625,
ENTG,2022-12-31,P4_market,1.0,0.01859923278028774,
ENTG,2022-12-31,P4_market,10.0,0.014654444473449291,
ENTG,2022-12-31,P4_market,100.0,0.011862067888128915,
ENTG,2022-12-31,P5_industry,0.01,0.10401814572421537,
ENTG,2022-12-31,P5_industry,0.1,0.03102993793685932,
ENTG,2022-12-31,P5_industry,1.0,0.01998989127296798,
ENTG,2022-12-31,P5_industry,10.0,0.01540393321574699,
ENTG,2022-12-31,P5_industry,100.0,0.012262055592600523,
