ticker,date,model,parameter,validation_mse,order
MTRN,2022-12-31,core_ols,0,0.008828648040714919,
MTRN,2022-12-31,core_ridge,0.01,0.008826620374217163,
MTRN,2022-12-31,core_ridge,0.1,0.008808478337374491,
MTRN,2022-12-31,core_ridge,1.0,0.008637011056340564,
MTRN,2022-12-31,core_ridge,10.0,0.007538103415131103,
MTRN,2022-12-31,core_ridge,100.0,0.0057754424772247,
MTRN,2022-12-31,arx,0,0.009093620634811575,
MTRN,2022-12-31,ridge_full,0.01,1.3583109245478238,
MTRN,2022-12-31,ridge_full,0.1,0.2801492446582629,
MTRN,2022-12-31,ridge_full,1.0,0.03536415933297883,
MTRN,2022-12-31,ridge_full,10.0,0.010988332354135141,
MTRN,2022-12-31,ridge_full,100.0,0.00810386323535544,
MTRN,2022-12-31,lasso_full,0.01,0.03381897562234258,
MTRN,2022-12-31,lasso_full,0.1,0.0076673576265235315,
MTRN,2022-12-31,lasso_full,1.0,0.0053123289144343736,
MTRN,2022-12-31,lasso_full,10.0,0.0053123289144343736,
MTRN,2022-12-31,lasso_full,100.0,0.0053123289144343736,
MTRN,2022-12-31,elastic_full,"(0.01, 0.2)",0.05359847284706984,
MTRN,2022-12-31,elastic_full,"(0.01, 0.5)",0.043550839061650526,
MTRN,2022-12-31,elastic_full,"(0.01, 0.8)",0.035461196136526714,
MTRN,2022-12-31,elastic_full,"(0.1, 0.2)",0.009255821633354925,
MTRN,2022-12-31,elastic_full,"(0.1, 0.5)",0.00982397681142697,
MTRN,2022-12-31,elastic_full,"(0.1, 0.8)",0.008868085092773889,
MTRN,2022-12-31,elastic_full,"(1.0, 0.2)",0.005578298140252891,
MTRN,2022-12-31,elastic_full,"(1.0, 0.5)",0.0053123289144343736,
MTRN,2022-12-31,elastic_full,"(1.0, 0.8)",0.0053123289144343736,
MTRN,2022-12-31,elastic_full,"(10.0, 0.2)",0.0053123289144343736,
MTRN,2022-12-31,elastic_full,"(10.0, 0.5)",0.0053123289144343736,
MTRN,2022-12-31,elastic_full,"(10.0, 0.8)",0.0053123289144343736,
MTRN,2022-12-31,elastic_full,"(100.0, 0.2)",0.0053123289144343736,
MTRN,2022-12-31,elastic_full,"(100.0, 0.5)",0.0053123289144343736,
MTRN,2022-12-31,elastic_full,"(100.0, 0.8)",0.0053123289144343736,
MTRN,2022-12-31,forest_full,0,0.00688368056982785,
MTRN,2022-12-31,forest_full,1,0.006074043635179056,
