series_role,task,ticker,expanded,reduced,block,nonzero_share,empirical_size,monte_carlo_se,simulations,nominal,task_primary_block_max_size,inference_status,rule
declared,return,MTRN,boost_full,historical_mean,3,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,MTRN,boost_full,historical_mean,6,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,MTRN,boost_full,historical_mean,12,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ENTG,boost_full,historical_mean,3,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ENTG,boost_full,historical_mean,6,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ENTG,boost_full,historical_mean,12,0.0,0.0,0.0,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,CRS,boost_full,historical_mean,3,0.1818181818181818,0.26,0.0196163197363827,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,CRS,boost_full,historical_mean,6,0.1818181818181818,0.29,0.0202928558857544,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,CRS,boost_full,historical_mean,12,0.1818181818181818,0.252,0.0194162818273736,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ATI,boost_full,historical_mean,3,0.1818181818181818,0.258,0.0195671152702691,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ATI,boost_full,historical_mean,6,0.1818181818181818,0.298,0.0204546327270865,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,return,ATI,boost_full,historical_mean,12,0.1818181818181818,0.254,0.0194671004517878,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,MTRN,garch11,historical_variance63,3,1.0,0.222,0.0185858010319706,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,MTRN,garch11,historical_variance63,6,1.0,0.252,0.0194162818273736,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,MTRN,garch11,historical_variance63,12,1.0,0.242,0.0191539029965174,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ENTG,garch11,historical_variance63,3,1.0,0.2,0.0178885438199983,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ENTG,garch11,historical_variance63,6,1.0,0.222,0.0185858010319706,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ENTG,garch11,historical_variance63,12,1.0,0.262,0.0196649942791753,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,CRS,garch11,historical_variance63,3,1.0,0.074,0.0117067501895274,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,CRS,garch11,historical_variance63,6,1.0,0.136,0.0153299706457644,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,CRS,garch11,historical_variance63,12,1.0,0.164,0.0165592270351004,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ATI,garch11,historical_variance63,3,1.0,0.076,0.0118510759005248,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ATI,garch11,historical_variance63,6,1.0,0.084,0.0124051602166195,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
declared,variance,ATI,garch11,historical_variance63,12,1.0,0.112,0.0141036165574649,500,0.05,0.252,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,MTRN,core_ols,historical_mean,3,1.0,0.108,0.0138806339912844,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,MTRN,core_ols,historical_mean,6,1.0,0.142,0.0156099967969247,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,MTRN,core_ols,historical_mean,12,1.0,0.172,0.0168769665520792,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ENTG,core_ols,historical_mean,3,1.0,0.07,0.0114105214604767,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ENTG,core_ols,historical_mean,6,1.0,0.058,0.0104533248299285,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ENTG,core_ols,historical_mean,12,1.0,0.046,0.0093684577172552,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,CRS,core_ols,historical_mean,3,1.0,0.06,0.0106207344378814,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,CRS,core_ols,historical_mean,6,1.0,0.102,0.0135348439222622,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,CRS,core_ols,historical_mean,12,1.0,0.152,0.0160559023415066,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ATI,core_ols,historical_mean,3,1.0,0.052,0.0099293504319265,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ATI,core_ols,historical_mean,6,1.0,0.07,0.0114105214604767,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
supplementary,return,ATI,core_ols,historical_mean,12,1.0,0.112,0.0141036165574649,500,0.05,0.298,descriptive only (size above declared limit),Declared rule: p-values for a task are descriptive only if the largest issuer-level empirical size at the 6-month block exceeds 0.1.
