task,horizon,ticker,model,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
return,1,ATI,ar1,44,0.1374028623576741,0.10452261358839,0.0081910032351484,-0.02515855795246,0.0782357668534591,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,arimax,44,0.1337384961896198,0.1072417751625105,0.0603862693373622,0.0012024823728715,0.1706509372212079,0,2023-01-31,2026-08-31,0.6363636363636364,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,arx,44,0.1342000692697178,0.1067887403633281,0.0538892795621298,0.000382338075374,0.1475898335688355,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,boost_full,44,0.1399854058847441,0.1060094249209664,-0.0294422898521546,-0.0224298145552077,-0.1795983678681779,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,capm_style,44,0.1400535436940431,0.1055259668094258,-0.0304446945420859,-0.0210073925005157,-0.2107045801295042,0,2023-01-31,2026-08-31,0.6363636363636364,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,core_ols,44,0.1358044577232663,0.1068725733412854,0.031132172269613,0.0011412210196509,0.090438597400814,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,core_ridge,44,0.1359055918599937,0.1063277569305401,0.0296885952597392,-0.0028398262227057,0.0965834260367362,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,distributed_all_lag1,44,0.1386172039557948,0.1060439209164875,-0.009417320397105,-0.0104621959761221,0.0393117493857946,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,elastic_full,44,0.1401148385386946,0.1090312524584149,-0.0313468462062958,-0.0239173651237392,-0.0398652185742375,0,2023-01-31,2026-08-31,0.6136363636363636,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,forest_full,44,0.1387108833812639,0.1055639965501003,-0.0107821378218526,-0.0410007059567137,0.2058774226397143,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,historical_mean,44,0.137969076784945,0.1052432745629083,0.0,-0.0241970629420741,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,lasso_full,44,0.1394147646710876,0.1082766603257563,-0.0210664901120938,-0.0234747100922404,-0.0417951992164994,0,2023-01-31,2026-08-31,0.6363636363636364,0.6590909090909091,0.6590909090909091,0.0,,,,
