model,MTRN,ENTG,CRS,ATI
historical_mean,0.0,0.0,0.0,0.0
A1_market,-0.0105715029234461,-0.383823709661077,0.0063972935072835,-0.0144617533143234
A2_financial,0.0,-0.0916626457911309,-0.0160652492720727,0.0
A3_valuation,-0.1410034745406589,-0.1271477977820541,-0.0533409231149186,0.0
A4_momentum,-0.0804151952233418,-0.122894817995274,-0.0317709497101348,-0.0106216457765349
A5_risk,-0.0145344753401577,-0.1209375106827317,-0.0207648823801067,-0.0077443748652723
A6_industry,-0.016124405888656,-0.1040385406012691,-0.0241051402380425,0.0
A7_business,-0.0214767477978481,-0.1081804393659791,-0.0263938042417899,0.010202013472132
A8_transform,-0.0213133602633504,-0.0694399091086777,-0.0364388671842215,0.0144595865704026
A9_interaction,-0.0214281138360166,-0.0739997689360369,-0.0950752069282621,0.0157085516962854
