task,horizon,ticker,expanded,reduced,n,metric,mean_loss_reduction,lo,hi,block,replications,pvalue,interpretation
return,1,ATI,core_pe_difference,core_pe_level,44,MSE,0.0,0.0,0.0,6,2000,1.0,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,core_pe_percentage,core_pe_level,44,MSE,0.0,0.0,0.0,6,2000,1.0,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,core_pe_lag1,core_pe_level,44,MSE,0.0,0.0,0.0,6,2000,1.0,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,core_financial_changes,core_ridge,44,MSE,-0.0003084242123353,-0.0022881481155866,0.000918503435391,6,2000,0.7011494252873564,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,distributed_all_lag1,core_ridge,44,MSE,-0.0008253489586288,-0.0021093492103941,0.0001031058077436,6,2000,0.1369315342328835,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,distributed_all_lag3,core_ridge,44,MSE,-0.0021789464302975,-0.0035704784848139,-0.0006833583157848,6,2000,0.0029985007496251,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,CRS,core_pe_difference,core_pe_level,44,MSE,0.0002924305148452,-0.000187706702367,0.0007184497719332,6,2000,0.1829085457271364,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,CRS,core_pe_percentage,core_pe_level,44,MSE,0.0001230563023957,-0.000264348123509,0.0003203401494102,6,2000,0.3238380809595202,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,CRS,core_pe_lag1,core_pe_level,44,MSE,0.0003349202735713,-0.0010009806677153,0.0008928960636723,6,2000,0.4382808595702149,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,CRS,core_financial_changes,core_ridge,44,MSE,0.0014831315509993,-0.0010486880288435,0.0026312454104399,6,2000,0.1104447776111944,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,CRS,distributed_all_lag1,core_ridge,44,MSE,-0.000540414615078,-0.0010266676414223,0.0007987185700997,6,2000,0.2458770614692653,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,CRS,distributed_all_lag3,core_ridge,44,MSE,-0.0027725830297591,-0.0040625355399722,7.934847988434342e-05,6,2000,0.0114942528735632,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ENTG,core_pe_difference,core_pe_level,44,MSE,0.0009789084867005,-0.0015524044923268,0.0021791042045466,6,2000,0.3083458270864567,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ENTG,core_pe_percentage,core_pe_level,44,MSE,0.001343250898575,-0.0007915173692037,0.0024040853714411,6,2000,0.1039480259870064,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ENTG,core_pe_lag1,core_pe_level,44,MSE,1.13690054155376e-06,-0.0008522251860534,0.0011125863513741,6,2000,0.9970014992503748,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ENTG,core_financial_changes,core_ridge,44,MSE,-0.0003313230830533,-0.0024080429835743,0.0007644647682932,6,2000,0.7011494252873564,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ENTG,distributed_all_lag1,core_ridge,44,MSE,-0.0007164088956764,-0.0016633066783929,0.0002987525809028,6,2000,0.160919540229885,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ENTG,distributed_all_lag3,core_ridge,44,MSE,-0.0010749917104492,-0.0025825323869887,0.0005057674511032,6,2000,0.1679160419790105,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,MTRN,core_pe_difference,core_pe_level,44,MSE,-0.0008996200929017,-0.0016310543885904,0.0011746827738983,6,2000,0.2178910544727636,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,MTRN,core_pe_percentage,core_pe_level,44,MSE,-0.0004435016144229,-0.0011316038182378,0.0013832528323141,6,2000,0.4852573713143428,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,MTRN,core_pe_lag1,core_pe_level,44,MSE,-0.0001026335347859,-0.0008104384983877,0.0005193663900943,6,2000,0.7471264367816092,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,MTRN,core_financial_changes,core_ridge,44,MSE,0.0016118893011609,7.150876340844871e-05,0.0027864711771397,6,2000,0.0204897551224387,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,MTRN,distributed_all_lag1,core_ridge,44,MSE,-0.0001243369740869,-0.0013434445560918,0.0003728860327373,6,2000,0.7741129435282359,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,MTRN,distributed_all_lag3,core_ridge,44,MSE,-0.0023108568236059,-0.0044312073627175,0.0001654735303663,6,2000,0.0389805097451274,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
