task,horizon,ticker,expanded,reduced,sample,comparison_type,metric,fallback_origins,identical_share,n,mean_loss_reduction,lo,hi,pvalue,bootstrap_se,block,replications,confidence,monte_carlo_resolution,interpretation
return,1,ATI,core_pe_difference,core_pe_level,operational,isolating: same history and target,MSE,0,1.0,44,0.0,0.0,0.0,1.0,0.0,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,ATI,core_pe_percentage,core_pe_level,operational,isolating: same history and target,MSE,0,1.0,44,0.0,0.0,0.0,1.0,0.0,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,ATI,core_pe_lag1,core_pe_level,operational,isolating: same history and target,MSE,0,1.0,44,0.0,0.0,0.0,1.0,0.0,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,ATI,core_financial_changes,core_ridge,operational,isolating: same history and target,MSE,0,0.5454545454545454,44,-0.0005651362500748,-0.0025317594412184,0.0009966226465319,0.552,0.0009039554261249,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,ATI,distributed_all_lag1,core_ridge,operational,isolating: same history and target,MSE,0,0.5454545454545454,44,-0.0007443993337072,-0.0024528013928003,0.0004360437381094,0.322,0.0007468665162943,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,ATI,distributed_all_lag3,core_ridge,operational,isolating: same history and target,MSE,0,0.5454545454545454,44,-0.0005651362500748,-0.0025317594412184,0.0009966226465319,0.552,0.0009039554261249,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,CRS,core_pe_difference,core_pe_level,operational,isolating: same history and target,MSE,0,0.3636363636363636,44,0.0001818524790494,-0.0002185167951589,0.000554456076184,0.316,0.0001926120731278,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,CRS,core_pe_percentage,core_pe_level,operational,isolating: same history and target,MSE,0,0.3636363636363636,44,7.40971476368084e-05,-0.0002623948295835,0.0003875472132456,0.579,0.0001620271614642,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,CRS,core_pe_lag1,core_pe_level,operational,isolating: same history and target,MSE,0,0.0,44,0.0012268939320936,-0.0005703709071025,0.0038981877229436,0.354,0.0011697657050494,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,CRS,core_financial_changes,core_ridge,operational,isolating: same history and target,MSE,0,0.0,44,0.002144482146067,-0.0007574683319236,0.0061281019701308,0.229,0.0017575198392275,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,CRS,distributed_all_lag1,core_ridge,operational,isolating: same history and target,MSE,0,0.0,44,-6.613354156445417e-05,-0.0013846137737152,0.0016117865927884,0.906,0.0007650014837599,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
