task,horizon,ticker,model,date,window,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
return,1,MTRN,historical_mean,2023-12-31,12,12,0.1086874664397647,0.0923229707074818,0.0,-0.0187216002889315,-0.5626867354034079,0,2023-01-31,2023-12-31,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,,,,
return,1,MTRN,historical_mean,2024-01-31,12,12,0.1142882389892418,0.1015778433051458,0.0,-0.0074767470419125,-0.6491873099734156,0,2023-02-28,2024-01-31,0.5,0.5,0.5,0.0,,,,
return,1,MTRN,historical_mean,2024-02-29,12,12,0.1021519190938395,0.094034898513822,0.0,6.619774941128698e-05,-0.5619586081708314,0,2023-03-31,2024-02-29,0.5,0.5,0.5,0.0,,,,
return,1,MTRN,historical_mean,2024-03-31,12,12,0.1027249542387516,0.0960706766916342,0.0,0.0048719623655678,-0.6184643807194918,0,2023-04-30,2024-03-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
return,1,MTRN,historical_mean,2024-04-30,12,12,0.1084038414060507,0.1011160760304763,0.0,0.0099173617044099,-0.6115935042108491,0,2023-05-31,2024-04-30,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
return,1,MTRN,historical_mean,2024-05-31,12,12,0.1051996885869793,0.0952859426004723,0.0,0.0040872282744059,-0.5690376398390191,0,2023-06-30,2024-05-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
return,1,MTRN,historical_mean,2024-06-30,12,12,0.1018302467575496,0.0916594208245749,0.0,0.0201167134395531,-0.4647296323032683,0,2023-07-31,2024-06-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,,,
return,1,MTRN,historical_mean,2024-07-31,12,12,0.1052492679146221,0.0977388954597628,0.0,0.0140372388043651,-0.5787430437896933,0,2023-08-31,2024-07-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,,,
return,1,MTRN,historical_mean,2024-08-31,12,12,0.1018263663490315,0.0933847329138032,0.0,0.0096830762584055,-0.5093761454267668,0,2023-09-30,2024-08-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,,,
return,1,MTRN,historical_mean,2024-09-30,12,12,0.1001971050837098,0.0910213767434849,0.0,0.0073197200880872,-0.4479892793214631,0,2023-10-31,2024-09-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,,,
